"","S1pr1","S1pr4","Ccr7","Cxcr4","Cd2","Cd22","Itgal","Itgb2","Il7r","Il2rg","Spn","Cd3d","Cd3g","Itga4","Itgb7","Rpsa","Rack1","Slc1a5","Cd47","Ptk2b","Calm1","Rasa3","Tnfrsf13c","Sorl1","Selplg","Sell","Ptprc","Ptpn6","P2ry10","Klrd1","Il18r1","Glg1","Cd74","Anxa6","Atp5b"
"Aimp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742070699219637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Igf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223158605958851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il7",0,0,0,0,0,0,0,0,0.851629765133683,0.858785907984067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trf",0,0,0,0,0,0,0,0,0.113332514465692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calr",0,0,0,0,0,0,0,0,0.113332514465692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crlf2",0,0,0,0,0,0,0,0,0.0280654993873773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Copa",0,0,0,0,0,0,0,0,0,0,0,0,0,0.200830142310437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831994139349206
"Gpi1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831994139349206
"Pkd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137781251203572
"Mif",0,0,0,0,0,0,0,0,0,0,0,0,0,0.129681652820949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616099017851631,0,0
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.160771549191508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.200830142310437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hmgb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.129681652820949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jam3",0,0,0,0,0,0,0,0.24722707202027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itgb2",0,0,0,0,0,0,0.48930312584536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam1",0,0,0,0,0,0,0.0654290373219354,0.0611300864894527,0,0.413630673218242,0.863148515952939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F11r",0,0,0,0,0,0,0.037492178078916,0.284501553961801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam2",0,0,0,0,0,0,0.332445880271921,0.0611300864894527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426079571298829,0,0,0,0,0,0,0,0,0
"Cd34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440818641887195,0,0,0,0,0,0,0,0,0
"Cfh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370438891889066,0,0,0,0,0,0,0,0,0
"Sell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07275115218733,0,0,0,0,0,0,0,0,0,0
"Selp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865780030212094,0,0,0,0,0,0,0,0,0,0
"H2-M3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833416507536589,0,0,0,0,0
"H2-T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547844798536119,0,0,0,0,0
"Gmfb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10564052043099,0
"Nampt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136650637179898,0
"Edn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154809555140145,0,0,0,0,0,0
