"Actb" "Adamts4" "Adamts9" "Cdkn1a" "Egr1" "Id3" "P4hb" "S100a4" "Stat1" "Tubb5" "Vim" "Aldh7a1" "Calr" "Fbn1" "Ifit3" "Tpm4" "Mmp14" "Cyp7b1" "Fads1" "Hspa8" "Wnt5a" "Tgfb2" "Calm1" "Tnfrsf12a" "Trip10" "Ifih1" "Bgn" "Ifitm3" "Btg2" "Pdia3" "Col18a1" "Tspan4" "Hacd1" "H2.T23"
"Bmp4" 0.00167989700560281 0 0 0.00314605775773029 0.00151148514830158 0.0031134178316229 0 0 0.00136546343733351 0.00153711971467272 0.00141076215863066 0 0 0 0 0.00133449626877576 0 0 0 0 0.00135552855764038 0.00129035136807453 0.00124067792067049 0.00138586600501744 0.00135653058504067 0 0 0 0.0015254565503263 0 0.00141224794239243 0 0 0
"Agrn" 0 0 0 0.00151275624059368 0 0.00133005617809613 0 0 0 0 0.00120126973433229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.0014694956705675 0.00238793670167162 0 0.00301269652847111 0.00251698926957603 0.00175528603823209 0.00201522497073303 0 0.00128622952732095 0.00145246228974306 0.00121929254447143 0 0 0 0 0.0012500830165794 0 0 0 0 0.0013231883568271 0 0 0.00123904410968292 0.0012928595401245 0 0.00244344294139355 0 0.00121399052777393 0 0 0 0 0
"Ptprc" 0.00133314863635044 0 0 0.00171937967299817 0.001302766630398 0.00150984174518911 0 0 0.00126660090568548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0022782943652454 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0 0.00162758304250463 0 0.0014333956263109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0.00134724812981761 0 0 0.00419351935735484 0.00404381239677974 0.00159394092011876 0 0 0.00129837499679077 0.00135624863183566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121899320169312 0 0 0 0 0 0 0 0 0
"Vwf" 0 0 0 0.001610812123258 0 0.00125103675654099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00421558763554107 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfa" 0.00124527436878513 0 0 0.00197623718506809 0.00398520467738874 0.00162512081919706 0 0 0 0.00125889520409682 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0.00129830543141427 0 0 0.00377401514156348 0.00118566108038373 0.00141024549303241 0 0 0 0 0 0 0 0 0 0 0.00218694057591152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0 0.00160734617280627 0 0.0011950272004836 0 0 0 0 0 0 0 0 0 0 0 0.00504645545760657 0.00388300860170743 0.00364764645923699 0.00437025086881477 0 0 0 0 0 0 0 0 0 0 0 0 0
"Timp1" 0.0012025586558728 0 0 0.00176512062962605 0 0.00150295758249535 0.00192681678723294 0 0 0 0 0 0 0.00219551364437295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0.00367438744373611 0.00213442618913513 0.00125994899055875 0 0 0 0 0 0 0 0 0 0 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00296597953804268 0.00246276587944742 0 0.00548303347996596 0.00255498993990895 0.00311605929807148 0 0.00233966507029221 0.00134403542332266 0.00163917850063023 0.00539500587814721 0.00439160337336181 0.00451960883601798 0.00494533872999235 0.00466566099947073 0.00510760544386226 0 0 0 0 0.00271429613172701 0.00128689244248201 0.00122107137240598 0.00264835032139451 0.00148396239148808 0.0023373522653487 0.00255800440815857 0 0.00150301424931374 0 0.00138206816395869 0 0 0.00222916041277135
"Osm" 0.00184088558226187 0.00645637997940221 0.0028912166649987 0.00248001209218667 0.00298976801224604 0.0021060381469725 0.00215800536608544 0.00236101899467379 0.0018282662926577 0.00173566486730005 0.00275861619400152 0 0.00133867432300744 0 0.00141450046515593 0.00152490400810612 0 0 0 0 0.00153911070315662 0.00124134556450199 0.00132237275166417 0.00118250389572063 0.00161349161375702 0 0 0 0.0015975842511677 0 0.00137966965858044 0 0 0
