"Atf4" "Cdkn1a" "Clic1" "Cmip" "Ddit4" "Fam129b" "Fkbp5" "Ier3" "Ldha" "Lmna" "Midn" "Ncl" "Per1" "Rps2" "Serpine1" "Stat3" "Tubb5" "Actb" "Bcl2l1" "Cfl1" "Ctnnb1" "Eef1a1" "Mcl1" "Nos3" "Socs3" "Fli1" "Ndufs2" "Rpl26" "Rplp2" "Rps11" "S100a10" "Ier5" "Synpo" "Dusp6" "Plat" "Plaur" "Sparc" "Ablim1" "Fas" "Lpp" "Ntn1" "Gadd45g" "Sparcl1" "Cd34" "Cd38" "Timp3" "Dll1" "Sema7a" "Pkm" "Hif1a" "Ntrk2" "Col4a1" "Aldoa" "Tnfrsf1a" "Cxcl12" "Mlec" "Vwf" "Xbp1" "Anxa2" "Upp1" "Abcg2" "Adam15" "Adamts1" "Emp1"
"C3" 0 0.00139342762829878 0 0 0.0011054895450197 0 0 0.00110182053095711 0 0.00105378824076884 0.00100434958354092 0 0.000964916365935231 0 0.00111300782215802 0.00098390352754974 0 0.000942043220681499 0.00108854353432171 0 0 0 0.000937324725771469 0.000932600111695145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00106476466111997 0.00199003703539692 0.00140439520914955 0.00126424151746373 0.0015963198371996 0.0011761597474745 0.00120418944173977 0.00152173838182139 0.0010717228319416 0.00156171840435493 0.00143022070282434 0.000967624168640631 0.00151417579845603 0.000978394466227712 0.0015821303266869 0.00255696455612878 0.00135900416273018 0.00134835715116902 0.00159802953429607 0.0011699730295808 0.00237662629194184 0.0011012674913601 0.00254599209435178 0.00276596438538609 0.00250252372810684 0.00115635981963199 0.00107170260669904 0 0.00100432426085259 0 0.00119542944745049 0.00112380750822326 0.00130070209824309 0.00116275496431329 0 0.00227918033860962 0 0.00107197907052121 0.00235802665943484 0.00121488625472463 0.000954951776027629 0.00115056805644858 0 0 0 0.000970883803671219 0 0 0.000957726421270054 0.00117093206118782 0.002114527158599 0.00466413216211115 0.0012275773965861 0.00112516707921352 0 0 0 0 0.00104419906993295 0 0 0 0 0.000975109451865516
"Bdnf" 0.00103039536536309 0.00285191567093599 0.00142364959265521 0.00140705512490899 0.00166264212186416 0.0013005799507451 0.00118493145179269 0.00166672939054489 0.000976345963107027 0.00164804253843356 0.00150871673043438 0 0.00159385523669768 0 0.00279349973283571 0.00144007863171766 0.00139900486658574 0.001433808953727 0.00158194035862882 0.00115006073502333 0.00124231197925723 0.0010992625829827 0.00134580829674567 0.00153496142671056 0.00141329022257912 0.00121592672435616 0.00114495778523021 0 0.000975652011112428 0 0.00128923132089209 0.00123473730448715 0.00151052837664753 0.00118318051693701 0.00595060151094854 0 0 0.00121968313745791 0.00116528373886026 0.00116645188614463 0.00104260428324312 0.00114669727855052 0 0 0 0.000935933347747318 0 0 0.00108106110568923 0.00222604616587564 0.00598031173618679 0 0.00115469653591547 0.00125011083073089 0 0 0 0 0.00117531036815031 0 0 0 0 0.00108305474756924
"Vcam1" 0 0.00123732350505556 0 0 0 0 0 0.000961610728116267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0 0.0016041449090231 0.00119537386418107 0.00106032325006428 0.00135234171579583 0.000996888030073611 0.00100818756366548 0.00133311729502355 0 0.0011782374016629 0.0012751967525103 0 0.00109411069194566 0 0.00117619661952761 0.00108738126196498 0.00110893909376765 0.00107683527885814 0.00114399727592605 0.00101768170513997 0.00100817184762769 0 0.00108981843068353 0.00126651058233633 0.00105229548019358 0.000942493761402226 0 0 0 0 0.00102568267362912 0.000990516144396443 0.000937452959544619 0.00100778688716927 0 0 0 0 0 0 0 0.000981979872837374 0 0 0 0 0 0 0.000939222398681405 0 0 0 0.000953121037499374 0 0 0 0 0 0 0 0 0 0 0.000938787457833429
"Gpi1" 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0.00136241977901401 0 0 0.000973934989669129 0 0 0.000995863644069516 0 0.00098216374848115 0 0 0 0 0.000983740965053856 0.000967248792703499 0 0 0.00102106312097207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll4" 0.00164203631762884 0.00263454049215627 0.00155279467161122 0.00159516969907714 0.00211709920737251 0.00174999296331799 0.00164172896359844 0.00195067239704965 0.00125021253953696 0.00202504729814474 0.00219664570172501 0.00124732263249002 0.0020568422273561 0.00141480378805595 0.00192998991652903 0.00161369190326361 0.00218455968345461 0.00185625641413516 0.00187411569373826 0.00200059455428996 0.00159648146047636 0.00125897370426649 0.00164583300901443 0.00172034950391455 0.00185753483398235 0.00132529872120021 0.00130737172876029 0 0.00169020450764127 0.00164758202887427 0.00163408769568194 0.00165200837089409 0.00163158379889414 0.00130931478724863 0 0 0 0.00117020313408906 0.00158330804946428 0.00114911013107297 0.00129195362119148 0.00158356148281033 0 0 0 0.00107074247322638 0.00239550721260229 0.00181279464419215 0.0014091315517251 0.00121433108199863 0 0.00105158767963183 0.00139071133775004 0.00143078965072025 0.00116884399873296 0.00116074568130242 0 0.00125753492975216 0.00137800726843753 0.00101678522386422 0 0.00118406709132789 0.000973663024543574 0.00112845541413895
"Mmp9" 0.00102585980067346 0.00177374486570155 0.00143850333762942 0.00127716210451268 0.00141412881462259 0.00120095347038088 0.00109612075075737 0.00133525797695098 0.000936981535455474 0.00148103936851367 0.0013998725681115 0 0.00132068161649907 0 0.00143870335246138 0.00125381424028079 0.00119742703413151 0.00136532258067635 0.00400475789821093 0.00111721815343808 0.00108908693542171 0.000999016570090752 0.0042324033320783 0.00137994014285267 0.00119176949545885 0.00124177633970411 0 0 0 0 0.00118372286416479 0.00114880748160296 0.00120711844938187 0.00116527818703566 0 0 0 0.00108414796235283 0.00100328568024478 0.00108618342263136 0 0.0010230241727797 0 0 0 0 0.000945207034638983 0 0 0.000964672704351194 0 0 0.000995986793195069 0.00107824706931961 0 0 0 0 0.00103880819385333 0 0 0 0 0
"Adam17" 0.00116927363024105 0.00206911530949821 0.00134863235874304 0.00139645853347252 0.00176024111956494 0.00128666271153234 0.0012549805402332 0.00172829346361237 0.000963793914237198 0.0015406909372773 0.00156960969913611 0.000947729229501176 0.00154184974192217 0.000988773461684712 0.00158197397882198 0.00143404551837469 0.00141663374064695 0.00152012849124405 0.00176616475343128 0.00127886802699156 0.00129716753907201 0.0011028960080495 0.00139312205183961 0.00143508973467786 0.00143038606989501 0.00123350944635184 0.00108845937019847 0 0.00100191466114188 0.00102811311495922 0.00126615679310811 0.0014235664566575 0.00139699201939423 0.00138575848216572 0.00232859358236786 0 0 0.00126254795105989 0.00255338428853935 0.00120525526430194 0.00103287932416042 0.00109938512602467 0 0.0025782194792716 0.00246667142085579 0.00473414026985662 0.00114640213522065 0 0.00109809810017397 0.00119943326858578 0 0 0.00114981150815589 0.00124626000143875 0.000955982771700819 0 0 0 0.00114168079867922 0 0 0 0 0.00102240686251414
"Hebp1" 0 0.00109830591430202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Igf1" 0.00115592350487948 0.0051766757167995 0.00141277506926081 0.00141197713327361 0.0028395028151749 0.00125566994572014 0.00131762217363399 0.00169908400695433 0.00107459727549911 0.00155503869696097 0.00157629324577094 0.00106934741255243 0.00160562045528667 0.000997403443057027 0.00461330400646004 0.0042611835205414 0.00141273719662633 0.00153799856436559 0.00261760884223138 0.00109320364782166 0.00131773765326457 0.00441346747794287 0.00133883235694241 0.00142361585626947 0.00133940300151342 0.00113521099695173 0.000951630010766582 0.00437840025654728 0.00453766373459402 0.000977246690444145 0.00126869210572544 0.00121743009556164 0.00132429090100908 0.00132755067004603 0.00455440101780694 0.00221700531105268 0 0.00115024799280441 0.00109617296933589 0.0012067936307864 0.00111864924579912 0.00124112894160645 0.00618964943592142 0 0 0.000933627311777825 0.000996797907356616 0 0.000994984646446031 0.00503213568610677 0.00224134022859501 0 0.0012821579606429 0.00121099207649208 0.000963783060790711 0 0.00537238923404355 0.00420875752993359 0.00117120110751367 0.00406692559201366 0 0.000941021546129593 0 0.000986582916454838
"Rps19" 0 0.00135389490823109 0.000985744741914743 0 0.00100632289346879 0 0 0.00105870505522464 0 0.00109043188819073 0.00100705190625787 0 0.000938126788846703 0 0.00100410144491025 0.000967502583668202 0.00098840584894302 0.00100367974280875 0.000993382968941232 0 0 0 0 0 0 0.000946148469937851 0 0 0 0 0 0.000954105839617446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0 0.00169190123587818 0.00104175730872633 0.0011501250835336 0.00123224826936406 0.000957120669424094 0 0.00144648496867395 0 0.00118747027906698 0.00112969151731806 0 0.00107735707467483 0 0.00130132172395418 0.00114468171548667 0.00112218224299495 0.00103185817592897 0.00112025741578378 0 0.00106679201590619 0 0.000969304728681359 0.00110741517821459 0.00103032214014789 0.00111906751573294 0 0 0 0 0.0011168099708566 0.00101200316502565 0.00119188367094706 0.00097821125443454 0 0 0 0.00104434672057803 0.00104174017392796 0.00102566104196392 0.00124746467164829 0.000932434759514012 0 0 0 0 0 0 0 0 0 0 0.000941890404822139 0 0 0 0 0 0.00098000849604127 0 0 0 0 0.000938190472426571
"Fgf1" 0.000934015448991981 0.00172438615322352 0.00121390140459223 0.00112970096933849 0.00142549440057687 0.00112075831308228 0.00104485865072889 0.00146725544984714 0 0.00127898498401072 0.00121737350115624 0 0.00123008136092038 0 0.00240747099328217 0.00124490633779163 0.00116920393796588 0.00126282497199686 0.00143074188544829 0 0.00104936503783929 0 0.00119553385183569 0.00120262870973659 0.001193556247153 0.00103759860634921 0.000970153065005938 0 0 0 0.00111542611823456 0.0010702346143253 0.00118225078281073 0.00109495261025366 0.00218565454332801 0.00213267808733036 0.00224052357432998 0.00103310889300203 0.000998834801891353 0.00100498722009573 0 0.000960511404254664 0 0 0 0 0 0 0 0.000973471576076741 0 0 0.00100498937628302 0.00101269287208169 0 0 0 0 0.00100980569051848 0 0 0 0 0
"Arf1" 0 0.00121303997570744 0 0 0 0 0 0 0 0.000981688948170969 0 0 0 0 0.000979161565898209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec11a" 0.00104740961860316 0.00163060147945119 0.00121823109777329 0.00110729616739077 0.00123722695327729 0.0011661939074185 0.00126815608354181 0.00147781930784152 0.00107805476991397 0.00138681300680774 0.00127944071765974 0.00105097871475576 0.0013534483746954 0.00105374748698206 0.00125820312686682 0.00130072089862096 0.0011735654756474 0.00123706477991163 0.00132875348082368 0.00112099892756516 0.000988682610326741 0.0010066851426563 0.00122482502198787 0.0013190600622457 0.00116241027846522 0.000983210733474361 0 0 0.000998285124488492 0.000954687578415496 0.00101361966158522 0.00118147037383315 0.00122429386716024 0.00101672858148737 0 0 0 0.000948014894355846 0.00103492593033498 0.00102347043370143 0.00106504281632917 0.000952361574599845 0 0 0 0 0.00109017333797084 0 0 0.00106967431570786 0 0 0.00108830736977285 0.00103361343050889 0 0 0 0 0 0 0 0 0 0
"Slit2" 0.00120394673303499 0.00185957746375728 0.00165060710989302 0.00143379436508496 0.00150133877805856 0.00136004338160943 0.00126150094432361 0.00148902838058078 0.00114444995465575 0.00157673521249684 0.00158487036305587 0.00115301467428014 0.0016086675386174 0.00114864841216208 0.00165966649690707 0.00147224755414942 0.00137584865860485 0.0016460158491638 0.00167224708113942 0.00154782939898575 0.00114571749114887 0.00118587312081492 0.00131488137063125 0.00177999426930531 0.00137120441763828 0.00169541778259901 0.00154497804919277 0.00139613717459497 0.00156192077315799 0.0015174121784617 0.00152366013824849 0.0012212571908692 0.00111605476293566 0.00133891976560123 0 0 0 0.00124211489926496 0.000991491174885141 0.00113474482122774 0.000962509703045592 0.00114249134456614 0 0 0 0 0 0 0 0.00116420758323623 0 0.000945138128345117 0.00131362610484899 0.00108126312455042 0 0.00115722652266695 0.00119294084152506 0 0.00113928439951917 0 0 0.0013455151837228 0 0.000982803629089484
"Sema3f" 0 0.00118473381219655 0.000939816439359909 0 0.000983784773833812 0 0 0.000958418991573124 0 0.00101466416856056 0.00095767343220386 0 0.00101035794006544 0 0.000978233645032431 0.000973106279145312 0 0 0.000942804545088929 0 0.00101786762392816 0 0.000958569426980255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Manf" 0.00109881825052394 0.0013660416667882 0.00124669305600276 0.00122949474942976 0.00113424568314177 0.00116964760390352 0.00110624564770368 0.00108260972569971 0.00110041747062286 0.00138374486081799 0.00116762823581485 0.00114228969622703 0.00130911539922875 0.00107664980865046 0.00121877003942938 0.0011140049605244 0.0011251219272539 0.00100631839929851 0.00102970521359546 0.000948703782470027 0 0.000965865081318213 0.000970841328744963 0.00105778158415921 0 0 0 0 0 0.000961371469444111 0.000945687384197623 0.00102555795182964 0.000945007497420113 0 0 0 0 0 0 0 0 0.000950158094957031 0 0 0 0 0 0 0 0.000945505401841766 0 0 0.000988155110131294 0.000935940251410519 0 0 0 0 0 0 0 0 0 0
