"Clic1" "Ddit4" "Eif5a" "Epha2" "Fam129b" "Gabarap" "Git1" "Ier2" "Ier3" "Irf2bpl" "Ldha" "Lmna" "Midn" "Rps2" "Serpine1" "Stat3" "Tubb5" "Zfp36l1" "Actb" "Aldoa" "Edn1" "Flot1" "Icam1" "Lama5" "Nos3" "Pdgfb" "Slc3a2" "Socs3" "Synpo" "Tnfrsf1a" "Cd34" "Cd38" "Ier5" "Plat" "Snn" "Timp3" "Vegfc" "Akt1" "Klf10" "Srsf1" "Vasp" "Ctnnb1" "Eef1a1" "Pim3" "S100a10" "Tgfbr2" "Arpc2" "Ccnd3" "Dusp6" "Plaur" "Sparc" "Actn1" "Ablim1" "Lpp" "Ndst1" "Ntn1" "Tagln2" "Gadd45g" "Hif1a" "Ntrk2" "Emp1" "Flnb" "Pcbp1" "Dll1" "Jag2" "Sema7a" "Sparcl1" "Ndufs2" "Rpl26" "Rps11" "Pkm" "Col4a2" "Anxa2" "Pfkfb3" "Hnrnpl"
"Ptprf" 0.00116091215762288 0.00130075708066729 0.00114029015551345 0.0013148531907902 0.00112010282211907 0 0.000979243445575526 0.00120224437976645 0.00140569912016991 0.00133236191207259 0 0.00125201437082661 0.00121010980346786 0 0.00122533242559474 0.00126875853487382 0.00111232546847081 0.00122969992002016 0.00126970680747263 0 0.00112780660921378 0.00119500309381047 0.00123207445060229 0.00105804354425894 0.00107150177738133 0.00107694256988255 0.00108250653704043 0.00106147883327957 0.0011283799829617 0 0 0 0 0 0 0 0 0.000989777487461157 0 0 0.000983139824935452 0.00102741222866503 0 0 0.0011213103276824 0.00108470610483264 0 0.00105131063789959 0.00100395668690283 0 0 0 0.000983779773087196 0 0 0 0 0 0.00104683960479203 0 0 0 0.00100039101604315 0 0 0 0 0.000986770903123508 0 0 0 0 0 0 0.000985411655765655
"Fgf1" 0.00121390140459223 0.00142549440057687 0 0.00141576775432903 0.00112075831308228 0 0.000984899017947654 0.00117405906567441 0.00146725544984714 0.00148749876111926 0 0.00127898498401072 0.00121737350115624 0 0.00240747099328217 0.00124490633779163 0.00116920393796588 0.00121975017759147 0.00126282497199686 0.00100498937628302 0.00122702220777502 0.00113540887855102 0.00127275023603779 0.000998570849708721 0.00120262870973659 0 0.00102570541133596 0.001193556247153 0.00118225078281073 0.00101269287208169 0 0 0.0010702346143253 0.00218565454332801 0 0 0 0.00102960017177597 0 0 0.00108460354547928 0.00104936503783929 0 0 0.00111542611823456 0.00111838813338809 0 0.00114184118029528 0.00109495261025366 0.00213267808733036 0.00224052357432998 0 0.00103310889300203 0.00100498722009573 0.000988229532349225 0 0.00106187338909939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100980569051848 0 0
"Rtn4" 0 0 0 0.00102087534959343 0 0 0 0 0.000989335359873896 0.00114874953481265 0 0 0 0 0.00102847438417239 0.00365410918089921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00175774760434116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0 0 0 0.000984484021470761 0 0 0 0 0 0.00106267735884453 0 0.000981688948170969 0 0 0.000979161565898209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Wnt4" 0.00156596317268207 0.00188546961557161 0.00126083531049856 0.00177005206632065 0.00134483388761679 0.00132738960321784 0.00123619033053231 0.00148610908280602 0.00174788098222967 0.00164062665839109 0 0.00177882722230449 0.00162960393277592 0.00106832409401989 0.0016414663877789 0.00131457474735787 0.00146524361597771 0.00155991548507285 0.00147917445796823 0.000983772146074779 0.00137099109968493 0.00142311560227045 0.00137203144943254 0.00142982179723415 0.0011621824486376 0.00127906444716262 0.00138282923217419 0.00134921969987296 0.00123238668692183 0.00129339955177817 0 0 0.0014130623664571 0 0 0 0 0.00113728984614877 0.00103530770667484 0 0.00123188564392629 0.00129911000164507 0.00115701731960116 0.00144257471481377 0.00136977638835146 0.00119962435110357 0 0.00102275416070853 0.00123728276887381 0 0 0 0.00110397757885808 0.00113489196567955 0.0010612759995903 0.001027106590842 0.00125443769965013 0.00113623881393065 0.00113164822840234 0 0 0.00107195423158736 0.0011653138611775 0.00102141653991105 0 0 0 0.0011882357658474 0 0.00115974894451902 0.00114967055433244 0.000998937964343513 0.0013155093364863 0 0.00115102823620126
"Sema3f" 0 0.000983784773833812 0 0.000990966314264102 0 0 0 0 0 0.00115285786569308 0 0.00101466416856056 0 0 0 0 0 0.000987353267309004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101786762392816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec11a" 0.00121823109777329 0.00123722695327729 0.00116795973321501 0.00124660160806132 0.0011661939074185 0.0011373447312726 0.00106772515522884 0.0013176813618014 0.00147781930784152 0.00150187057093761 0.00107805476991397 0.00138681300680774 0.00127944071765974 0.00105374748698206 0.00125820312686682 0.00130072089862096 0.0011735654756474 0.00142053415848598 0.00123706477991163 0.00108830736977285 0.00117507839763414 0.00110584644851813 0.00127297925184024 0.00110347645576501 0.0013190600622457 0.00107314930997639 0.00108680472862628 0.00116241027846522 0.00122429386716024 0.00103361343050889 0 0 0.00118147037383315 0 0 0 0 0.00111632280241587 0.00106309782419397 0 0.00118072025871411 0.000988682610326741 0.0010066851426563 0 0.00101361966158522 0 0 0.00102292402876864 0.00101672858148737 0 0 0 0 0.00102347043370143 0.00100183470082884 0.00106504281632917 0.00105971126096457 0 0.00106967431570786 0 0 0 0.000995094521254158 0.00109017333797084 0 0 0 0 0 0 0 0 0 0 0
"Ptdss1" 0.00179368817632248 0.00169164160903666 0.00190515818832609 0.0017700300403654 0.00189733496336293 0.0017437983837724 0.00202830635834875 0.0017323652359749 0.00155848436794855 0.00202578922484911 0.0015100819329221 0.00187909961683272 0.00188662862506959 0.00172007644544528 0.00167718581941541 0.00151156394297108 0.00171843651180771 0.00172192173324522 0.00161989387147502 0.00179587281462346 0.00145774932029201 0.00117695111341336 0.00140920538851066 0.00167789694415249 0.001344820144097 0.00165418874010671 0.00175226107190022 0.00148755016640069 0.0013730370789727 0.00127634416703008 0 0.00114435840697814 0.00160610008789903 0 0.00121624552712592 0.00109131790849743 0 0.00171813982490865 0.00174397337902247 0.00173136772534568 0.00133461543267553 0.00120705908064571 0.00124953088299517 0.00150258288878727 0.00125488879281359 0.00112711377046703 0 0.00138118329296476 0.00130251651370435 0 0 0 0.00103171682898022 0.00116403863035448 0.00113011556767086 0.00135426072851347 0.00158057572942381 0.00138643142648833 0.00142098257514852 0.00102001217958024 0.00111789230232733 0.000999820974092016 0.00164233846969797 0.00119813574923029 0.00109661773358453 0.00108178974333674 0 0.00108306542448934 0.00111470121107848 0.0015959449683664 0.00122751156831175 0.00145552588575379 0.00129373467618256 0.00142104742900275 0.00144203967368628
"Adam17" 0.00134863235874304 0.00176024111956494 0.00110350496397511 0.00150218821176013 0.00128666271153234 0.00119626311984394 0.00116685819936108 0.00155018091843072 0.00172829346361237 0.00153815202785811 0 0.0015406909372773 0.00156960969913611 0.000988773461684712 0.00158197397882198 0.00143404551837469 0.00141663374064695 0.001481637022625 0.00152012849124405 0.00114981150815589 0.00273982077087718 0.00137746827114527 0.00152664699934757 0.00115555570781167 0.00143508973467786 0.00260104276847286 0.00131174750016102 0.00143038606989501 0.00139699201939423 0.00124626000143875 0.0025782194792716 0.00246667142085579 0.0014235664566575 0.00232859358236786 0.00231419826235198 0.00473414026985662 0.00256423244403896 0.00116118491600655 0.00104196458423516 0 0.00133463353805551 0.00129716753907201 0.0011028960080495 0.00102248491807381 0.00126615679310811 0.0012657835373621 0 0.00119691697368809 0.00138575848216572 0 0 0.000994043927144218 0.00126254795105989 0.00120525526430194 0.00109929193334453 0.00103287932416042 0.00121212877268694 0.00109938512602467 0.00119943326858578 0 0.00102240686251414 0.00100979758774137 0.00103154443443899 0.00114640213522065 0 0 0 0.00108845937019847 0 0.00102811311495922 0.00109809810017397 0 0.00114168079867922 0 0.00116269468669714
"Lgals3" 0.00101371019557758 0.0012137764609276 0 0.0011609513420231 0.00106300445138318 0 0 0.00100429372391983 0.00116760726142911 0.00133516475189562 0 0.00118340757477034 0.00108128030933513 0 0.00117724145813248 0.00113017913840644 0.00100602624988035 0.00109479641163856 0.00104067261185247 0 0.000980111965498849 0 0.000980236681186188 0.000997699199270507 0 0 0.00402165860077069 0.00207635953436987 0 0.0041169125117841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Manf" 0.00124669305600276 0.00113424568314177 0.00109061571687083 0.00129178461399483 0.00116964760390352 0.00107480913353422 0.00128295484114709 0.00110621471276461 0.00108260972569971 0.00142345091442111 0.00110041747062286 0.00138374486081799 0.00116762823581485 0.00107664980865046 0.00121877003942938 0.0011140049605244 0.0011251219272539 0.00118701592305259 0.00100631839929851 0.000988155110131294 0 0 0 0.00105722974865483 0.00105778158415921 0.00101702299255508 0.00103141064457297 0 0 0 0 0 0.00102555795182964 0 0 0 0 0 0.00103394828274971 0 0.00101525552951803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104258195196587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
