"Aqp1" "Bhlhe40" "Cdkn1a" "Clic1" "Cmip" "Ddit4" "Ets1" "Fkbp5" "Flot1" "Git1" "Hes1" "Hif1a" "Ier3" "Ier5" "Midn" "Nos3" "Nr2f2" "Per1" "Synpo" "Tsc22d3" "Ackr3" "Adamts1" "Cd34" "Clu" "Ldha" "Plpp3" "S1pr1" "Sparc" "Ndst1" "Sgk1" "Socs3" "Tle1" "Plat" "Akap13" "Nrp2" "Pcdh7" "Prkch" "Rin2" "Sub1" "Tmcc3" "Pim3" "Ppp1r9b" "Fli1" "Sema7a" "Fas" "Cd38" "Lpl" "Selp" "B4galt1" "Inhbb" "Sin3a" "Actn1" "Ltbr" "Gadd45g" "Picalm" "Tnfrsf1a" "Ndrg1"
"Rps19" 0 0.00102367989052771 0.00135389490823109 0.000985744741914743 0 0.00100632289346879 0 0 0 0 0.00105526250923514 0 0.00105870505522464 0 0.00100705190625787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0 0.00160331525643408 0.00480643361495988 0.00131285206862673 0.00132271376852252 0.00164015595602889 0.00152017772248212 0.00134375682076803 0.00148518659539967 0.000967760518358217 0.00174561084095471 0.00134673366897332 0.00187209972299205 0.00126089786129614 0.00159118803893127 0.00178374839478185 0.00133032893831796 0.00159542419466162 0.00140160619952122 0.00107292189734028 0 0 0 0 0.00101193089651756 0 0 0 0.00155706612118593 0.00130609775410013 0.00178349189911576 0.00149490612174511 0.000982439902885389 0.00107466504799477 0.00106268005837689 0.00106685727092396 0.00127916103163295 0.00128965496549319 0.000998764050142626 0.00102695120161649 0.00118142662131563 0.00111233029875308 0.00130108830094926 0.000966923286046313 0.0014132706387981 0 0.00142767211281848 0 0.00117983952154002 0.000969705178676484 0.00114390565777232 0.00106773705205692 0.00103166263442344 0.00139196810123479 0.00150510112994123 0.00118300094222145 0
"Cxcl12" 0 0.00131870328332502 0.00367438744373611 0.00107192451816511 0.00101454094644604 0.00126575022107563 0.00105197793479445 0 0.00109040988550145 0 0.0012087312925059 0 0.00137982727773468 0 0.00113905906652274 0.00115752432314373 0.00105056005977303 0.00113142892160148 0.00119450752342193 0 0 0 0 0 0 0 0 0 0 0 0.00132478426710201 0.00100003876034104 0 0 0 0 0 0 0 0 0 0 0 0 0.000992074797109688 0 0 0 0 0 0 0 0.00237602971550721 0 0 0 0
"Efnb2" 0 0 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3e" 0 0.00103478058754252 0.00152438834003111 0 0 0.00113633665053215 0.00097382806993733 0 0 0 0.00147505173628004 0.00115652544778068 0.0010767912816448 0 0.00101952421243175 0 0 0.000983692141443451 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl2" 0 0.00100913508274634 0.00132452488563961 0 0 0.00104252021259637 0 0 0 0 0.00101889612606357 0 0.00105675375354495 0 0.000981380510892943 0 0 0.000988583136909151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0 0.00135403749472132 0.0016041449090231 0.00119537386418107 0.00106032325006428 0.00135234171579583 0.000985008798665419 0.00100818756366548 0.00122282933119129 0 0.00147349271975164 0 0.00133311729502355 0.000990516144396443 0.0012751967525103 0.00126651058233633 0.00119161309663787 0.00109411069194566 0 0 0 0 0 0 0 0 0 0 0 0.00100130143974622 0.00105229548019358 0 0 0 0 0 0 0 0 0 0 0.000995595595148479 0 0 0 0 0 0 0 0 0.000968473058986966 0.00104668645397798 0 0.000981979872837374 0 0 0
"Anxa1" 0 0 0.00108754437855886 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0 0 0.00121303997570744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0 0.00114542367610349 0.00158334674085987 0.0010033518807637 0.00118109356161783 0.00130298764969844 0.00100214429273981 0 0.00123074854504376 0 0.00155665617237959 0 0.0016512166756348 0 0.00132491325493371 0.00113167503723696 0.00130334604285154 0.00117448914632622 0.0011468795928139 0 0 0 0 0 0 0 0 0 0.00124281180676815 0.00107071598821765 0.00116624102048181 0.00126503641023077 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114914258046782 0.00114492202676393 0 0 0 0 0.000995863912866498 0 0
