"Anxa2" "Bax" "Bcl2l1" "Bhlhe40" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Hif1a" "Icam1" "Ldha" "Lmna" "Mcl1" "Msn" "Nme1" "Psmc6" "Ptgs2" "Sod2" "Sparc" "Tnfrsf12a" "Trib1" "Vegfa" "Actb" "Ccnd3" "Clic1" "Gapdh" "Gdf15" "Irf9" "Krt8" "Nfe2l2" "Socs3" "Ybx1" "Gramd2" "S100a10" "Calr" "Cd14" "Cryab" "Hspb1" "Krt18" "Mdm2" "Serpine2" "Tgfbr2" "Vdac1" "Aldoa" "Cd164" "Ceacam1" "Ptgs1" "Rac1" "Gadd45a" "Isyna1" "Slc3a2" "Lama5" "Lcn2" "Btg2" "Eif5a" "Ifih1" "Rhoa" "Fth1" "Hist1h2bc" "Lasp1" "Pcbp1" "Tmem37" "Znfx1" "Phb2" "Prdx5" "Tmbim1" "Calm1"
"Lrpap1" 0 0 0.00117305108037101 0.00127865641384687 0.00136080936965118 0 0.00157956256806241 0 0 0.00131570357430475 0.00130179882185781 0 0 0.0013292398841462 0 0 0 0.0012804303933304 0 0 0 0 0 0 0 0 0 0.00118729708905031 0.00119368533438377 0 0.00127754871955826 0 0 0 0.00115029101068653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il16" 0 0 0.00166309301776139 0.00134052866808187 0.00152302695035347 0 0.00164031543340302 0 0 0.00137572638089323 0.00142337269121754 0 0 0.00147590456240651 0 0 0 0.00145968015309742 0.00115297226564464 0 0 0 0 0 0 0 0.00131049148990208 0.0013025634463256 0.00130733292692541 0.00132735575002946 0.00118669834882551 0.00115376907703682 0.00115137149352849 0 0.00121709748572661 0.00119518711079048 0.00135225683243454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136222247296744 0 0 0 0 0 0 0 0 0.00128447751614012 0.00122237007793206 0 0
"Itgb1" 0 0 0 0 0.00141891009476632 0 0.0023583641063619 0 0 0.00115787128547419 0.00116470592654962 0 0 0.00120377757256709 0 0 0 0.00115612719647975 0 0 0 0 0 0 0 0 0 0.00123606154350047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0 0 0 0.00119945942285115 0 0.00138978309478463 0 0 0 0 0 0 0 0 0.00184033222145903 0 0 0 0 0 0 0 0 0 0 0.00115500085767825 0 0 0 0 0 0 0 0 0.00221087309602349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna5" 0 0 0.00123759964126831 0.00128229444786586 0.00152939590151057 0 0.00171229792557183 0 0 0.00135458309859903 0.0012275916740436 0 0 0.00132516985427714 0 0 0 0.00120074582515102 0 0 0 0 0 0 0 0 0.00118123412586737 0.00139281703689129 0.00118791220590326 0 0 0 0.00119696084198595 0 0 0 0 0 0 0 0 0 0 0 0 0.00118606873188964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00130113046119239 0.00124337906893848 0.00180991592613028 0.00158795388182787 0.00193361403825029 0 0.00296467644517818 0 0 0.00173150113609308 0.00168226934658771 0 0 0.00175965415578695 0 0.00145038743054541 0 0.001703242632478 0.00166494980013655 0 0.00116469269161328 0 0.00132983536985592 0 0 0.00123172057618832 0.00164713880438147 0.00179764943299951 0.00169455534887847 0.0013742975211579 0.00166519308200162 0.00139754844491823 0.00149202535187695 0.00124136525038314 0.00145540154789745 0.00148986307397502 0.00151509269512285 0 0 0.00146486921033178 0 0 0 0.00121811467121443 0 0.00148704754301083 0 0.00138995686369621 0 0.00121703993002482 0 0 0 0 0.00132270569898628 0 0.00123278618222357 0.0012408236762611 0 0.00135715710110835 0.00125129571680613 0 0 0.0012793841595511 0.00132667343605835 0.00124543617273829 0.00114933767627248 0 0 0 0.00117311851666198 0 0
"Hc" 0 0 0 0 0.00128801837798495 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001994648367245 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0 0.00143730442326052 0.00145914838772254 0.00174813253088666 0 0.00188044658787928 0 0 0.0013434363341481 0.00130393379050722 0 0 0.00148512531126647 0 0.00127681993639204 0 0.00133913952023012 0.00123272139760409 0 0 0 0.00124295822930566 0 0 0 0.00133954145899324 0.00156776997326893 0.00121796562353523 0.00117463805185294 0.00123388280103664 0 0.00123569011834956 0 0.00118725210810313 0.00132421712030051 0.00127793938704284 0 0 0 0 0 0 0 0 0 0 0.00126603923485687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0 0.00115993367388151 0.00176616475343128 0.00154248234840864 0.00196545252932372 0.00226856518985626 0.00206911530949821 0 0 0.00150218821176013 0.00170368372605386 0 0 0.00197603053817831 0.00119943326858578 0.00152664699934757 0 0.0015406909372773 0.00139312205183961 0 0 0 0.00140792375990599 0.00212851138965628 0 0.00119530599656651 0.00152800804205562 0.00250313799333803 0.00152012849124405 0.00119691697368809 0.00134863235874304 0.00127317639260921 0.00134123690865058 0 0.00143327073942227 0.00138462444892899 0.00143038606989501 0 0 0.00126615679310811 0 0 0 0 0 0.00120053978595704 0 0.0012657835373621 0 0.00114981150815589 0 0 0 0 0.00122164514590409 0 0.00131174750016102 0.00115555570781167 0 0.00124032981018802 0 0 0 0.00115337820528522 0.00117464468271232 0 0 0 0 0.00118132818685615 0.00118149243197685 0 0
"Tnfsf13b" 0 0 0.00248380239986209 0.00126152810655526 0.00158421183865339 0 0.00171852712084425 0 0 0.00132550126110563 0.0015205920151777 0 0 0.00134119447690488 0 0.00140725078539295 0 0.00133827636679014 0 0 0 0 0 0 0 0 0.0011624352409784 0.00139692631819452 0.00118100036603681 0 0 0 0.00114535811298101 0 0 0.00115837570865434 0.00117949642551493 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
