"Ccl7" "Cd14" "Cd86" "Cflar" "Csf1r" "Cxcl16" "Icam1" "Irf1" "Irf7" "Nampt" "Nfkb2" "Ptafr" "Socs3" "Stat1" "Xaf1" "Basp1" "Bax" "Cdkn1a" "Hif1a" "Ifit3" "Il1b" "Itgb5" "Lpcat2" "Mdm2" "B2m" "Fam129b" "Gadd45b" "Ly86" "Psmb9" "Tap1" "Tapbp" "Cd68" "Msr1" "Aif1" "Ccl2" "Cd72" "Sema4d" "Ccr5" "C1qb" "C1qc" "C3ar1" "Arl4c" "Ceacam1" "Mmp14" "Cd274" "H2.T23" "Il21r" "Ifih1" "Ctsb" "Slc3a2" "Cfb" "Dhx58" "Gbp3" "Anxa3" "Lgals1" "Spint1" "Emp1"
"Col4a1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00152308824586791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00334132688057461 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00233096218899112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ltb" 0 0.00134111224202188 0.00153449748461014 0.00149360255057025 0 0 0.00205205967334107 0.00151992109673045 0.00127176677370098 0 0.00130757448468213 0 0.00142296505164355 0.00151487961890004 0 0 0.00133229771754634 0.00197876231105226 0 0.00132127218960461 0 0 0 0 0 0.00176600727677031 0.00159874956053645 0 0.00155304688508897 0 0.00169080175735594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00171145186709907 0 0 0 0 0 0 0.0012598736354472
"Fgf2" 0 0 0 0.0012758710499738 0 0 0.00248838117738215 0.00154306500852488 0 0 0 0 0.00148323621566164 0.00128622952732095 0 0 0.00378760245227831 0.00301269652847111 0.00495312976158389 0 0.00357781145726385 0.00214873896277155 0 0.00125081449987009 0 0.00129258483736188 0.00173736354169787 0 0 0 0 0 0 0 0.00253771787650822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf14" 0 0 0.00300692202387534 0.00147950052752625 0 0 0.00149544231301743 0.00139953248494277 0 0 0 0 0.00130949667943603 0.00140199299470058 0 0 0 0.00221446840421092 0 0 0 0 0 0.00136852235734368 0 0.0015723344518249 0.00161224845643928 0 0.00127401480449735 0 0.00136082427591152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00139608317978405 0 0 0 0 0 0 0
"Icam1" 0 0 0 0 0 0 0.00140576466739308 0.00137585998701513 0 0 0 0 0 0 0 0 0 0.00161961166893847 0 0 0.0019330452054655 0 0 0 0 0 0.00150718312484074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anxa1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00310601482548938 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0 0 0 0.00136640021543226 0 0 0.00142995270602061 0.00299673855016249 0 0 0 0 0.00178349189911576 0.00258822823634056 0 0 0.00141702622743424 0.00480643361495988 0.00134673366897332 0 0 0 0 0.00135979789205773 0 0.00135536435650387 0.00165476050860902 0 0.00257707317815693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00259491672564111 0.00130462759412336 0 0 0 0 0 0 0.0013860572863501
"Ptprc" 0 0 0 0.00125835430509483 0 0 0.00133963422988561 0.00166763018891343 0 0 0 0 0.001605852961689 0.00126660090568548 0 0 0 0.00171937967299817 0 0 0 0 0 0 0 0 0.00153818652184744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00127573356847944 0.0022782943652454 0 0 0 0 0 0 0 0 0
"Adam17" 0 0 0 0.00136939894207561 0 0 0.00152664699934757 0.00163720116196371 0 0 0.00123252561568953 0 0.00143038606989501 0.00126044164459815 0 0 0 0.00206911530949821 0 0 0.0046410995816828 0 0 0 0 0.00128666271153234 0.00170368372605386 0 0 0 0 0 0 0 0.00252053425906362 0 0 0 0 0 0 0 0 0 0.00228096519659245 0.00206317307479586 0.00141618319840021 0 0 0.00131174750016102 0 0 0 0 0 0 0
"Tnfsf13b" 0 0 0 0.00123805736523235 0 0 0.00140725078539295 0.0013355706406263 0 0 0 0 0 0 0 0 0 0.00171852712084425 0 0 0 0 0 0 0 0 0.0015205920151777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0 0 0 0.00137930124197411 0 0 0 0 0.00132478426710201 0 0 0 0 0.00367438744373611 0 0 0 0 0 0 0 0 0.00129663054851378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00200304387493873 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ccl2" 0.00130787560651585 0 0 0.00152034014699571 0 0 0.00167412976111649 0.00158307068328318 0 0 0 0 0.00153366509518096 0.00147514105277158 0 0 0 0.00208541132079138 0.00124195811375294 0 0.0023449147493067 0 0 0.00129386722125768 0 0.00141505718844113 0.00184912017815054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0021265236635669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0.00603006920604606 0 0.00444646867754721 0 0 0 0.00362141283380819 0 0 0 0 0 0 0 0 0 0 0.00160734617280627 0 0 0.00183632266179552 0 0 0 0 0 0.00132063824668414 0.004483359461739 0 0 0 0 0 0 0 0 0 0 0.00565009664284423 0.00517445847791113 0.00490866589710499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il7" 0 0.00148256397484828 0.00158221038811498 0.00209436880035308 0 0.00127458841354903 0.00223078283587621 0.00363834076432499 0.001327238854576 0.00130080009872044 0 0 0.00356529966371426 0.00246797701227526 0 0 0.00176917634427187 0.00275513204790105 0.00159921451806614 0.00151458880673169 0 0 0 0.00174486864454402 0.00157963819013291 0.00173036733376896 0.00235967140729934 0.0015376350742636 0.00166433329601025 0.0018378490019758 0.00141514087737076 0 0 0 0.00136952262812577 0 0 0.00321867723845355 0 0 0 0.00159600917315462 0 0 0.00190271283676978 0 0.00177836253750175 0 0.00128115446477365 0.00180796876798485 0.00148120697519257 0.00136756213409935 0 0 0 0 0.00174539732945291
"Hbegf" 0 0 0 0 0.00244747395895684 0 0.00139941167804101 0.00151666272721611 0 0 0 0 0.00124169901990256 0 0 0 0.00369077923673185 0.00189441420720381 0 0 0 0 0 0 0 0 0.00136802792326024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0 0 0.00245202942115846 0.0024258205179394 0 0 0.002338318134906 0.00462711500731797 0 0 0 0 0.00135991631917548 0 0 0 0.00378673150218 0.00201992273566579 0.00387769051653293 0 0 0.00210082044401233 0 0 0 0.00124535983460718 0.00164521067322292 0 0 0 0 0 0 0.00243985122761 0.00246879055964681 0.00206792822043719 0.00229154958951792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Csf1" 0.00287946520325327 0.0043400854220546 0 0.00123856394372145 0.00687937359236503 0 0.00148988919430811 0.00147965594421037 0 0 0 0 0.00135318498507661 0.00244939423815843 0 0 0.00124972259228168 0.00185297013945852 0 0 0.00211606700126508 0 0 0 0 0 0.00165123073323341 0 0 0 0 0.00214939784101277 0.00299846426066718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selp" 0 0 0 0 0 0 0.00123238742323833 0.00127550587689659 0 0 0 0 0 0 0 0 0 0.00154181477979211 0 0 0 0 0 0 0 0 0 0.00136771668158098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0 0.00460091968010032 0.00479029368772346 0.00456621574328611 0.002617908526346 0 0.00403017469022695 0.00153627936919529 0 0 0 0 0.00567161006627657 0.00134403542332266 0 0.0044648967027366 0.00501298582846888 0.00548303347996596 0.00512547950130937 0.00466566099947073 0.00357074356336784 0.00454188789266344 0.00486630691774955 0.0045332986722952 0 0.00149136829657546 0.00315856619923651 0 0 0 0 0 0.00319786447902971 0 0.00259006744946717 0 0 0 0 0 0 0 0 0 0 0.00222916041277135 0.00127794308772683 0.0023373522653487 0 0.00141667766262817 0 0 0 0 0 0 0
"Tnf" 0.00615378535183138 0.00582447301471481 0.00604824111720986 0.00552093546127668 0.00685592083395257 0.00677141553495259 0.00832031083479247 0.00578740592686896 0.00564060864787526 0.00537656670340662 0.00554174035685809 0.0069929867630917 0.00540665823199831 0.00534756966893018 0.00555238596437144 0 0.00469445581613238 0.00481058644128366 0.00487567746376481 0 0.00436830358840837 0 0 0 0.00228237884853954 0.0012376011390007 0.00274172717940895 0 0.0025208219722108 0.00280088583087454 0 0.00211637270431479 0.00295821002929518 0 0.00239734139831536 0 0 0.0023058238557155 0 0 0 0 0 0 0.00215514825040225 0 0.00269304163046852 0 0 0 0.00303350193534199 0 0 0 0 0 0
