"","Sec63","Pcdh7","Lrp10","Dlg1","Ptk7","Unc5b","Ryk","Ddr2","Lrp6","Sfrp1","Fzd1","Antxr1","Scarb2","Cd151","Fat1","Cd47","Igf2r","Rpsa","Vcam1","Osmr","Dag1","Itga1","Glg1","Gpc1","Sdc4","Cd44","Sdc1","Sdc2","Tgfbr2","Tgfbr3","Itga8","Itgav","Itgb5","Itga9","Itgb1","Lpar1","S1pr2","S1pr3","Ednra","F2r","Ncam1","Igf1r","Nrcam","Ptpra","Gria3","Ptprd","Nrp1","Nrp2","Axl","Pdgfra","Pdgfrb","Colec12","Nptn","Clstn1","Ebp","Ghr","Mylk","Pth1r","Tnfrsf1a","Anxa6","Cul5","Rrbp1","Nectin3","Tnfrsf12a","Calm1","Prnp","Sphk1","Amfr","Atp5b","Pkd2","Bmpr1a","Bmpr2","Plxnb2","Ptprs","Rack1","Pkd1","Adgrl3","Fgfr1","Neo1","Lrp1","Il6st","Il1r1","Derl1","Cmklr1","Agtrap","Cd34"
"Hspg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322531549603126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103295647788543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232399123086234,0,0,0,0.293061776955819,0,0.10960023775516,0,0,0,0,0,0
"Thbs1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340051521904172,0,0,0,0,0,0,0,0,0,0,0.132160674891922,0,0,0,0,0.436259787263686,0,0,0.215658962029843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625241979369739,0,0,0,0,0,0
"Clstn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252443677350958,0.207394557196874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884142510414172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179146242106199,0,0,0,0,0,0
"Thbs2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2422404431704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190636719311023,0,0,0,0,0,0
"Hsp90b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176622449563947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331750786878528,0,0,0.202553313069005,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0
"Mmp9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53881811096963,0,0,0,0,0,0,0,0,0.401681940026392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310435776660169,0,0,0,0,0,0
"Plau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126882330941828,0,0,0,0,0,0,0,0,0.162657461661189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0
"Itgb7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431744857793497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vcam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172377264120606,0.0995665826262429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497441251210475,0.471078651730058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246717169249588,0,0,0,0,0,0,0,0,0.138883761267944,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
