"","Nptn","Fcgr3","Clec7a","Fcgr2b","Cxcr4","Ccr5","Ccr1","Ccr2","F11r","Itgam","Itgal","Itgb2","M6pr","Scarb2","Csf2rb","Itgax","Cd47","Dab2","Csf1r","Csf2ra","Itgb7","Rpsa","Cd44","Itga4","Itgb1","Itgb5","Axl","Mertk","Il6ra","Tnfrsf1b","Sort1","Ldlr","Lrp1","Trpv2","Rack1","Rrbp1","P2rx4","Tgfbr1","Sec63","Ptprc","Ptpn6","Nrp2","Glg1","Atp5b","Calm1"
"Fn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140132663789715,0.161194146517752,0.294752691402503,0.103179164688241,0.433977464142074,0.330575519955274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204673004390862,0.176509640800292,0.0923475211196466,0.210629161615286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rps19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211404329570513,0,0.200830142310437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vcam1",0,0,0,0,0,0,0,0,0,0,0,0.186687838188365,0,0,0,0,0,0,0,0,0.396060363097131,0.0995665826262429,0,0.377237572836133,0.471078651730058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990476325538896,0,0,0,0,0,0
"Nenf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990476325538896,0,0,0,0,0,0
"Pcdh7",0,0,0,0,0.167642080502292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160410266983492,0,0,0,0,0,0
"Cxcl14",0,0,0,0,0.217748792731457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pecam1",0,0,0,0,0.208980926209891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cfh",0,0,0,0,0,0,0,0,0,0.122228008955487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F11r",0,0,0,0,0,0,0,0,0.0586451396970964,0,0.037492178078916,0.284501553961801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135048233562085,0,0,0,0,0,0,0
"Itgb2",0,0,0,0,0,0,0,0,0.597442141578292,0.106296720854717,0.48930312584536,0,0,0,0,0.0222488898717167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam1",0,0,0,0,0,0,0,0,0,0.106296720854717,0.0654290373219354,0.0611300864894527,0,0,0.135522665839058,0.40875449117304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam2",0,0,0,0,0,0,0,0,0,0.0346754335212614,0.332445880271921,0.0611300864894527,0,0,0,0,0,0,0,0,0,0,0.131695303348695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpi1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831994139349206,0
"Pkd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137781251203572,0
"Ceacam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436140145393916,0,0,0,0
"Kitl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286522636258257,0,0,0,0
"Gas6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04100463036071,1.02666185385441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pros1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216274304565458,0,0,0,0,0.613751700868118,0.446359657770564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215323106219401,0,0,0,0.481629489806837,0.369319140177306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162086214185983,0,0,0,0,0,0,0,0.27756109262775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275932202315594,0.265904492699208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122286674878258,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wnt5a",0,0,0,0,0,0,0,0,0,0,0,0,0.13230700072631,0.1338021143551,0,0,0,0.0265030821310182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122286674878258,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itgal",0,0,0,0,0,0,0,0,1.00383969605674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jam2",0,0,0,0,0,0,0,0,0.326519703374384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160771549191508,0.177918065691644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mapt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193483307384874
"Lgals3",0.547610032751441,0.0291577595094702,0.298079959423935,0.401295979785003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389762463748047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110630458510842,0,0,0,0,0
"Csf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3399142492834,0.351804206334404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
