"Acta2" "Basp1" "Ccnd1" "Cdkn1a" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Des" "Eln" "Fbn1" "Fkbp1a" "Fn1" "Grem1" "Hif1a" "Igf1" "Lox" "Loxl2" "Mdm2" "Mmp2" "Nme1" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Snai1" "Sod2" "Tagln" "Thbs1" "Thbs2" "Timp1" "Tpm4" "Adamts4" "Anxa2" "Ccnd2" "Cd44" "Ecscr" "Fmod" "Gapdh" "Id3" "P4hb" "Ptn" "Runx1" "Spp1" "Tnc" "Actb" "Fam129b" "Ier5" "Nrcam" "Pfn1" "Sept9" "Tubb5" "Vasp" "Isyna1" "Myh9" "Tgfb2" "Enc1" "Lama5" "Ncam1" "Fst" "Hbegf" "Sparc" "Odc1" "Ranbp1" "Tm4sf1" "Pkm" "Col8a1" "Il13ra1" "Il1r1" "Inhba" "Mmp14" "Gnas" "Eno1" "Tagln2" "Angptl4" "Ctsk" "Ldha" "Tnfrsf12a" "Tpm1" "Adamts12" "Calm1" "Sfrp1" "Dclk1" "Ier5l" "Ppp1r14b" "Prdx5"
"Bmp4" 0.00413856235093631 0 0.00282542400280105 0.00314605775773029 0.00121880167980661 0.00101617793848336 0 0.00106492606322081 0.00107152754032733 0 0 0 0 0.00163746098150271 0.00690799655342899 0.00140652004539028 0.00107114566288954 0 0 0.00146112579798381 0.00220162980644983 0.00118394744879641 0.00103688409381032 0 0 0.00195808310737064 0 0.00110557032283251 0.00104588899384841 0 0.00126015879274672 0.00106091988451866 0 0.00133449626877576 0 0.0014074570290259 0.00155066769729061 0.00128934031669421 0 0 0.00151062941428825 0.0031134178316229 0 0 0.00168063057167453 0 0.00116055854158314 0.00167989700560281 0.00146956587216526 0.00138583951106783 0.00103193352798091 0.00143300676592414 0.00165073318849144 0.00153711971467272 0.00143151173080917 0 0.00152267215616941 0.00129035136807453 0.00134691948039916 0.0014082331578757 0.00125584733437903 0.00265253295966565 0.00101608340768898 0 0.00139694185283906 0.00146312650638173 0.00135069267171423 0.00124834876585614 0 0 0 0 0 0.00129208715619899 0.0014070999242616 0.00135165136015141 0.00132389165359035 0 0.00118719449753814 0.00138586600501744 0.00132923683457015 0 0.00124067792067049 0.00125729377508016 0.00116710452440646 0.00122954574188298 0.0010970340223851 0.00122720236339226
"Vcam1" 0 0 0.00101712323048887 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00174132306296177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0 0.00165517880547517 0.00172438615322352 0 0 0 0 0 0 0 0 0 0.0011457713304802 0 0 0 0 0 0.00106290315168148 0 0 0.00203974471976682 0 0.00528132530414328 0.00240747099328217 0 0 0 0 0 0 0.00185060820883847 0 0 0 0.0012407605486942 0 0 0 0.00108596591128406 0.00144977728309828 0 0 0.00115716925079297 0.00405193709315663 0 0.00126282497199686 0.00112075831308228 0.0010702346143253 0 0.00106913997913822 0.00122988507862243 0.00116920393796588 0.00108460354547928 0 0.00110625333023813 0 0.001031260585296 0 0 0 0 0.00224052357432998 0 0.00104347468283822 0 0 0 0 0 0 0 0 0 0.00106187338909939 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0.00387865172969125 0 0.00168013374448286 0.00177374486570155 0.00111111005972621 0 0 0 0 0 0 0 0 0.00121538013297602 0 0 0 0 0 0.00104955035575396 0.00418784664305765 0 0 0 0 0.00143870335246138 0 0 0 0 0.00103851634112459 0 0.00379242755032811 0.00113076949037393 0 0.00103880819385333 0.00116104928125516 0 0 0 0.00117644706106746 0.00136684470328049 0 0 0.00122463898826833 0 0 0.00136532258067635 0.00120095347038088 0.00114880748160296 0 0.00123962414145568 0.00131775964713932 0.00119742703413151 0.00127598962493952 0 0.00114688291389529 0 0 0.00110725377784128 0 0 0 0 0.00112334521315028 0.00112203972725607 0.00107465463928719 0 0 0 0 0 0 0 0.00105630289271844 0.00106017316969769 0.00101757388396891 0 0 0.00113931068814894 0.00101363988611103 0 0 0 0 0 0 0
"Edn1" 0 0 0.00166797816169625 0.00188972934016114 0.00406632226576029 0.00430284300218838 0.00507425261027675 0 0 0 0 0 0 0.00127971483878582 0 0.00215869823303724 0 0 0 0.00111255409961879 0 0 0 0 0 0.00154295705737696 0 0 0.00377306822695088 0 0.00107620731155021 0 0.00195713366293793 0.00104874399070875 0 0 0.00118816643119783 0.0021558145226926 0 0 0.00126633164836397 0.00140391789878661 0 0 0.00113317261631609 0 0 0.00119186886368411 0.00106432463285987 0.00107638145261478 0 0.00120159539202971 0.00119475334146133 0.00125963308360365 0.00104781425194271 0.00210794094243877 0.00112539673770424 0.00102250305295204 0 0.00109789413576251 0 0.00242602597592015 0.00214917490926885 0 0.00111912864305946 0.0011497652090874 0 0 0 0 0 0 0 0 0 0.00102988746174776 0.00108585055233817 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00407582238883859 0 0.00162587704303284 0.00225560517487711 0.00123585671162163 0 0.00103604519821638 0.00106760603302712 0.00110408354303471 0 0.00107851761243098 0 0 0.00446920500700439 0 0.00116391145876509 0 0 0 0.00127187971854487 0 0.00101439269387709 0 0 0 0.00474246844207253 0 0 0 0 0.00107998525785206 0 0 0.00108314033458296 0 0.00134456078833214 0.00125994327621658 0.00131286794977783 0 0 0.00110563178684529 0.00202957344950618 0.00205980992087896 0 0.00166748513061938 0.00219667614821806 0.00642598074252033 0.00171215492557961 0.0012831778123221 0.00135347340220635 0 0.0013860823839256 0.00143225240943012 0.00136146995552084 0.00114502240893747 0 0.00145915110208982 0.0013767278673098 0.00143547050355449 0.00138792019126399 0.00226850657271411 0.00119830485356036 0 0 0.00115560048468542 0.00113954184911647 0.00131305082479475 0.00117160013313915 0 0 0 0 0 0.00117878296305067 0.00105809804941729 0.00128860596609987 0.00111470524778343 0 0.00109136303037504 0.00118897882277208 0.00117458558665939 0 0 0.00125646845831403 0 0 0 0.00103014461884696
"Vwf" 0.00376622506227698 0 0.00232862154106789 0.001610812123258 0.00384617150905376 0 0 0 0 0 0 0 0 0.00109901751747858 0 0 0 0 0 0.00102592135532979 0 0 0 0 0 0.00128357640960157 0 0 0 0 0 0 0 0 0 0 0.00118071999362242 0 0 0 0 0.00125103675654099 0 0 0.00107191850919342 0 0 0.00105613922150055 0 0 0 0 0.00104725817667612 0 0 0.00204088956950176 0.00101929878944556 0.00421558763554107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0 0 0.00158408372530799 0.00187530116358333 0.00111379146622818 0.00421524682203956 0.00495879526473618 0 0 0 0.0049989028848838 0 0 0.00125375186388455 0 0.00109791002016398 0 0 0 0.0011997696364407 0 0 0 0 0 0.00152723633884689 0 0 0 0 0.00424683178350971 0 0.00377514477134519 0.00109622640384678 0 0.00106488429002455 0.00132470875953889 0.0022846384445117 0 0 0.00119273253630364 0.0014267373474043 0 0 0.00130539850736186 0 0.00447159030759513 0.0014557991705183 0.00120316975019438 0.00122259504577811 0.00464786109374564 0.00123120779421862 0.00133409872616051 0.00133668505344441 0.00127119297061563 0 0.00117497150695883 0 0.00102487113709424 0.00115069493087207 0 0 0 0 0.00114697927128862 0.00118698658189753 0.00103966098444528 0 0 0 0 0 0 0.00101959110481208 0.00110317312324098 0.00104735392720594 0.00102266876945881 0 0 0.00103031782855664 0.00102033286831262 0 0 0 0 0 0 0.00107585164381746
"Fgf2" 0 0 0.00486015034403085 0.00301269652847111 0.00228653722799215 0.00225688661748847 0 0 0 0 0 0 0 0.0014337325430763 0 0.00495312976158389 0.00236694655946615 0 0 0.00125081449987009 0.00523830534998965 0 0 0.00264716044747125 0 0.00561307382358825 0 0 0.0010278191494014 0 0.00246573601933631 0 0.00209778431201249 0.0012500830165794 0.00238793670167162 0.00238775461227508 0.00261560597912654 0.00538651594954828 0.00277489061980416 0.00272894063036896 0.00271055838891752 0.00175528603823209 0.00201522497073303 0.00256750309028565 0.00263200187505393 0.00213698915373628 0.00245508572184439 0.0014694956705675 0.00129258483736188 0.00134645097729705 0 0.00128777347451712 0.00148156016694361 0.00145246228974306 0.00131994407984827 0 0.00139511301299673 0.00110162238137972 0.00112076820154975 0.00115776363504512 0.0010707139286358 0.00110562309399546 0 0 0.00120542844579429 0.00139379096363892 0.00123748167171438 0.00107908739915419 0 0 0 0 0 0.00107867647370738 0.00128235102553557 0.00124360771361438 0.00116999279610799 0 0.00110235189829532 0.00123904410968292 0.00115986129379706 0 0.00109276604038802 0 0.00102470407284978 0.00109096535302298 0 0.00114559180987005
"Tgfb1" 0.00418218125163802 0.0044648967027366 0.0049155449618628 0.00548303347996596 0.00551568106052913 0.00782831487095467 0.00527727585757168 0.00485394028475774 0.00518054605732199 0.00667980754670224 0.00698701226936435 0.00494533872999235 0.00436841205840133 0.00583983968729012 0.00512348508486343 0.00512547950130937 0.00566017293649168 0.00465483345413051 0.00519585533520799 0.0045332986722952 0.00539083089228823 0.00433370091195563 0.00585914002902647 0.00697116831620746 0.00556543482970622 0.00587025025317145 0.00452512600179892 0.0046202192485117 0.00392899524263237 0.00666074381041192 0.00592596870735485 0.00762564350377563 0.00514659632818426 0.00510760544386226 0.00246276587944742 0.00136584088336789 0.00157270359399169 0.00256008438291661 0 0.00295418857773751 0.00153336342413857 0.00311605929807148 0 0 0.00173961119513968 0.00220228850676684 0.00263948532009254 0.00296597953804268 0.00149136829657546 0.00145440274252408 0.00103773902803215 0.00149627334430383 0.00168793008127137 0.00163917850063023 0.00154803841155808 0.00244096580435543 0.00159500839792795 0.00128689244248201 0.0013511796561731 0.00286538023665182 0.00267931776254805 0.00268892497131888 0.00102022313447565 0.002517570023229 0.00142562893293575 0.00144999892443804 0.00130791091179883 0.00119245953389744 0.00280551947762687 0 0 0 0 0.00129140126221758 0.00137383199363539 0.0014048054064054 0.00266262670309782 0.00235088053120539 0.00116525920248271 0.00264835032139451 0.00278480975554596 0 0.00122107137240598 0.00121121991813088 0.00118166960833495 0.00119786124610887 0.0011454292070118 0.00125644357451268
