"Bax" "Bgn" "Cd44" "Cdkn1a" "Col1a1" "Csf1" "Cxcl12" "Gsta3" "Id3" "Igf1" "Junb" "Mmp2" "P4hb" "Pgf" "Runx1" "Sdc4" "Thbs1" "Timp1" "Tnc" "Col3a1" "Fn1" "Gbp2" "Ptges" "Socs3" "Sod2" "Tgfbr2" "Vcan" "Acta2" "Des" "Hic1" "Hspb1" "Ifit3" "Serpine2" "Snai1" "Actb" "Tubb5" "Ier5" "Psen1" "Isyna1" "Cp" "Fth1" "Irf7" "Tnfrsf1a" "Xaf1" "Lpp" "Nnmt" "B2m" "Cyp7b1" "Hmgcs1" "Xbp1" "Rcan1" "Cfb" "Col18a1" "Ldha" "Eif2ak2" "Actn1"
"Apoe" 0 0 0.0038757690753724 0.00160734617280627 0 0.00434100032728227 0.00439515923364999 0 0 0.00398311039481062 0.00124925669181371 0.00385945044556401 0 0 0 0 0 0.00368591735096147 0 0 0 0 0 0 0 0 0 0.00377844087347625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00504645545760657 0.00396959391231876 0.00396342881260557 0 0 0 0 0 0
"Il1rn" 0.00382231298171974 0 0.00120434579824114 0.00197102569365138 0 0.0013821864268414 0 0 0.00155566597696884 0 0.00176112139975003 0 0 0 0 0.00139352262139632 0 0 0 0 0.00142689569318368 0 0 0.00154112690518722 0 0 0 0 0 0 0 0 0 0 0.00142414506818491 0.00122993202471693 0.0013787304782195 0 0 0 0.00125520435880016 0 0.00170077525032638 0 0 0 0.00135244863767953 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0 0 0.00152308824586791 0 0 0 0 0.00147693163390325 0 0.00124070784102932 0 0 0 0.00122304405896842 0 0 0 0 0 0 0 0 0 0 0.00121700748661509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0 0 0.0021558145226926 0.00188972934016114 0.00406632226576029 0 0 0 0.00140391789878661 0 0.00143524740158983 0 0 0 0 0 0 0.00195713366293793 0 0.00507425261027675 0.00127971483878582 0 0 0 0.00377306822695088 0 0 0 0 0 0 0 0 0 0 0.00125963308360365 0 0 0.00210794094243877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0 0 0.00171852712084425 0 0 0 0 0.00133349852281733 0 0.00138329551568614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00361100199031988 0 0 0.00172438615322352 0 0 0 0 0.00144977728309828 0 0.00137970310019102 0 0 0 0 0 0 0.00185060820883847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126282497199686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0.00208044118254743 0.00367438744373611 0 0 0 0 0.00125994899055875 0 0.00129011155014208 0.00200924803771616 0 0 0 0 0 0 0 0 0 0 0 0.00132478426710201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0.00234737228060848 0 0.00128934031669421 0.00314605775773029 0.00121880167980661 0.0012028695669846 0 0 0.0031134178316229 0 0.0018758982893895 0.00220162980644983 0 0.00123910719175785 0.00168063057167453 0.0012936804397207 0.00126015879274672 0 0 0 0.00163746098150271 0 0 0.00155748341012834 0 0.00146442824687708 0.00135048907106763 0.00413856235093631 0 0.00131426567155451 0 0 0 0 0.00167989700560281 0.00153711971467272 0.00138583951106783 0 0 0 0.00132428579111218 0 0.00132432529794285 0 0.0013870859671245 0.00121962911843292 0 0 0 0 0 0 0.00141224794239243 0 0 0
"Hc" 0 0 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0.00369077923673185 0 0 0.00189441420720381 0 0 0 0 0.0014497949498846 0 0.0014950652402262 0 0 0 0.00124337027374521 0 0 0 0 0 0.00120331193962465 0 0 0.00124169901990256 0 0 0 0 0 0 0 0 0 0 0.00120974304173577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
