"","Cd247","Il2rb","Cd3d","Cd3g","Cd2","Cd22","Itgal","Itgb2","Il7r","Il2rg","Spn","Cxcr4","Sorl1","Selplg","Sell","Ptprc","Ptpn6","P2ry10","Il18r1","Glg1","Cd74","Anxa6","Atp5b","Calm1","Ptk2b","Itgb7","Rpsa","Rack1","Slc1a5","Cd47","Itga4"
"Calm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162086214185983,0,0,0,0
"Dusp18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161365689282064,0,0,0,0
"Itga4",0,0,0,0,0,0,0,0,0,0,0,0.0157576913285497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706158464263322,0.0995665826262429,0,0,0,0
"Rps19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211404329570513,0,0,0,0.200830142310437
"Fn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140132663789715,0.161194146517752,0,0,0,0.103179164688241
"Vcam1",0,0,0,0,0,0,0,0.186687838188365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396060363097131,0.0995665826262429,0,0,0,0.377237572836133
"Ptprm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202074381921627,0,0,0
"Ptprf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120180317200094,0,0,0
"Ptn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156101134643496,0,0,0
"Aimp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742070699219637,0,0,0
"Igf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223158605958851,0,0,0
"Mif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616099017851631,0,0,0,0,0,0,0,0,0,0.129681652820949
"Anxa1",0,0,0,0,0,0,0,0,0,0,0,0.252284245693378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200830142310437
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176509640800292
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160771549191508
