Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	0	1	0	0	1	1	0	0	0	2	0	0
Alveolum	1	8	0	0	3	8	0	0	0	7	1	0
MNP	3	7	1	0	5	7	1	0	1	7	1	1
Lymphocytes	0	0	0	0	0	0	0	0	0	0	0	0
Granulocytes	0	2	2	0	1	3	0	0	0	4	1	0
Fibroblasts	2	12	0	0	5	17	2	0	1	15	1	1
Pericytes	0	5	0	0	0	6	0	0	0	5	2	0
SMC	0	1	0	0	0	0	0	0	0	0	0	0
Mesothelium	0	1	0	0	0	2	1	0	0	1	0	0
Capillary_ECs	1	10	0	0	2	14	0	0	1	11	1	0
Vascular_ECs	0	2	0	0	0	3	0	0	0	2	0	0
Lymphatic_ECs	0	3	0	0	0	3	0	0	0	3	0	0
