Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	21	5	1	9	0	27	1	1	0	1	1	0
Alveolum	15	5	0	6	0	18	1	2	0	2	1	0
MNP	28	12	1	9	0	26	1	1	0	2	1	1
Lymphocytes	9	4	0	3	0	9	0	0	0	0	0	0
Granulocytes	13	6	0	4	0	14	0	0	0	0	0	1
Fibroblasts	33	14	0	14	0	42	2	2	0	1	0	0
Pericytes	20	9	0	2	0	22	1	1	0	0	0	0
SMC	16	5	0	5	0	22	2	2	0	0	0	0
Mesothelium	25	8	0	9	0	29	2	1	0	1	1	0
Capillary_ECs	16	6	0	4	0	18	2	2	0	0	0	0
Vascular_ECs	26	8	0	10	0	31	3	2	0	0	0	0
Lymphatic_ECs	27	10	0	5	0	32	1	1	0	0	0	0
