"Actb" "Aqp4" "Bcl2l1" "Ccnd1" "Cdkn1a" "Cxadr" "Elf3" "Epha2" "Gapdh" "Icam1" "Isyna1" "Pfn1" "Stat3" "Flot1" "Tgfbr2" "Ager" "Muc1" "Aldoa" "Aqp5" "Upf1" "Basp1" "Gsto1" "Tm4sf1" "Akr1b8" "Ltf" "Areg" "Tagln2" "Gadd45g" "Gnas" "Slc9a3r1" "Gclc" "Lcn2" "Nedd4l" "Ftl1" "Cbr3" "Xbp1" "Chil1" "Clu" "Enpp2" "Ldha" "Atp1b1" "Cd9" "Lbp"
"Ghrl" 0.0012186132653669 0 0.00402707256068496 0.00162544191092792 0.00181502530273677 0 0.00119146232492319 0.00132326111140976 0.00116570626151248 0.00374339786157998 0 0.00113972986475383 0.00125373209948541 0.00117324254094021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl16" 0 0 0 0.00112031842130571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0.00109533849537324 0 0.00143151547473605 0.00243961924686273 0.00162696765585824 0 0.00110260772929983 0.00117927515609857 0 0.00121223776378296 0 0 0.00119302430308092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0.00149273164062777 0 0.00195589408144421 0.00223976822030316 0.00480643361495988 0 0.00146455222931538 0.00149150768103652 0.00130594829431234 0.00142995270602061 0 0.00136205389247092 0.0018033674531214 0.00148518659539967 0.00123625977747831 0.00147481458910138 0.001402734292313 0.00149119568498676 0 0 0 0 0.00133412425019945 0 0 0 0.00109406356225767 0.00139196810123479 0.00120518055072475 0.00120221921755847 0 0 0.00121381873369529 0.00116761410961441 0 0 0 0 0.00111179448706461 0 0.00112702396169914 0.00126585388519423 0.00111585200778839
"Pecam1" 0.00121796562353523 0 0.00143730442326052 0.00174813253088666 0.00188044658787928 0 0.00120755513378492 0.0013434363341481 0.00109454971541497 0.00127681993639204 0 0 0.00136907262708369 0.00123659048526005 0.00126603923485687 0 0.00116963109500791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00126282497199686 0 0.00143074188544829 0.00165517880547517 0.00172438615322352 0 0.00109486126500062 0.00141576775432903 0 0.00127275023603779 0 0 0.00124490633779163 0.00113540887855102 0.00111838813338809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0 0 0.00114419677583603 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0.00115017429167651 0 0 0.00131106101658828 0.00152308824586791 0 0 0.00114700859439643 0 0 0 0 0 0 0.00121700748661509 0 0.00111901032607358 0 0 0 0 0 0 0 0 0 0 0.00108993255240146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0.00140298012164859 0.00165707195244785 0.00159098731198391 0 0 0.001183489158355 0 0.00126192246432492 0 0 0.00118933129772575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rtn4" 0 0 0 0.00110573455799774 0.00127594647776936 0 0 0 0 0 0 0 0.00365410918089921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.00197842523846087 0 0 0.00128801837798495 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.0014557991705183 0 0.00152975499583158 0.00158408372530799 0.00187530116358333 0 0.00117075827913492 0.00148326489364376 0.00119273253630364 0.00227822254511026 0 0.00123120779421862 0.0013077419881286 0.00133959162828033 0.00110095204957181 0 0 0.00109019690662193 0 0 0 0 0 0 0 0.00478283586807755 0 0 0 0 0 0 0.00111194731028743 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0 0.00176616475343128 0.00196545252932372 0.00206911530949821 0 0.00142255426229398 0.00150218821176013 0.00127317639260921 0.00152664699934757 0 0.0013662293519631 0.00143404551837469 0.00137746827114527 0.0012657835373621 0.00114099932632288 0.00258179189905994 0.00114981150815589 0 0 0 0 0.00121571011822464 0 0.00259341144660778 0 0.00121212877268694 0.00109938512602467 0.00117360891094602 0 0 0 0.00116059394112529 0.00122041553539074 0 0 0 0 0 0 0.00112943202911117 0 0
"Mmp9" 0.00136532258067635 0 0.00400475789821093 0.00168013374448286 0.00177374486570155 0 0.00120009186164615 0.00147147323090061 0.00117644706106746 0.00117875673257323 0 0.00123962414145568 0.00125381424028079 0.00123968510073616 0.00120187977068955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109570364461225 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00224754285905749 0 0.00512539730752171 0.00254898592522533 0.00297002690844441 0.0013393931720182 0.00192954454991842 0.00242489808804238 0.00211550342687762 0.00562016913687305 0.00134955281538341 0.00202998881384803 0.00210359138283426 0.00208214105952824 0.00171270417810028 0.00527474463608968 0.00182282846358807 0.00177637757815007 0 0 0.00115403279913705 0 0.00177955211285578 0.00524403507165371 0 0 0.00162298188378865 0.00186234155894657 0.00170276955605402 0.00176841917993115 0.00164321951592603 0 0.00182860849877275 0.00185641533246214 0 0.00115876871898168 0 0.00133133735129286 0.00140432916250912 0.00134937039522869 0.00169966745443444 0.00141747211541946 0.00144643939278668
"Tgfb1" 0.00296597953804268 0 0.00176299322375367 0.0049155449618628 0.00548303347996596 0.00109034180812989 0.00148904940255351 0.00189555020617561 0.00153336342413857 0.00403017469022695 0.00244096580435543 0.00149627334430383 0.00273917272899772 0.00167447646451182 0.00629791933528927 0.00482613282333761 0.00148717407548361 0.00131030416960445 0 0 0.0044648967027366 0.00422712107505249 0.00130791091179883 0 0 0 0.0014048054064054 0.0014453525000544 0.00129140126221758 0.00131350235045724 0.00120379984809656 0 0.00142634849150761 0.00130402177020084 0 0 0 0.00239610071735005 0.0011116919438891 0.00116525920248271 0.00133212465490292 0.00129999112640331 0
"Wnt5a" 0.00112272444746442 0 0.00126002942771165 0.00246177264272535 0.00157387631446763 0 0.00117302865271576 0.00125936576289916 0 0 0 0 0.00113992300787562 0 0 0 0 0 0.00488738195361255 0.00205304137245056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0.00120974304173577 0 0.00418890746463193 0.00177694186991293 0.00189441420720381 0 0.00118402082437806 0.00132573586962643 0.00123157553889115 0.00139941167804101 0 0 0.00145096511563367 0.00111160319934282 0 0 0.0012159887045616 0.00111639282333904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00118100036603681 0 0.00248380239986209 0.00158421183865339 0.00171852712084425 0 0.00126429103706457 0.00132550126110563 0 0.00140725078539295 0 0.00117966156174943 0.00132311070002571 0.00114725578863451 0 0.00110153608103979 0.00109406144322626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.00115234982413562 0 0.00137713515200171 0.00155234244201311 0.00166340261824615 0 0.00114542280446737 0.00127118773598424 0 0.00124723211845029 0 0 0.00115110869620677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0.00119186886368411 0.00713866059941827 0.00137989959040476 0.00166797816169625 0.00188972934016114 0.00429997558129845 0.00118514565698407 0.00134148941713181 0.00126633164836397 0.00229219060221284 0.00210794094243877 0.00120159539202971 0.00128419389958732 0.00114610231587765 0.001092472573137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
