"Actb" "Ahnak" "Cd34" "Cd38" "Ddit4" "Edn1" "Fas" "Ier3" "Ier5" "Irf2bp2" "Lmna" "Nos3" "Plat" "Serpine1" "Synpo" "Timp3" "Dusp6" "Mcl1" "Myh9" "Plaur" "Sparc" "Hif1a" "Ntrk2" "Col4a1" "Ctnnb1" "Itgb1" "Ldha" "Eef1a1" "Fkbp5" "Sgms1" "Rpl27" "Tpm4" "Cxcl12" "Mlec" "Xbp1" "Rps2" "Anxa2" "Tfpi" "Upp1" "Pim3" "Pfkfb3" "Gadd45g" "Csrp1" "Emp1" "Flnb" "Lrrfip1"
"Lamb1" 0.00107683527885814 0.00118242712874221 0 0 0.00135234171579583 0.001055396575715 0 0.00133311729502355 0.000990516144396443 0.00120158123516485 0.0011782374016629 0.00126651058233633 0 0.00117619661952761 0.000937452959544619 0 0.00100778688716927 0.00108981843068353 0.000981696501927884 0 0 0 0 0 0.00100817184762769 0 0 0 0.00100818756366548 0 0 0.000958602668065143 0 0 0 0 0 0 0 0 0 0.000981979872837374 0.000978112139850652 0.000938787457833429 0 0.000996651197346904
"Fgf2" 0.0014694956705675 0.0015332934058518 0 0 0.00171402362206595 0.00148581050309956 0.00125429501678053 0.00175304959895765 0.00134645097729705 0.00157769959998147 0.00169109559965225 0.00288342824117119 0.00230788709736049 0.00561307382358825 0.0014643995320808 0.000968667823336678 0.00132063105351558 0.00146154995099624 0.00139511301299673 0.00236128514454744 0 0.00495312976158389 0.00439570412645583 0 0.00130585989494037 0.00110613305658622 0.00110235189829532 0.00113297713197124 0.00132397506182081 0.00114149077317073 0 0.0012500830165794 0.00241942277429492 0 0 0.000989281511075052 0.00238775461227508 0.00229760965268396 0.00211232064551137 0.0010387669705566 0.00109539306778651 0.00123140884550477 0.00122309979127981 0.00105707560603152 0.00106856159229039 0.00118933464522762
"Trf" 0.00140718378024421 0.00150449191624229 0 0 0.00144940946874807 0.00135643309443118 0.000980009746113315 0.00153028712903923 0.0012265141725706 0.00146322641423391 0.00150936697037243 0.00134917630442088 0 0.00155239816224433 0.00124912553627246 0 0.00119734107639188 0.00123662720435778 0.00125016956577398 0 0 0.00379232108141822 0 0 0.0011145452978771 0.00110433320799151 0.00104451534945397 0.00113651950972246 0.001278907113207 0.00108230565242458 0 0.00102043266142442 0 0 0 0.000952184386883791 0.00113206805440037 0 0 0.000935434075213437 0.00100531689062197 0.00110775910678111 0.00102358023769255 0.00105355869695867 0.0010470033567884 0.00109557097124997
"Manf" 0.00100631839929851 0.00119490125338881 0 0 0.00113424568314177 0.000967533756747042 0 0.00108260972569971 0.00102555795182964 0.00128000510882041 0.00138374486081799 0.00105778158415921 0 0.00121877003942938 0.000945007497420113 0 0 0.000970841328744963 0.000986547783401249 0 0 0.000945505401841766 0 0 0 0.000917269717630207 0.00110041747062286 0.000965865081318213 0.00110624564770368 0 0 0 0 0 0 0.00107664980865046 0 0 0 0 0 0.000950158094957031 0 0 0 0
"C3" 0.000942043220681499 0.00100023496925176 0 0 0.0011054895450197 0.00093309459716536 0 0.00110182053095711 0 0.0010580452024554 0.00105378824076884 0.000932600111695145 0 0.00111300782215802 0.000914584924465373 0 0 0.000937324725771469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0.00113253390509091 0.00117514479892138 0 0 0.0013732684912629 0.00424469593937795 0 0.00128461570807211 0.000956358977007678 0.00117238634704645 0.00122962815617496 0.00460862995865406 0.00428153783687207 0.00141232557870475 0.00103850281956699 0 0.000926484237059435 0.00102974058705839 0.00100564407317985 0 0 0.000934422988653502 0 0 0 0 0 0 0.000980358034763041 0 0 0 0.00439515923364999 0.00414243808691199 0.00396342881260557 0 0 0 0 0 0 0.000930658922309895 0.000918723166732067 0 0 0
"Tgfb1" 0.00296597953804268 0.00175568893670016 0 0.00496507649457889 0.00198653105146687 0.00592787586194122 0.00254613793277605 0.00188015714086075 0.00145440274252408 0.00177851757191192 0.00180035545017696 0.00302541941447699 0.00451954467713289 0.00587025025317145 0.00154625998242254 0.00254983793205014 0.00144204728212127 0.00456380015609211 0.00159500839792795 0.00573025461443324 0.002517570023229 0.00512547950130937 0 0.00485394028475774 0.00543233575369194 0.00465805927993809 0.00116525920248271 0.00137513480490137 0.00144117895663344 0.0013338141743158 0.00425171911840774 0.00510760544386226 0.00104349412082118 0.000988307546379717 0.000990257304162965 0.00109265974293731 0.00136584088336789 0 0.000991673298124969 0.00121493041974544 0.00121594451602485 0.0014453525000544 0.00135446248128681 0.00114955222618011 0.00132532191429512 0.00137750108759636
"Sema3f" 0 0.00096043567822311 0 0 0.000983784773833812 0 0 0.000958418991573124 0 0.00097826460313753 0.00101466416856056 0 0 0.000978233645032431 0 0 0 0.000958569426980255 0 0 0 0 0 0 0.00101786762392816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0 0 0 0 0.00091438476347162 0 0 0.000916389129718489 0 0 0.000981688948170969 0 0 0.000979161565898209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00134835715116902 0.00139070664011293 0 0 0.0015963198371996 0.00129328550152087 0.00235802665943484 0.00152173838182139 0.00112380750822326 0.00141095679147095 0.00156171840435493 0.00276596438538609 0 0.0015821303266869 0.00130070209824309 0.000970883803671219 0.00116275496431329 0.00254599209435178 0.00121069804375481 0.00227918033860962 0 0.00117093206118782 0.002114527158599 0.00466413216211115 0.00237662629194184 0.00238400100279629 0.0010717228319416 0.0011012674913601 0.00120418944173977 0.00103016515707818 0 0.00119258699237414 0 0 0 0.000978394466227712 0.00104419906993295 0 0 0.00102029849038591 0.00101169749157275 0.00115056805644858 0.00109605045726646 0.000975109451865516 0.00093404418250325 0.000985953080838795
"Bdnf" 0.001433808953727 0.00155366749472203 0 0 0.00166264212186416 0.00148671579662895 0.00116528373886026 0.00166672939054489 0.00123473730448715 0.00158980663785642 0.00164804253843356 0.00153496142671056 0.00595060151094854 0.00279349973283571 0.00151052837664753 0.000935933347747318 0.00118318051693701 0.00134580829674567 0.00132575798109207 0 0 0.00222604616587564 0.00598031173618679 0 0.00124231197925723 0.00107983349294445 0.000976345963107027 0.0010992625829827 0.00118493145179269 0.00114760223436359 0 0.00114250973154286 0.000914404975343496 0 0 0.000927406566971202 0.00117531036815031 0 0 0.00105613127405085 0.00100314037919 0.00114669727855052 0.00110378218528482 0.00108305474756924 0.00110245535165393 0.00115730027211238
"Fgf1" 0.00126282497199686 0.00128970280557901 0 0 0.00142549440057687 0.00122702220777502 0.000998834801891353 0.00146725544984714 0.0010702346143253 0.00124113366400599 0.00127898498401072 0.00120262870973659 0.00218565454332801 0.00240747099328217 0.00118225078281073 0 0.00109495261025366 0.00119553385183569 0.00110625333023813 0.00213267808733036 0.00224052357432998 0.000973471576076741 0 0 0.00104936503783929 0 0 0.000918883625024835 0.00104485865072889 0.00094824013728676 0 0 0 0 0 0 0.00100980569051848 0 0 0 0 0.000960511404254664 0.000991420807024851 0 0.000920487787413547 0.00102663170653452
"Adam17" 0.00152012849124405 0.0014417568634063 0.0025782194792716 0.00246667142085579 0.00176024111956494 0.00273982077087718 0.00255338428853935 0.00172829346361237 0.0014235664566575 0.00148734935847965 0.0015406909372773 0.00143508973467786 0.00232859358236786 0.00158197397882198 0.00139699201939423 0.00473414026985662 0.00138575848216572 0.00139312205183961 0.00133758499639306 0 0 0.00119943326858578 0 0 0.00129716753907201 0.00106062753959333 0.000963793914237198 0.0011028960080495 0.0012549805402332 0.000985071644378554 0 0.00104486320282148 0.000955982771700819 0 0 0.000988773461684712 0.00114168079867922 0 0 0.00102248491807381 0 0.00109938512602467 0.00116570085237486 0.00102240686251414 0.00100979758774137 0.00113089532733383
