"Actb" "Bhlhe40" "Ddit4" "Dll1" "Hes1" "Ier3" "Junb" "Midn" "Pxn" "Sema7a" "Socs3" "Tubb5" "Bax" "Fkbp5" "Flot1" "Ier5" "Pfn1" "Ptgs2" "Sh2b3" "Stat3" "Synpo" "Tnfrsf1a" "Aldoa" "Fam129b" "Nos3" "Slc3a2" "Tle1" "Ccnd3" "Cdk4" "Cxcl12" "Ecscr" "Hif1a" "P4hb" "Plat" "Skp1a" "Sox17" "Tfpi" "Upp1" "Ctnnb1" "Ndst1" "Tgfbr2" "Vasp" "Akt1" "Sparc" "Aqp1" "Atf4" "Selp" "Xbp1" "Nras" "Smad1" "Ntn1" "Gadd45g" "Tagln2" "Cd38" "Col4a1" "Lpl" "Ptpn1" "Rpl27" "Adamts9" "Il6st" "Nrp2" "Sbno2" "Actn1" "Emp1" "Flnb" "Ldha" "Col18a1" "Ltbr" "Dpagt1" "Rps2" "Cd34"
"Copa" 0 0 0 0 0.00103251642451314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rtn4" 0 0 0 0 0 0 0.00103022714035463 0 0 0 0 0 0 0 0 0 0 0 0 0.00365410918089921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selplg" 0 0.00102770745793143 0.00111377657575033 0 0.00114948758136168 0.0011329053881389 0.00109630761187496 0 0 0 0 0 0 0 0 0 0 0 0 0.00102339730212991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00261856202650119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Grem1" 0.00115716355890302 0.00137959711863568 0.00139949426329484 0 0.00144402155488325 0.00123554124374932 0.00151684873313361 0.00120394109685651 0 0 0.00110713033732007 0.00115446484457715 0.00119918497997248 0.00115685097860537 0.00104329423504691 0 0.0012201237774388 0.00116677388252264 0 0.00133858528480133 0.00127361019929744 0 0 0.00111894111490941 0.00123421675400132 0.00104064819428328 0 0.00110275213933467 0 0 0 0.00115717804265734 0 0 0 0 0 0 0 0 0 0 0.00105612879501809 0 0 0.00109300798763086 0 0 0.0014154071741275 0.00385265921739506 0 0.00108497083502441 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00103306095582951 0 0.00114536500431366 0.00102029793078208 0
"Vegfd" 0.00122379582036767 0.00133701104251214 0.00138481859500287 0 0.00130745267400296 0.00158322425384147 0.0013716705728421 0.00134039054286113 0 0 0.0012461150561939 0.00103689483084106 0 0.00107361322638668 0.00114761218649177 0 0 0 0 0.00135789115175684 0.00111905846123063 0 0.00110039059966099 0.00102986078105812 0.0011504533170673 0 0.00112423386452162 0.00107425311601811 0 0 0 0.00111276762829078 0 0 0 0 0 0 0.00107668184623521 0.00111259830566416 0.00107735135971933 0 0.00107126710880606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106997049462003 0 0 0 0
"Apoe" 0.00113253390509091 0.00119795344106428 0.0013732684912629 0 0.00130569341953242 0.00128461570807211 0.00124925669181371 0.00120554967215321 0 0 0 0.00107323206698143 0 0 0.00104499134183857 0 0.00106334981541206 0.00378237976548548 0 0.00110353037453474 0.00103850281956699 0 0 0.00102066788598479 0.00460862995865406 0 0 0 0 0.00439515923364999 0 0 0 0.00428153783687207 0 0 0 0 0 0 0 0 0 0 0.0046838898082105 0.00408947682338347 0.00540174815378702 0.00396342881260557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anxa1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00344271618198081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0.001433808953727 0.00167058645358028 0.00166264212186416 0 0.00288580128206272 0.00166672939054489 0.00175320046627822 0.00150871673043438 0 0 0.00141329022257912 0.00139900486658574 0.00111708608961142 0.00118493145179269 0.0014414076832837 0.00123473730448715 0.00126105317220516 0.00125111162709875 0.0011565205794521 0.00144007863171766 0.00151052837664753 0.00125011083073089 0.00115469653591547 0.0013005799507451 0.00153496142671056 0.00117301261167958 0.00123728661511593 0.00128455972010539 0.00225760933084855 0 0 0.00222604616587564 0 0.00595060151094854 0 0 0 0 0.00124231197925723 0.00122498262913035 0.00131108902484401 0.00131397098431182 0.00123195632586652 0 0 0.00103039536536309 0 0 0 0 0.00104260428324312 0.00114669727855052 0.00127092337343157 0 0 0 0.00117266399607885 0 0 0 0 0.00102859751845163 0 0.00108305474756924 0.00110245535165393 0 0.00110464611557105 0 0.0010490256221258 0 0
"Fgf1" 0.00126282497199686 0.00129132259165542 0.00142549440057687 0 0.00139769701828665 0.00146725544984714 0.00137970310019102 0.00121737350115624 0 0 0.001193556247153 0.00116920393796588 0.00361100199031988 0.00104485865072889 0.00113540887855102 0.0010702346143253 0.00106913997913822 0.00116635636772496 0 0.00124490633779163 0.00118225078281073 0 0 0.00112075831308228 0.00120262870973659 0.00102570541133596 0 0.00114184118029528 0 0 0 0 0 0.00218565454332801 0 0 0 0 0.00104936503783929 0 0.00111838813338809 0.00108460354547928 0.00102960017177597 0.00224052357432998 0 0 0 0 0 0 0 0 0.00106187338909939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0.00134724812981761 0.00162040003487655 0.0016172990088047 0 0.00153712934332029 0.00160091792808307 0.00160960924334738 0.00149406798502107 0 0 0.00154618258854575 0.00135624863183566 0.00377692683710619 0.00119584627273344 0.00136496490897051 0.00119230462118915 0.00118626414954706 0.0040388466041139 0.00120351791716631 0.00160807722346649 0.00150146850371953 0.0012389531185969 0.00106508640355763 0.00118194491140881 0.00155659722010263 0.0011483186033682 0 0.00435528125167755 0.00397803629360502 0 0 0.00382549008940774 0 0 0 0 0 0 0.0011672005081677 0.00105807557206944 0.00123286242738454 0.0012903746990906 0.00480979228383522 0 0 0.00107065617365904 0 0 0 0 0 0.00114547194484107 0.00117211390773972 0 0 0 0.0011770573411103 0 0 0 0 0.00119655490812188 0 0.00106873224548679 0 0 0.00109490141255649 0 0 0 0
"Itgam" 0.00115234982413562 0.00131627315158071 0.0012890493648742 0 0.00133406046076178 0.00128710215959032 0.00137197435600231 0.00118783602362838 0 0 0.00112798956222543 0.00104286075015005 0 0 0.00103800763564107 0.00105046403627376 0.00105569737502626 0.00384848807455692 0 0.00115110869620677 0.00121011541602748 0.00101876574012982 0 0.00112493920512581 0.00118937329703565 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108992945949677 0.00106504455545974 0.00104359627468903 0.00103944425349614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.0014694956705675 0.00170652545263114 0.00171402362206595 0.00102567678503212 0.00276757308436314 0.00175304959895765 0.00276959852510983 0.00150924849878246 0 0 0.00148323621566164 0.00145246228974306 0.00378760245227831 0.00132397506182081 0.00140039492187465 0.00134645097729705 0.00128777347451712 0.00249620367885072 0.00122538915221331 0.00155513619687575 0.0014643995320808 0.0012808240111231 0.00123526067489422 0.00129258483736188 0.00288342824117119 0.00118022834151838 0.00121127642132804 0.00425854402963477 0.0052417072095753 0.00241942277429492 0.00277489061980416 0.00495312976158389 0.00201522497073303 0.00230788709736049 0.00207144324912366 0.00265382436598502 0.00229760965268396 0.00211232064551137 0.00130585989494037 0.00113092707178939 0.00145358461488991 0.00131994407984827 0.00123874982214777 0 0 0.00112772721434618 0 0 0.00112267982953338 0 0.00104074384429448 0.00123140884550477 0.00124360771361438 0 0 0 0.00119157330221776 0 0 0 0.00103884611944343 0.00112726065361427 0 0.00105707560603152 0.00106856159229039 0.00110235189829532 0.00117025777011331 0.00104239300978152 0.00107608632899607 0 0
"Lgals3" 0.00104067261185247 0.00116308123280775 0.0012137764609276 0 0.00120281762825719 0.00116760726142911 0.00122068873169205 0.00108128030933513 0 0 0.00207635953436987 0 0 0 0 0 0 0 0 0.00113017913840644 0 0.0041169125117841 0 0.00106300445138318 0 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1rn" 0.00142414506818491 0.0016741537739437 0.00162743971878496 0 0.00168552331024416 0.00182630634617351 0.00176112139975003 0.0013968118519489 0 0 0.00154112690518722 0.00122993202471693 0.00382231298171974 0.00147121974325394 0.00139091769224663 0.0013787304782195 0.00164624463949052 0.00412514347599062 0.00141739086287572 0.0016406342873967 0.00161502761937042 0.00170077525032638 0 0.00122634654688256 0.0013289578379797 0.00119361871280061 0.00120847935569555 0.00117984760690547 0 0 0 0.00130563674955787 0 0 0 0 0 0 0.00114878074102073 0.00117003442026724 0.00113831394716633 0.00126090549892589 0.00124891822105599 0 0 0 0 0 0 0 0.00113457133284662 0.00113370916560653 0.00120573204417472 0.001123942647945 0 0 0.00131645058784349 0 0 0 0 0.00103939332111987 0 0 0 0 0 0.0010418313797102 0 0.00112331817473385 0
"Dll4" 0.00185625641413516 0.00222892152937354 0.00211709920737251 0.00239550721260229 0.00490198322408111 0.00195067239704965 0.00234439445604406 0.00219664570172501 0.00177655296336092 0.00181279464419215 0.00185753483398235 0.00218455968345461 0.00169053838331448 0.00164172896359844 0.00151874966681638 0.00165200837089409 0.00137749901709754 0.00123034854163884 0.00119396074173321 0.00161369190326361 0.00163158379889414 0.00143078965072025 0.00139071133775004 0.00174999296331799 0.00172034950391455 0.00162131069386104 0.00136563201743659 0.00109339414783386 0.00142270324830217 0.00116884399873296 0 0.00121433108199863 0 0 0 0.00129582187354524 0 0.00101678522386422 0.00159648146047636 0.00150038733199041 0.00151750778809441 0.00169125364199352 0.00134492114205195 0 0 0.00164203631762884 0 0.00125753492975216 0.00113632236276195 0.00118059007226186 0.00129195362119148 0.00158356148281033 0.00154348887308327 0 0.00105158767963183 0 0.001185202885672 0.00123499318602283 0 0 0.00149093473611077 0.00135754902585134 0.0011654751566427 0.00112845541413895 0.00165590287978707 0.00125021253953696 0.0013602375603735 0.00112912455799718 0.00134795582297137 0.00141480378805595 0
