"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Dusp1" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Icam1" "Ier3" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "P4hb" "Psmc6" "Sod2" "Sparc" "Timp2" "Tnfrsf12a" "Vegfa" "Zfp36l1" "Actb" "Brd2" "Cpeb4" "Dlgap4" "Ece1" "Eif5a" "Gapdh" "Klf6" "Krt8" "Mdm2" "Myh9" "Ndufs2" "Nfe2l2" "Pfn1" "Rhoa" "S100a10" "Ager" "Cldn4" "Cltc" "F3" "Fth1" "Ftl1" "Gadd45a" "Gsn" "Hist1h2bc" "Insig2" "Lasp1" "Mafg" "Mbnl2" "Npepps" "Pcbp1" "Sqstm1" "Tinagl1" "Tmem37" "Ccnd2" "Comt" "Map2k3" "Phb2" "Prdx5" "Rela" "Efna1" "Sema3b" "Capn2" "Ceacam1" "Ndst1" "Btg2" "Lpp" "Hspb1" "Slc3a2" "Timp3" "Rps11" "Vmp1" "Lama5" "Ppm1a" "Ifih1" "Gclc" "Txn1" "Txnrd1" "Aldoa" "Lcn2" "Abcc5" "Akr1b8" "Amotl2" "Calr" "Col4a1" "Cryab" "Itgb1" "Itgb6" "Krt18" "Rpl27" "Serpine2" "Vdac1" "Tmbim1"
"Vegfd" 0.00127203413370182 0 0 0.00139800473406082 0.0016030635371182 0 0.00176118675042989 0 0 0 0.00115347441675498 0.0013133845591336 0.00139684961406086 0 0 0.00130745267400296 0 0.00158322425384147 0 0.0013085977446279 0 0 0 0 0 0 0 0 0 0.00162511473762227 0.00129834471254499 0.00122379582036767 0 0 0 0 0 0.00123642571285469 0 0.00122514070091756 0 0 0 0.00120256349746203 0 0 0 0 0 0 0 0 0 0 0.00115526946570187 0 0 0 0 0 0 0 0 0 0 0.00119861941760257 0 0.00119185413954699 0 0 0 0 0.00136621921499993 0 0 0 0 0 0 0 0 0 0 0.00120102988607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lrpap1" 0.00121734734781219 0 0 0.00117305108037101 0.00136080936965118 0 0.00157956256806241 0 0 0 0.0012828354047752 0.00131570357430475 0.00130179882185781 0 0 0.0013292398841462 0 0.00128301998550352 0 0.0012804303933304 0 0 0 0 0 0 0 0 0 0.00118729708905031 0.00125913587039064 0.00119368533438377 0 0 0 0 0 0 0 0.00115029101068653 0 0.00115876483452608 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00175568893670016 0.00136584088336789 0.00501298582846888 0.00176299322375367 0.0049155449618628 0.00117188444641375 0.00548303347996596 0.00239610071735005 0 0.0011688673255414 0.00172574698496887 0.00189555020617561 0.00315856619923651 0.00259638499600507 0 0.00308223232651456 0.00403017469022695 0.00188015714086075 0.00221847219236498 0.00180035545017696 0.00456380015609211 0 0.00433370091195563 0 0 0.00392899524263237 0.002517570023229 0.00229989090525026 0.00264835032139451 0.00485364706094005 0.00172215103462084 0.00296597953804268 0.00292774183231612 0.00138720832574999 0.00126928108616468 0.00137447830217155 0.00134515637244138 0.00153336342413857 0.00480783420952646 0.00157339741274326 0.0045332986722952 0.00159500839792795 0.00119305324208929 0.00166090373356128 0.00149627334430383 0 0.00146975144794285 0.00482613282333761 0.00133488110853634 0.00135407218888989 0.00125370263898367 0.001313046198603 0.00130402177020084 0.0014517867539257 0.00163255409989271 0.00135897311552173 0.00121345665772376 0.00141422925106265 0 0.00125837252143721 0 0.00127768819822119 0.00134011800486834 0.00119962370122785 0 0.00157270359399169 0.00141897668632668 0.00144684445317614 0 0.00125644357451268 0.00136803675562456 0.00155881443965903 0.00140104309771909 0.00136616305241965 0 0.00133198517731623 0.00150301424931374 0.0014044791997589 0.0058713530651132 0.00141667766262817 0.00254983793205014 0 0 0.00286538023665182 0.00132574757846436 0.0023373522653487 0.00120379984809656 0 0.00128707109432374 0.00131030416960445 0 0 0 0.00124077277787628 0.00451960883601798 0.00485394028475774 0.00461832386426685 0.00465805927993809 0.00606760576984587 0.0044065352416625 0.00425171911840774 0.00452512600179892 0.00430710728360495 0.00116732630200109
"Pros1" 0.00164073810206497 0.00130113046119239 0.00124337906893848 0.00180991592613028 0.00193361403825029 0 0.00296467644517818 0 0 0 0.00151942256779199 0.00173150113609308 0.00168226934658771 0 0 0.00175965415578695 0.00145038743054541 0.00173011415414281 0 0.001703242632478 0.00166494980013655 0 0.00116469269161328 0 0 0 0 0 0.00123172057618832 0.00179764943299951 0.0015851904449187 0.00169455534887847 0.00155797177574329 0.00141787371696058 0 0.00128790062476793 0.00125129571680613 0.00139754844491823 0.00157425269276389 0.00145540154789745 0.00148704754301083 0.0015607816818557 0.00134981319577652 0.00148986307397502 0.00145359468187998 0 0.00146486921033178 0.00122688920507311 0.00118205460444202 0 0 0.0012793841595511 0.00122163920712198 0.00132270569898628 0.00142616788842137 0.00132667343605835 0 0.00124543617273829 0 0.00129854646357262 0 0.00114933767627248 0.00115379981805975 0 0 0.00139082118057449 0.00131483069633529 0.00141466855914728 0 0.00117311851666198 0.00135435043311859 0.00132949710499584 0.00136814187722094 0.00132417726065592 0 0.00126379634713561 0.00135715710110835 0.0013725679282421 0.00121811467121443 0.00123278618222357 0 0 0 0.0012408236762611 0 0 0.00117836989844683 0 0 0.00121703993002482 0 0 0 0.0012093270231858 0 0 0 0.0011635324479814 0 0 0 0 0 0
"Hbegf" 0.00127227455205067 0 0.00369077923673185 0.00418890746463193 0.00177694186991293 0 0.00189441420720381 0 0 0 0.00125866556460205 0.00132573586962643 0.00136802792326024 0 0 0.00134720009877872 0.00139941167804101 0.0013808020063658 0 0.00133157129618624 0.00123561062762319 0 0 0 0 0 0 0 0 0.0014459434880895 0.00131468712285753 0.00120974304173577 0.00127285003333071 0 0 0 0 0.00123157553889115 0.00117404174833167 0 0.00116144189648196 0 0 0.00124097357459499 0 0 0 0 0 0 0 0 0 0 0.00118077092972535 0 0 0 0 0 0 0 0 0 0 0.00151588778510612 0 0.00118553032349336 0 0 0 0 0 0 0 0 0 0.0011627713052312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0.00118519249823681 0 0 0.00122810378241218 0.00156986577337499 0 0.00150300544457211 0 0 0 0 0.00120013234042198 0.00122338698503827 0 0 0.0013869697190072 0.00121411407376731 0.00142345166114901 0 0 0 0 0 0 0 0 0 0 0 0.00148187893367509 0.00116533126731736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00229718206526458 0.00173035830256951 0.00186646190700926 0.00512539730752171 0.00254898592522533 0.00140982099701559 0.00297002690844441 0.00133133735129286 0 0.00118181852554972 0.0023357034993654 0.00242489808804238 0.00232338205558798 0.00135162933996022 0 0.00259420704894233 0.00562016913687305 0.00237430051533597 0 0.00225278350968699 0.0018819694242949 0.00125881169821278 0.00160599741967842 0 0 0.00143158844947672 0 0 0.00165626645284002 0.0022101560164988 0.0024062970369941 0.00224754285905749 0.00232405438659596 0.00208323950552122 0.00154743351796184 0.00186248949257956 0.00169405898401047 0.00211550342687762 0.00202406805984557 0.00178120930363061 0.0019654610599727 0.00199640735340816 0.00183853792583545 0.00508734033406866 0.00202998881384803 0 0.00199634558984161 0.00527474463608968 0.00149802246262933 0.00155274139561748 0.00160030831006446 0.00161534775738233 0.00185641533246214 0.00176537849656908 0.00201262613336578 0.00193849442647376 0.00155918948011385 0.00174630138340386 0.00142855725338822 0.00174450317753201 0 0.00171340897707467 0.00177618973241603 0.00145660637210597 0.00138252004872757 0.002045893604553 0.00192021982283539 0.0018481128356518 0.00154956192028004 0.00184399000475744 0.00187573888981954 0.00202854152207427 0.00185336076421747 0.00188763939567353 0.00129323620020363 0.00157388860100157 0.00175901855350785 0.00171007362969349 0.00157444452961575 0.00174174737190009 0.00134699904293759 0.00172584641557992 0.00124768294847563 0.00183897263318099 0.00155471266411233 0.001265829021311 0.00164321951592603 0.00116654675093612 0.00155260947267977 0.00177637757815007 0 0.0046707086827051 0.00524403507165371 0.00167267125548977 0.00152339571230258 0.0013546673719414 0 0.00166158195638594 0.00131901620705546 0.00143966385420201 0.0012572081374288 0 0 0.00168368666306409
"Itgb2" 0.00117271468946991 0 0 0.00123962524960061 0.00150891297300802 0 0.00167196176542722 0 0 0 0 0.00128251529228418 0.00127059140788063 0 0 0.00134133855289733 0.00121034151745122 0.00122445352357404 0 0.00122606362947247 0 0 0 0 0 0 0 0 0 0.00133742872972063 0.00117353093934423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.00116641818947899 0 0 0 0.00134862195131715 0 0.00152125277648955 0 0 0 0 0.0011609513420231 0.00235597249778768 0 0 0.00120281762825719 0 0.00116760726142911 0 0.00118340757477034 0 0 0 0 0 0 0 0 0 0.00124898861495364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0.00392451796822546 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0.00132562713576934 0 0 0.00128980632005601 0.00155357299305194 0 0.0018573933398029 0 0 0 0.00128232008902666 0.00139117245921722 0.00136032283483292 0 0 0.00132616148388694 0 0.00139203123595424 0 0.0013110676850688 0 0 0 0 0 0 0 0 0 0.00223814540457366 0.00129684279345612 0.00123212111036657 0.00118141928936233 0 0 0 0 0 0.00118968045969392 0.00119936465437784 0.00120209595818827 0 0 0.00420900707980869 0.00115317136762415 0 0 0 0 0 0 0 0 0 0.00115137617271212 0 0 0 0 0 0 0 0 0 0 0.00117030520218327 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00430871465573345 0.00431627938629702 0.00421868748310091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
