"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Dusp1" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Icam1" "Ier3" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "P4hb" "Psmc6" "Sod2" "Sparc" "Timp2" "Tnfrsf12a" "Vegfa" "Zfp36l1" "Actb" "Brd2" "Cpeb4" "Dlgap4" "Ece1" "Eif5a" "Gapdh" "Klf6" "Krt8" "Mdm2" "Myh9" "Ndufs2" "Nfe2l2" "Pfn1" "Rhoa" "S100a10" "Ager" "Cldn4" "Cltc" "F3" "Fth1" "Ftl1" "Gadd45a" "Gsn" "Hist1h2bc" "Insig2" "Lasp1" "Mafg" "Mbnl2" "Npepps" "Pcbp1" "Sqstm1" "Tinagl1" "Tmem37" "Ccnd2" "Comt" "Map2k3" "Phb2" "Prdx5" "Rela" "Efna1" "Sema3b" "Capn2" "Ceacam1" "Ndst1" "Btg2" "Lpp" "Hspb1" "Slc3a2" "Timp3" "Rps11" "Vmp1" "Lama5" "Ppm1a" "Ifih1" "Gclc" "Txn1" "Txnrd1" "Aldoa" "Lcn2" "Abcc5" "Akr1b8" "Amotl2" "Calr" "Col4a1" "Cryab" "Itgb1" "Itgb6" "Krt18" "Rpl27" "Serpine2" "Vdac1" "Tmbim1"
"Ptprc" 0.00135760804635104 0 0 0.00166450719114496 0.00163595397663347 0 0.00171937967299817 0 0 0 0.0013283353359625 0.0013986835794082 0.00153818652184744 0 0 0.00139233764616624 0.00133963422988561 0.00147657537010468 0 0.00142553787606054 0.00131797015319735 0 0 0 0 0 0 0 0 0.00139120875755327 0.00132418837898123 0.00133314863635044 0.0013715313921729 0.0012445917799136 0 0.00120497785748316 0.00116060435600907 0 0.00125404013327047 0 0 0.00132385020330943 0.00126507845619325 0.00122520738822653 0.00115365883748106 0 0 0 0 0 0 0 0 0 0.00122172968473194 0 0 0 0 0 0 0 0 0 0 0.00139921769411283 0 0.00127531380875807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0022782943652454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0 0 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0 0 0 0.00119945942285115 0 0.00138978309478463 0 0 0 0 0 0 0 0 0 0.00184033222145903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00221087309602349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0.00124649171749055 0 0 0.00130804193786653 0.00171971853350963 0 0.00151787481172459 0 0 0 0.00126593297694409 0.0013148531907902 0.00149465815199922 0 0 0.00153593022991293 0.00123207445060229 0.00140569912016991 0 0.00125201437082661 0 0 0 0 0 0 0 0 0 0.00133462207789621 0.00122969992002016 0.00126970680747263 0.00130945504095098 0 0 0.00117773210974489 0 0.00115929385767465 0 0 0 0 0 0.00124491449700966 0 0 0 0 0 0 0 0 0 0 0.00121576705869699 0 0 0 0 0 0 0 0 0 0 0.00129032060271831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.00135335614719117 0 0 0.00159676431311203 0.00172697721905583 0 0.00175765021772766 0 0 0 0.0012823158275905 0.00148951299253066 0.00161415845904594 0 0 0.00145138560666509 0.00122606414886062 0.00156565053306996 0 0.00138651172409576 0.00124175228768125 0.00220931165320014 0 0 0 0 0 0 0 0.00168723077522515 0.0013507351451961 0.00138739237908813 0.0013325923856652 0 0 0.00124585803450023 0 0.00119106203952406 0.00128636816568636 0.00129533641966233 0 0.00119533008351952 0 0.00136454442320304 0 0.00204747889804712 0.00122723251155306 0 0 0 0 0 0 0 0.00123394273481675 0 0 0 0 0 0 0 0 0 0 0.00134697247328816 0.00116862365628148 0.00132893561384401 0 0 0 0.00118336786872154 0.00142464129802751 0 0 0.0011991438195346 0 0 0 0 0 0 0 0.00127902104644851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Slit2" 0.00155479062184396 0 0.00146955089531273 0.00167224708113942 0.00194576752855224 0 0.00185957746375728 0 0 0 0.00143694559908675 0.00179323598098459 0.00165706365116584 0 0 0.00160842370608497 0.00120661681748339 0.00148902838058078 0 0.00157673521249684 0.00131488137063125 0 0.00150154843521387 0 0 0 0 0 0 0.00167049441355806 0.00165912834869893 0.0016460158491638 0.00150226798707276 0.00165820036342152 0.00122184960866504 0.00155452100860272 0.00150314361070934 0.00142145787869881 0.00133989290632799 0.0014579163099457 0.00150070369339472 0.00136263517281585 0.00154497804919277 0.00132086148587826 0.0015258116922713 0 0.00152366013824849 0 0 0.00125215454060529 0 0.00118834499929606 0.00130684675755352 0 0.00120849007047134 0.00130456100743542 0.00121383171887774 0.00122030238651294 0 0 0 0.00127072667929905 0.00120284145634483 0 0 0.00143198229486542 0.00143666954690507 0.00135001062798601 0 0 0.00120969372370095 0.00122969513614856 0.00133920534454363 0 0 0 0.00117725523014531 0 0 0.00118890558454357 0 0.0015174121784617 0.00143678926470646 0.0012327951549352 0.00118837365444013 0 0 0 0 0.00131362610484899 0 0 0 0.00115796029928339 0 0 0 0 0 0 0 0 0 0.00114991346165578
"Mmp9" 0.00131705432545645 0 0.00364748249297431 0.00400475789821093 0.00168013374448286 0 0.00177374486570155 0 0 0 0.00138033435330086 0.00147147323090061 0.00142764362254368 0 0 0.00144792472151187 0.00117875673257323 0.00133525797695098 0 0.00148103936851367 0.0042324033320783 0 0 0 0 0 0 0 0 0.0023646425721241 0.00138375201827341 0.00136532258067635 0.00133520255610025 0 0 0 0 0.00117644706106746 0.00126232286321061 0.0012980459797124 0 0 0 0.00136481263892046 0.00123962414145568 0 0.00118372286416479 0 0 0 0 0 0 0 0.00121038026108012 0 0 0 0 0 0 0 0 0 0 0.00116104928125516 0 0 0 0 0 0.00117172499860754 0.00119330277637678 0.00116157806797452 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.0014417568634063 0 0.00115993367388151 0.00176616475343128 0.00196545252932372 0.00226856518985626 0.00206911530949821 0 0 0 0.00154950088954675 0.00150218821176013 0.00170368372605386 0 0 0.00197603053817831 0.00152664699934757 0.00172829346361237 0 0.0015406909372773 0.00139312205183961 0 0 0 0 0.00212851138965628 0 0 0.00119530599656651 0.00250313799333803 0.001481637022625 0.00152012849124405 0.00154965726937785 0.00119561780453724 0 0.00117054540731726 0 0.00127317639260921 0.00142293151740962 0.00143327073942227 0.00120053978595704 0.00133758499639306 0 0.00138462444892899 0.0013662293519631 0 0.00126615679310811 0 0.00119663811660963 0 0 0.00115337820528522 0.00122041553539074 0.00122164514590409 0.00137709564990964 0.00117464468271232 0 0 0 0.00125296452102192 0 0 0.00120600632142194 0.00119361552433003 0 0.0015128045932458 0.00260060717242709 0.00132445800104233 0.00118132818685615 0.00118149243197685 0.00130764997510721 0.00135700596513695 0.00131418864926006 0.00117790673453089 0 0 0.00124032981018802 0.00120525526430194 0 0.00131174750016102 0.00473414026985662 0 0 0.00115555570781167 0 0 0 0 0 0.00114981150815589 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0.00130749492982339 0 0.00161785663482474 0.0017100271428841 0.0021341607950359 0 0.00206366380754605 0 0 0 0.00169230541313215 0.00145763195560894 0.00159229363563867 0.00157112179899676 0 0.00147217986832457 0.00157795755967461 0.00160624002126808 0 0.00135759360487114 0.00122632287138172 0 0 0 0 0 0 0 0 0.00151018010453767 0.00125882244901334 0.00130772291678558 0.00124810845208862 0 0 0 0 0 0.00130867459413573 0 0 0 0 0.00121496089788365 0.0012732249765504 0 0 0 0 0.00118508516906215 0 0 0.00124640270190044 0.0018897277839458 0.00115894675542566 0 0 0.00118345150373021 0 0 0 0 0 0 0 0.00131617092084393 0.00123963879256816 0.00117406736646949 0 0 0 0.00118074059077471 0 0 0 0 0 0 0.00126800625760793 0.00118927731982052 0 0 0 0.00118194472165944 0 0 0 0 0 0.00117987341067274 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00131670772846163 0 0 0.00248380239986209 0.00158421183865339 0 0.00171852712084425 0 0 0 0.00116898808956736 0.00132550126110563 0.0015205920151777 0 0 0.00134119447690488 0.00140725078539295 0.00151866047246203 0 0.00133827636679014 0 0 0 0 0 0 0 0 0 0.00139692631819452 0.00129368605450816 0.00118100036603681 0.00122907967832178 0 0 0 0 0 0 0 0 0 0 0.00115837570865434 0.00117966156174943 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115164477599072 0 0.00115200709312229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00128970280557901 0 0.00361100199031988 0.00143074188544829 0.00165517880547517 0 0.00172438615322352 0 0 0 0.00131481584726105 0.00141576775432903 0.00137612788392824 0 0 0.00139769701828665 0.00127275023603779 0.00146725544984714 0 0.00127898498401072 0.00119553385183569 0 0 0 0 0 0.00224052357432998 0 0 0.00143211986828032 0.00121975017759147 0.00126282497199686 0.00120265236830863 0 0 0 0 0 0 0 0 0 0 0.00124437164709126 0 0 0 0 0 0 0 0 0 0 0.00120151186737656 0 0 0 0 0 0 0 0 0 0 0.0012407605486942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0.00123382642040779 0 0 0 0.00139265318762368 0 0.00169190123587818 0 0 0 0 0.00140205527682894 0.00129126032055829 0 0 0.00120218420912888 0 0.00144648496867395 0 0.00118747027906698 0 0 0 0 0 0 0 0 0 0.00128673657073765 0.0012296809766234 0 0 0 0 0 0 0 0 0 0.00118003192422298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012806832304884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.00129404308203525 0 0 0.00137713515200171 0.00155234244201311 0 0.00166340261824615 0 0 0 0 0.00127118773598424 0.00142862833365383 0 0 0.00133406046076178 0.00124723211845029 0.00128710215959032 0 0.00125403050002514 0 0 0 0 0 0 0 0 0 0.00146694737172499 0.00122885059778465 0.00115234982413562 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0.00126837164302806 0.00156572415511307 0 0.00367438744373611 0 0 0 0.00119194138143145 0.00119565846547445 0.00129663054851378 0 0 0.0012087312925059 0.00122619544728706 0.00137982727773468 0 0.00120144145401988 0 0 0 0 0 0 0 0 0 0.00430544677916095 0.00122539004519155 0 0 0 0 0 0 0 0.00115995593595986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00436968484743069 0 0 0 0 0 0 0 0 0 0 0.00114912309875781 0 0 0 0 0 0 0 0 0.00200304387493873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00143835242818774 0 0.00124997681365567 0.00172149290967417 0.00203720956877876 0 0.00209926887534938 0 0 0 0.00161128906072979 0.00149109169595583 0.00164837402393786 0 0 0.00166390430084439 0.00150078933272534 0.00168608221539554 0 0.00157370325653899 0.00130870317544449 0 0 0 0 0 0 0 0.00117495971312081 0.00168010448813103 0.00149622583067967 0.00146436565661762 0.00145256383088387 0 0 0.00121914287643188 0 0.0014149408589975 0.00145923598727684 0.00136471790140663 0.00130925407845439 0.00129952860585796 0 0.00139666558128999 0.00132626750936323 0 0.00127567154441732 0.00117697438447532 0 0 0 0 0.00119514821173289 0.00127055834780135 0.00131750893547808 0.00126330688839476 0 0 0 0 0 0 0.00144407965791444 0 0 0.0013897080667851 0.00128266294247306 0.00122471738845622 0 0 0.00134078145249613 0.00128913494666966 0.00134421922176249 0.00123376201769803 0 0.00116014863973206 0.00119883610984212 0 0.00115034892481608 0.00116535071754077 0 0 0 0.00122988117256969 0 0 0 0 0 0.00114994905029895 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il16" 0.00126700940978643 0 0 0.00166309301776139 0.00152302695035347 0 0.00164031543340302 0 0 0 0.00120233535115571 0.00137572638089323 0.00142337269121754 0 0 0.00147590456240651 0 0.00135512576483492 0 0.00145968015309742 0.00115297226564464 0 0 0 0 0 0 0 0 0.0013025634463256 0.00136670438559365 0.00130733292692541 0.00125986618748438 0.00143718446855258 0 0 0.00136222247296744 0.00115376907703682 0.00124216176863825 0.00121709748572661 0 0.00119356705094043 0 0.00119518711079048 0.00124738932064366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124631026118689 0.00120961035174851 0.00127789134638335 0.00128447751614012 0.00122237007793206 0.00116331859871229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psap" 0.00159016852764385 0.00160484246368281 0.00131982772042723 0.00177879114037786 0.00178445688683279 0 0.00206312454713585 0 0 0 0.00194173036985163 0.00169274695256752 0.00172617917868787 0 0 0.00167522471055365 0.0012559456491228 0.00198038208408454 0 0.00166640072891609 0.00137659307451555 0 0.00132614595960236 0 0 0 0 0 0.00119931965775281 0.00149019061887095 0.00150806518603114 0.00160764635346211 0.00144773219816077 0 0 0 0 0.00132126451092472 0.00173905871646761 0.00147302889928005 0.00142212141976128 0.00122023295145894 0 0.00169901900805086 0.00147445782494513 0 0.00140257584043649 0.00158434840935598 0.00147457875061926 0.00160601836565683 0.00153745744961208 0.00146324069797319 0.00178083726807625 0.00162862869543822 0.00146484737922881 0.00159328016156 0.0016330919677798 0.00162185349159245 0.00153105077769012 0.00160115577401724 0.00200350362648809 0.00145473369077283 0.00146378554511468 0.00159002301712685 0.00151761368228291 0.00126911008607822 0 0.00129081929466424 0.00127801994568951 0.00130834473115636 0 0.00141233508353148 0.00122198024639416 0.00119539904644535 0 0.00115686746047882 0.00138032795207278 0.00114896246964194 0 0.00126856427846881 0 0 0.00142977783700639 0.00139036985953703 0.00117043237368638 0 0.00127563714080886 0 0.00115117781098786 0 0 0 0 0.0013070898029861 0 0 0 0 0 0 0 0 0 0.00140141001691532
"Icam2" 0.0011779264302795 0 0 0.00126157280087433 0.00147242278463993 0 0.00145388965408101 0 0 0 0 0.00128334118673723 0 0 0 0.00128624609429177 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121873491920054 0 0.00117546207396725 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00209468386696948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00147252459272457 0.00240318969403861 0.00378673150218 0.00153306670251271 0.00264269157748718 0.00231275044839368 0.00201992273566579 0.00217643341410883 0.00202321285548803 0.00226483339172504 0.00262929242800421 0.0030021255700173 0.00164521067322292 0.0023594748343614 0.00231859823238851 0.00270302800470108 0.002338318134906 0.00160320559239241 0.00210126533882423 0.00151237439748309 0.00249151263747815 0.00222737839392906 0.00409972140266582 0.0019843370875547 0.00220086392390706 0.00380124637861206 0.00237301976242974 0.00432247876643764 0.0023354608153539 0.00178682373246822 0.00146892671509516 0.00136483375622213 0.0014286506072374 0.00127974685021522 0 0.00123005477909432 0.00115978063966424 0.00134260268084396 0.00132566521893385 0.00128030598250634 0.00122923846880237 0.00128197535357335 0 0.00139603133657515 0.00129501658638254 0 0.0011987761797914 0 0 0 0 0.00115793639763791 0 0 0.00126679382879855 0 0 0.00115722874407488 0 0 0 0 0 0 0 0.00138402928621726 0 0.0012399260392373 0 0 0 0.00124596016817206 0.00123721883563742 0 0 0 0.00119991813265487 0.00120768508675322 0 0 0 0 0 0.00116391919297703 0 0 0 0 0 0.00122503156799166 0 0 0 0 0 0 0 0 0 0 0 0 0 0
