"Basp1" "Ccnd1" "Col1a1" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fn1" "Grem1" "Igf1" "Lpl" "Mmp2" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Thbs1" "Thbs2" "Timp1" "Actb" "Cd44" "Ier3" "Nrcam" "Runx1" "Sept9" "Tnc" "Adamts4" "Bgn" "Fmod" "Sdc1" "Spp1" "Col8a1" "Ereg" "Inhba" "Myh9" "Sparc" "Enc1" "Lama5" "Chst11" "Fst" "Hbegf" "Pcdh7" "Sema3a" "Tpm1" "Adamts12" "Cyp26b1" "Dkk2" "Nwd2" "Tmem178" "Crlf1" "Cyp7b1" "S100a4" "Sfrp1" "Angptl4" "Chl1" "Rcan1"
"Vwf" 0 0.00232862154106789 0.00384617150905376 0 0 0 0 0 0 0 0 0 0 0 0 0.00128357640960157 0 0 0 0 0 0 0.00120945062995606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ocln" 0 0.0014592892110564 0 0 0 0 0 0.00115565551388437 0 0 0 0 0 0 0 0.00136078683707153 0 0 0 0 0 0 0.00118518532438034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plat" 0 0.00187139313165828 0 0 0 0 0 0.00135938890027968 0 0 0 0.00402226159441221 0 0 0 0.0016873298328899 0 0 0 0.00376305192776554 0.00133851398311272 0 0.0013966920440855 0 0.00130674012362785 0.00132800761722797 0 0 0 0 0 0 0 0 0 0.00124665355266552 0 0 0.00121623691549038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Osm" 0 0.00446665458939584 0.00128129722667954 0 0 0 0.0012065758378941 0.00165470380371374 0 0.00148601624640097 0.00126935607160057 0 0 0.0012945130552982 0 0.00188403613626777 0 0.00131440585765175 0 0.00575092635394113 0.00184088558226187 0.00152552003411855 0.00201189048988944 0 0.0017661727020526 0.0018026525636716 0 0.00645637997940221 0 0 0.00154700819504594 0 0 0 0 0.0018957146713256 0 0.00135114643551604 0.00145798723582474 0 0 0 0.00117493115454041 0 0.00149527436092349 0.00122126648675497 0 0 0 0 0 0 0.00236101899467379 0.00134625371924325 0.00139903396550251 0 0.00133822839747805
"Vcam1" 0 0 0 0 0 0 0 0 0 0 0 0.00174132306296177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0.00147857872071867 0 0 0 0 0 0 0 0.00398311039481062 0 0.00385945044556401 0 0 0 0.00141232557870475 0 0 0 0.00368591735096147 0 0.0038757690753724 0.00128461570807211 0 0 0 0 0 0 0 0 0.00392423267835548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00523227827316777 0.00504645545760657 0 0 0 0 0
"Tgfb2" 0 0.00190805271786732 0.00576007370235692 0 0.00119178659875394 0 0.00116495667700662 0.0048917055913293 0.00268969783792137 0.00143979714863163 0 0.00222230211950226 0 0.00125990790145213 0 0.00604055454509207 0 0.00135638336781128 0 0.0021985662674196 0.00183006461202542 0.00151409785873996 0.00185892402942727 0 0.00183805797545813 0.0017420769136518 0.00273951091521325 0 0.00251060727027853 0 0 0.00424300511753034 0 0 0 0.0017211211321104 0.00246844269781697 0.00133378902592852 0.00135316385988649 0 0.00145119148767289 0 0 0.0011859930133003 0.00133878558905958 0.00594686423756322 0.00696006450174547 0.00549724010344597 0.00776172268825919 0.00540350366439161 0 0 0 0.00132432671418004 0.00118800585049223 0 0.00153200399014485
"Inhba" 0 0.00172001366342803 0.00123346019800764 0.00118150903970432 0 0 0.0011940241331696 0.00162679185350827 0 0 0 0 0 0 0 0.00495713341653815 0 0.00124686314048462 0 0 0.00186551860441827 0.00141126483626065 0.00184805020512057 0 0.0020047963463321 0.00148875700115543 0.00175388027239287 0 0 0 0 0 0 0 0 0.00161932758605975 0 0.00158175593591024 0.00160318204927198 0 0.00136930441535858 0 0 0 0.0013624107183133 0 0 0 0 0 0 0 0 0.00138237706160458 0.00131050839403632 0 0
"Col4a1" 0 0.00131106101658828 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130493534145339 0 0 0 0 0 0 0.00118216257804888 0 0.00122304405896842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
