"Abca1" "Atf3" "C1qb" "C1qc" "C3ar1" "Cd86" "Cdkn1a" "Gadd45b" "Ier3" "Igf1" "Ly86" "Nek6" "Spp1" "Timp2" "Basp1" "Cd14" "Fkbp1a" "Fn1" "Itgax" "Itgb5" "Lpcat2" "Socs3" "Acp5" "Adam9" "Cd68" "Csf2ra" "Id2" "Msr1" "Tubb5" "B4galt1" "Ccr5" "Fam129b" "Gsn" "Lyz2" "Slc3a2" "Tbxas1" "Apoe" "Pmepa1" "Mmp14" "Ctsb" "Dnmt3a" "Gnas" "Rnf128" "Arg1" "Cd200r1" "Trem2" "Nrp2" "B2m" "Lat2" "Fth1" "Pip5k1c" "Il21r" "Lasp1" "Snx5" "Tgfbi"
"Kitl" 0 0.00151014646054516 0 0 0 0.0011335233048215 0.0021533584138042 0.00168442075131827 0.00171980509252378 0.00114272171766107 0 0.00148304503326505 0 0 0 0 0 0.00143119944300955 0 0 0 0.00161859582044891 0 0 0 0 0.00257637822713251 0 0.00144087087533524 0.00123077838555749 0 0.00127142802671285 0.00151141526916618 0 0.00128839169911633 0.00114022757243415 0 0.00112792553241902 0 0 0 0 0 0 0 0 0 0 0.00448149389818876 0.00120816106900437 0 0.00119023384174349 0.00127472360189204 0 0
"Adam12" 0 0 0 0 0 0 0.00146900484079388 0.00115562628107171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119840018974374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selp" 0 0.00136275950565844 0 0 0 0 0.00154181477979211 0.00122675573051379 0.00120846874556745 0 0.00136771668158098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119519048517406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00113092900956711 0 0 0 0 0 0 0
"Pkd1" 0 0.00122384615990207 0 0 0 0 0.00377401514156348 0.00147515392047131 0.00140221731548483 0 0 0.00126964773882859 0 0 0 0 0 0.00121201939533346 0 0 0 0.00129874555356641 0 0 0 0 0.00122959604414436 0 0 0 0 0 0.00130035719859155 0 0 0 0 0 0.00218694057591152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0 0.00126923421375347 0 0 0 0.00112755429992528 0.00175765021772766 0.00161415845904594 0.00156565053306996 0 0 0.00142397638507753 0 0 0 0 0 0.00121493178321917 0 0 0 0.00135497115349177 0 0 0 0 0.00132969738435618 0 0.0011689189394581 0 0 0.00120271605847513 0.00123394273481675 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00229929431217204 0 0 0 0 0 0 0 0
"Gpi1" 0 0 0 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lama2" 0 0 0 0 0.00498958833575301 0 0.00348529324590653 0 0 0 0 0 0.00396458162870324 0 0 0 0 0 0.00481863159967224 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00398159260466623 0 0 0 0 0 0 0 0 0.0051191515837194 0.00566293640835461 0.00665882289727644 0 0 0 0 0.00481644659353208 0 0 0 0
"Cdh1" 0 0.00123345931395832 0 0 0 0 0.00173913883220524 0.00128304892443165 0.00139097268254566 0 0 0.0011340754933156 0 0 0 0 0 0.00122745417984163 0 0 0 0 0 0 0 0 0.00133094417319863 0 0.00115160485648725 0 0 0 0.00119124915105893 0 0 0 0 0 0 0 0 0 0 0.00515533296214714 0 0 0 0 0 0 0 0 0 0 0
"Serping1" 0 0 0 0 0 0 0.00146632850772889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0.00118656908784909 0 0 0 0 0.00166340261824615 0.00142862833365383 0.00128710215959032 0 0 0.0012089409520911 0 0 0 0 0 0.001128916647372 0 0 0 0.00112798956222543 0 0 0 0 0.00117512753191235 0 0 0 0 0.00112493920512581 0.00113531638783824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0 0.0011817179053151 0 0 0 0 0.00160268744489109 0.00128660101705327 0.0013051154779708 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00127637003633434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00496318180627517 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0.00115977719438198 0 0 0 0 0.00152308824586791 0.00112317364611301 0.00118216257804888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114006658545824 0 0 0 0 0 0.00115634119955729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0 0.00139759089636935 0 0 0 0 0.00171059303509075 0.00132310141670127 0.00127197955683965 0 0 0.0011980170792334 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117745343332141 0 0.00113651063837519 0 0 0 0.00115165723204031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
