"Abca1" "C1qb" "C1qc" "C3ar1" "Igf1" "Spp1" "Timp2" "Basp1" "Cd14" "Fn1" "Hif1a" "Itgb5" "Acp5" "Adam9" "Id2" "Klf9" "Msr1" "Adam15" "Cd72" "Ldha" "Pdpn" "Fam129b" "Gsn" "Mmp14" "Pmepa1" "Arg1" "Slc3a2" "Fkbp5" "Rnf128" "Ctsb" "Nrp2" "Cd300lf" "Slc48a1" "Emp1" "Fth1" "Fcgr3"
"Fgf2" 0 0 0 0 0.00236694655946615 0.00213698915373628 0.00222098631620354 0 0 0.0014337325430763 0.00495312976158389 0.00214873896277155 0 0 0.00159674290226252 0.00144515752256054 0 0 0 0.00110235189829532 0 0.00129258483736188 0.00141316354573379 0 0 0 0.00118022834151838 0.00132397506182081 0 0 0 0 0 0 0.00123130163907247 0
"Col5a3" 0 0 0 0 0 0 0 0 0 0.00115700867749609 0 0 0 0 0.00134769607918783 0 0 0 0 0 0 0 0.00119786374854643 0 0.0011587087191155 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0 0 0 0 0 0 0 0 0 0.00110436595243795 0 0 0 0 0.00127637003633434 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00496318180627517 0 0 0 0 0 0 0
"Ntn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00497405194522533 0 0 0 0 0 0 0 0 0 0
"Cdh1" 0 0 0 0 0 0 0 0 0 0.00122745417984163 0 0 0 0 0.00133094417319863 0 0 0 0 0 0 0.00111598118424574 0.00119124915105893 0 0 0.00515533296214714 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0 0 0 0 0 0.00219667614821806 0 0 0 0.00446920500700439 0.00116391145876509 0 0 0 0.00175023400618673 0.00121456081518324 0 0 0 0.00109136303037504 0 0.0012831778123221 0.00167113764313001 0 0.00144443019006582 0 0.00131962936212562 0.00111162962357845 0 0.00108764383602621 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0 0 0 0 0 0.00109018369767211 0 0 0 0 0 0.00114073213156216 0 0 0 0 0 0 0.00436968484743069 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0 0 0 0 0 0 0.00432247876643764 0 0 0.00138374225895684 0.00387769051653293 0.00210082044401233 0 0 0.00143655215948093 0.00138976869989866 0 0.00237618191372868 0.00206792822043719 0.0024203298334835 0.00233932018021433 0.00124535983460718 0.00126679382879855 0 0.00108782476196448 0 0.00109187683850735 0.00119254421227772 0 0 0 0 0 0 0.00115793639763791 0
"Csf1" 0 0 0 0 0.00230757315500023 0 0 0 0.0043400854220546 0.00129742882723872 0.0011696095514101 0 0.00476711552751169 0.00206987233832151 0.0013886434390617 0.00124661234637726 0.00299846426066718 0 0 0 0 0.00119800010429064 0.00121991114060479 0 0 0 0 0.00120001639944626 0 0 0 0 0 0 0 0
"Tgfb1" 0.00240944311129614 0 0 0 0.00566017293649168 0.00220228850676684 0.00229989090525026 0.0044648967027366 0.00460091968010032 0.00583983968729012 0.00512547950130937 0.00454188789266344 0 0 0.00175756524965042 0.00143147430836404 0.00319786447902971 0.00264814203938809 0 0.00116525920248271 0 0.00149136829657546 0.00163255409989271 0 0.00139538051011674 0.00263187633558216 0.00141667766262817 0.00144117895663344 0 0.00112468361843517 0.00120073449129398 0 0 0.00114955222618011 0.001313046198603 0
"Apoe" 0.00548961383709839 0.00565009664284423 0.00517445847791113 0.00490866589710499 0.00398311039481062 0.00392423267835548 0.00420291883098396 0 0 0 0 0 0 0 0.00108603463938134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
