Airway	d10	young "","Epha2","Fzd6","Lrp6","Itpr1","Ryk","Dsg2","Sec63","Lrp10","Lsr","Ptk7","Ager","Agtrap","Sdc4","Sdc1","Sdc2","Fgfr3","Glg1","P2rx4","P2rx6","Tgfbr2","Igf1r","Sorl1","Tnfrsf21","Il6st","Osmr","Cul5","Rrbp1","Erbb3","F11r","Icam1","Sort1","Amfr","Atp5b","Ltbr","Kcnj15","Il6ra","F3","Gfra1","Cckar","Lpar3","Cdh1","Pigr","Cadm1","Itgb4","Dag1","Ptprf","Ddr1","Itgb1","Rpsa","Ptpra","Rack1","Plxnb2","Ptprz1","Clstn1","Ebp","Nectin3","Nectin4","Calm1","Prnp","Ptprk","Fzd3","M6pr","Scarb2","Slc1a5","Cd151","Fat1","Cd47","Igf2r"
Airway	d10	young "Apoe",0,0,0,0,0,0,0,0,0,0,0,0,0.210881047368993,0.214044128816765,0.334351111240988,0,0,0,0,0,0,0.699239598034586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Vtn",0,0,0,0,0,0,0,0,0,0,0,0,0.172050198925487,0.214044128816765,0.206033641327738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434766582272848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Fgf1",0,0,0,0,0,0,0,0,0,0,0,0,0.240017618338431,0,0.395168664691792,0.701666760350493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Fgf2",0,0,0,0,0,0,0,0,0,0,0,0,0.321994839521182,0.520858876696819,0.470096634040453,0.71609481198764,0.306495006314527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Adam12",0,0,0,0,0,0,0,0,0,0,0,0,0.246717169249588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Tgfb3",0,0,0,0,0,0,0,0,0,0,0,0,0.303450384357818,0,0,0,0,0,0,0.556736512164169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Ccl5",0,0,0,0,0,0,0,0,0,0,0,0,0.488348219681343,0.607544018511604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117442309611095,0.22235356087437,0.551797674569981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Pecam1",0,0,0,0,0,0,0,0,0,0,0,0,0.178098082222914,0.221568176563689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Rspo3",0,0,0,0,0,0,0,0,0,0,0,0,0.198201315873779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Slit2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231194665845245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Thbs1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.132160674891922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215658962029843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340051521904172,0
Airway	d10	young "Col1a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.128085562808906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39986305116601,0.501195220221716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.183918325582149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923475211196466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway	d10	young "Tnc",0,0,0,0,0,0,0,0,0,0,0,0,0,0.128085562808906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240961163066389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
