"Actb" "Anln" "Birc5" "Ccnb2" "Cenpe" "Cenpf" "Lmna" "Mcm7" "Mki67" "Prc1" "Racgap1" "Top2a" "Tpx2" "Tyms" "Fn1" "Pfn1" "Serpine1" "Tnc" "Tubb5" "Eln" "Vasp" "Gnas" "Ldha" "Nme1" "Rps2" "Fabp4" "Loxl2" "Vim" "Tm4sf1" "Gap43" "Sept10" "Tmem176b" "Cda" "Col4a2" "Col18a1" "Arpc2" "Eef1a1" "Srsf2" "Cdh5" "Txn1"
"Clstn1" 0.00126964086548004 0 0.00103805815316027 0 0 0 0.0014228062489851 0.00111856669896035 0 0 0 0 0 0 0.00106404292851952 0.00121950907195295 0.00122724039681923 0 0.00122918313304998 0 0.00104114906020053 0.00117728352424553 0.0010049509503756 0.00109399135932702 0 0 0 0.00099667344371411 0.000989399705497341 0 0 0 0 0 0.00131958192689657 0 0 0.00105252639131044 0 0
"Nid1" 0.00123564708620085 0 0 0 0 0 0.00124402007250679 0.00101133549161546 0 0 0 0 0 0 0.00128306260991774 0.00112635505900483 0.00132753110917465 0 0.00128907977510797 0 0.00107240504471443 0.00108652677756101 0.000983268504863189 0 0.00106571463257479 0 0 0.00103202861531701 0 0 0 0 0 0.00124289887545935 0.000979873690834419 0 0 0 0 0
"Ptprf" 0.00126970680747263 0 0.0011681899966901 0 0 0 0.00125201437082661 0.00108586490289768 0 0 0 0 0 0 0.00134453857210543 0.00111253696041319 0.00122533242559474 0 0.00111232546847081 0 0.000983139824935452 0.00100830049190457 0 0 0 0 0 0.00102466550237222 0.000986744724282238 0 0 0 0 0 0.000998373193749292 0 0.000976782418328564 0 0 0
"Tnfsf13b" 0.00118100036603681 0 0 0 0 0 0.00133827636679014 0 0 0 0 0 0 0 0.00109533833164278 0.00117966156174943 0.00136500910715811 0 0.00116128244547727 0 0.00105072431696286 0 0 0 0 0 0 0.00102640481206579 0.00101497937423155 0 0 0 0.00213274018628288 0 0.000987842684639808 0 0 0 0 0
"Cadm1" 0.00121345587706799 0 0 0.00444948960037891 0 0 0.00117979291309613 0 0 0 0 0 0 0 0.000983357938713683 0.00102183400052164 0.00105370139983553 0 0.00108208347150505 0 0.00101007664670992 0.00497279866418111 0 0 0 0 0 0 0 0.00527525383786957 0.00509513431535997 0.00568193305502571 0 0 0 0.00452111706124435 0 0 0 0
"Arf1" 0 0 0 0 0 0 0.000981688948170969 0 0 0 0 0 0 0 0 0 0.000979161565898209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0.00105680613317923 0 0.00391044999190605 0 0 0 0.00115612719647975 0 0 0 0 0 0 0 0 0 0.00107956227691662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll4" 0.00185625641413516 0.00110891487811119 0.00128216891993074 0 0 0 0.00202504729814474 0.00160681260358537 0 0 0 0.00123589052088799 0 0.001098958613636 0.00269630698677478 0.00137749901709754 0.00192998991652903 0.00126860578117885 0.00218455968345461 0.00120201100803563 0.00169125364199352 0.00191115248911308 0.00125021253953696 0.00136851061897578 0.00141480378805595 0 0 0.0017665762779185 0.00134108483075375 0 0 0 0 0.00102875998261959 0.0013602375603735 0 0.00125897370426649 0.00100740419856538 0.00105300591648601 0.000988758341041561
"Tgfb1" 0.00296597953804268 0.000980828881387461 0.00125783445363594 0 0 0 0.00180035545017696 0.00134556500806036 0 0 0 0.000991184563641443 0 0 0.00583983968729012 0.00149627334430383 0.00587025025317145 0.00263948532009254 0.00163917850063023 0.00698701226936435 0.00154803841155808 0.00129140126221758 0.00116525920248271 0.00433370091195563 0.00109265974293731 0.00465532966675315 0.00519585533520799 0.00539500587814721 0.00130791091179883 0 0 0 0 0.00101340973348201 0.00138206816395869 0 0.00137513480490137 0.00107968108799692 0.00265996731625495 0.0010515729946795
"Manf" 0.00100631839929851 0 0 0 0 0 0.00138374486081799 0 0 0 0 0 0 0 0.00108881098928279 0.00122199253411193 0.00121877003942938 0 0.0011251219272539 0 0.00101525552951803 0.00108073157101956 0.00110041747062286 0.00108082428115221 0.00107664980865046 0 0 0 0.00106193765059585 0 0 0 0 0 0.000973133099199429 0 0 0 0 0
"Spp1" 0.0014557991705183 0 0.000994850745812605 0 0 0 0.00144213193410018 0.00105539508034485 0 0 0 0 0 0 0.00125375186388455 0.00123120779421862 0.00152723633884689 0.00447159030759513 0.00133668505344441 0.0049989028848838 0.00127119297061563 0.00101959110481208 0 0.0010032274635009 0 0 0 0.00118931505083177 0.00103966098444528 0 0 0 0 0 0.00106892208637945 0 0.00112531244598047 0 0 0
"Tgfb3" 0.00171215492557961 0 0.000973619668961799 0 0 0 0.00151856378606806 0 0 0 0 0 0 0 0.00446920500700439 0.0013860823839256 0.00474246844207253 0.00642598074252033 0.00136146995552084 0.00107851761243098 0.00114502240893747 0.00117878296305067 0.00109136303037504 0.00101439269387709 0 0 0 0.00132242544024724 0.00131305082479475 0 0 0 0 0 0.00129165322023693 0 0.00126014374907011 0 0 0
"Hmgb2" 0.00161662305631722 0.00580611897563653 0.010202676300788 0.0109891121085255 0.00611053240775981 0.00596213518831556 0.00160735520476084 0.00570126437795914 0.0111317874203595 0.00579746225178336 0.0112367864518404 0.0108711128393376 0.00586436358655027 0.00617668261227528 0.00142604392664169 0.00134612743585008 0.00133779235442604 0 0.00143231202664415 0 0.00122189800133387 0.00114296411473628 0 0 0.00106504324528444 0.00100896978627785 0 0.0011372062569502 0.00117888411615816 0.00116726804479675 0 0 0 0 0.00109067599585126 0 0.00129753091803727 0.00102878468762061 0 0
