"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Epha2" "Gadd45b" "Gja1" "Hes1" "Hif1a" "Icam1" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "Pdpn" "Psmc6" "Sparc" "Timp2" "Tnfrsf12a" "Trib1" "Ubc" "Vegfa" "Ager" "Calr" "Cdkn2b" "Col4a1" "Cryab" "Itgb1" "Itgb6" "Klf6" "Krt18" "Mdm2" "Pdgfa" "Tjp1" "Tpm4" "Vdac1" "Actb" "Capn2" "Clic1" "Gapdh" "Gsn" "Krt8" "Nfe2l2" "Pfn1" "S100a10" "Sema3b" "Ece1" "Myh9" "Ndst1" "Ceacam1" "Khdrbs1" "Lpp" "Timp3" "Aldoa" "Lama5" "Lcn2" "Slc3a2" "Abcc5" "Akr1b8" "Sqstm1" "Areg" "Eif5a" "Tgfb2" "Anxa7" "Pdia3" "Mif" "Atf4" "Crlf1" "F3" "Pa2g4" "Ptgr1" "Rac1" "Gramd2" "Il18r1" "Cd9" "Actr1a" "Rhoa" "Elob" "Cgn" "Crip2" "Fam174b" "Krt19" "Pard6b"
"Sema5a" 0 0 0 0 0.00123229623941838 0 0.00138821599248424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114623273393842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141332004099068 0 0 0 0 0
"Vegfc" 0.00135335614719117 0.00112947633191606 0 0.00159676431311203 0.00172697721905583 0 0.00175765021772766 0 0 0 0.00148951299253066 0.00161415845904594 0 0.00145138560666509 0.00141610094117883 0.00122606414886062 0 0.00138651172409576 0.00124175228768125 0.00220931165320014 0 0 0 0 0 0 0.00130755120474954 0.00140809995522868 0.00168723077522515 0 0 0 0 0 0 0 0.00128636816568636 0 0 0 0 0 0 0.00138739237908813 0.00113447420614345 0.00118427352499106 0.00119106203952406 0.00123394273481675 0.00129533641966233 0.00136454442320304 0 0.00122723251155306 0.00142464129802751 0.00124585803450023 0.00119533008351952 0.0011991438195346 0 0 0 0 0 0.00127902104644851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00204747889804712 0 0 0 0 0 0.00114716380084383
"Pgf" 0.00152197987412888 0.0011951632580276 0.00145697604379791 0.00178065892880976 0.00206311573471318 0 0.00218818771600824 0 0 0 0.00154917481853526 0.00188013051897822 0 0.00180066436749861 0.00268630549914874 0.00179753890769374 0 0.00160038242317859 0.00147920924131826 0 0 0 0 0 0 0.00121742381247097 0.0016884356686671 0.00193573683011864 0.00296626976596113 0.00120711903435626 0 0 0 0 0 0 0.00152714131970703 0 0.00138323208470499 0 0 0 0 0.00158456810076445 0.00117152058720136 0.00135654474903529 0.00169384392973226 0.00137849799309404 0.00131848282176706 0.00158241931179821 0.00126203699620948 0.00137014869170567 0.00130862951305746 0.0012852896684216 0.00137792234125744 0.00120926304340273 0 0 0.00122051999817778 0 0.00134512398909773 0.00128375732887628 0 0.00120836607605814 0 0 0.00137110048119647 0 0.00127514512055219 0.00123442754740235 0 0 0 0.00115042754903117 0 0.00128786388324901 0 0 0 0 0 0.00116582272005088 0 0 0 0 0 0 0.00122014017903533 0.00125957568257308
"Fgf2" 0.0015332934058518 0.00238775461227508 0.00378760245227831 0.00268257746042941 0.00486015034403085 0 0.00301269652847111 0 0 0 0.00158488236944593 0.00173736354169787 0 0.00276757308436314 0.00495312976158389 0.00248838117738215 0.00424859031672777 0.00169109559965225 0.00146154995099624 0 0 0 0 0 0.00222098631620354 0.00123904410968292 0.00165001325136423 0.00190696137685153 0.0046608282131596 0.00120373918694814 0 0 0 0 0 0 0.00148234021522584 0 0.00125081449987009 0 0 0.0012500830165794 0 0.0014694956705675 0.00123109824936326 0.00157609138082823 0.00271055838891752 0.00141316354573379 0.00134881895289704 0.0015440941709031 0.00128777347451712 0.00131268707801347 0.00122356384271807 0.00124909647014734 0.00139511301299673 0.00113092707178939 0 0 0.00131078819307063 0 0.00123526067489422 0.00115776363504512 0 0.00118022834151838 0 0 0.00118651388697835 0 0.00124953089403008 0 0 0 0 0.00112772721434618 0 0 0 0 0.00196396774465771 0 0 0.00115448774546137 0.0022295975385589 0 0 0 0 0 0 0.00123750814471963
"Vcam1" 0 0 0 0 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.0014417568634063 0.00114168079867922 0.00115993367388151 0.00176616475343128 0.00196545252932372 0.00226856518985626 0.00206911530949821 0 0 0 0.00150218821176013 0.00170368372605386 0 0.00197603053817831 0.00119943326858578 0.00152664699934757 0 0.0015406909372773 0.00139312205183961 0 0 0 0 0 0 0.00119530599656651 0.00152800804205562 0.00176475134299126 0.00250313799333803 0.00114099932632288 0 0 0 0 0 0 0.00142293151740962 0 0.00120053978595704 0 0 0 0 0.00152012849124405 0.00117790673453089 0.00134863235874304 0.00127317639260921 0.00137709564990964 0.00143327073942227 0.00138462444892899 0.0013662293519631 0.00126615679310811 0.00131418864926006 0.00117054540731726 0.00133758499639306 0 0 0 0.00120525526430194 0.00473414026985662 0.00114981150815589 0.00115555570781167 0 0.00131174750016102 0 0 0.00120600632142194 0 0 0 0 0 0 0.00116927363024105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0011569526037633 0
"Efna5" 0.00114884019446478 0 0 0.00123759964126831 0.00152939590151057 0 0.00171229792557183 0 0 0 0.00135458309859903 0.0012275916740436 0 0.00132516985427714 0 0.00114191639476242 0 0.00120074582515102 0 0 0 0 0 0 0 0 0.00118123412586737 0.00137928382037094 0.00139281703689129 0 0 0 0 0 0 0 0 0 0.00118606873188964 0 0 0 0 0.00118791220590326 0 0 0 0.00113791211387095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0.00131457596162555 0 0 0.00130420120572213 0.00155412326798744 0 0.00186433102548193 0 0 0 0.00146305138363456 0.00132835353799395 0 0.00158230657904727 0 0.00113807402022363 0 0.00137682414635469 0.0013020756742901 0 0 0 0 0 0 0 0.00138808293040817 0.00140355501352378 0.00140529831423787 0 0 0 0 0 0 0 0.00120539375232307 0 0 0 0 0 0 0.00122785065043676 0.00116068258735429 0.00118675891452592 0 0.00117379664962302 0.0012077625801329 0 0 0 0 0 0 0 0 0 0.00116822566137444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0.00136738750926704 0 0 0.00143730442326052 0.00174813253088666 0 0.00188044658787928 0 0 0 0.0013434363341481 0.00130393379050722 0 0.00148512531126647 0 0.00127681993639204 0 0.00133913952023012 0.00123272139760409 0 0 0 0 0 0 0 0.00133954145899324 0.00143843750617272 0.00156776997326893 0 0 0 0 0 0 0 0.00113948111493482 0 0 0 0 0 0 0.00121796562353523 0 0.00123388280103664 0 0.0012937479027393 0.00118725210810313 0.00132421712030051 0 0.0011326389704001 0 0 0.00122331004441365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0.00112857496804921 0 0 0 0.00137562694571343 0 0.00149768513569796 0 0 0 0.00118066947863899 0.00115165054774565 0 0.00120172239880934 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012239222062616 0.00121409554807664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
