"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Epha2" "Gadd45b" "Gja1" "Hes1" "Hif1a" "Icam1" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "Pdpn" "Psmc6" "Sparc" "Timp2" "Tnfrsf12a" "Trib1" "Ubc" "Vegfa" "Ager" "Calr" "Cdkn2b" "Col4a1" "Cryab" "Itgb1" "Itgb6" "Klf6" "Krt18" "Mdm2" "Pdgfa" "Tjp1" "Tpm4" "Vdac1" "Actb" "Capn2" "Clic1" "Gapdh" "Gsn" "Krt8" "Nfe2l2" "Pfn1" "S100a10" "Sema3b" "Ece1" "Myh9" "Ndst1" "Ceacam1" "Khdrbs1" "Lpp" "Timp3" "Aldoa" "Lama5" "Lcn2" "Slc3a2" "Abcc5" "Akr1b8" "Sqstm1" "Areg" "Eif5a" "Tgfb2" "Anxa7" "Pdia3" "Mif" "Atf4" "Crlf1" "F3" "Pa2g4" "Ptgr1" "Rac1" "Gramd2" "Il18r1" "Cd9" "Actr1a" "Rhoa" "Elob" "Cgn" "Crip2" "Fam174b" "Krt19" "Pard6b"
"Nectin1" 0.00118519249823681 0 0 0.00122810378241218 0.00156986577337499 0 0.00150300544457211 0 0 0 0.00120013234042198 0.00122338698503827 0 0.0013869697190072 0 0.00121411407376731 0 0 0 0 0 0 0 0 0 0 0 0.00123798158762503 0.00148187893367509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114331666493793 0.00114342818061623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.00116641818947899 0 0 0 0.00134862195131715 0 0.00152125277648955 0 0 0 0.0011609513420231 0.00235597249778768 0 0.00120281762825719 0 0 0 0.00118340757477034 0 0 0 0 0 0 0 0 0 0.00126742257183738 0.00124898861495364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00392451796822546 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0.00123382642040779 0 0 0 0.00139265318762368 0 0.00169190123587818 0 0 0 0.00140205527682894 0.00129126032055829 0 0.00120218420912888 0 0 0 0.00118747027906698 0 0 0 0 0 0 0 0 0.00112996519035683 0.00134268522608456 0.00128673657073765 0 0 0 0 0 0 0 0 0 0.00118003192422298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012806832304884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00124633192093488 0 0 0.00131914804895682 0.00147863837550371 0 0.00164164008714949 0 0 0 0.0013852958236293 0.00120293430632741 0 0.0013244331421502 0 0 0 0.00122385998378597 0 0 0 0 0 0 0 0 0.0013278687496968 0.00137667016120473 0.00129953066602373 0 0 0 0 0 0 0 0.0011280607396269 0 0 0 0 0 0 0.00113302069762406 0 0.00121301081116585 0 0.0011420607771407 0.00114350643734062 0.00113917586236216 0 0 0 0 0 0 0 0.00201297816852589 0 0.00222440586390975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0.00126837164302806 0.00156572415511307 0 0.00367438744373611 0 0 0 0.00119565846547445 0.00129663054851378 0 0.0012087312925059 0 0.00122619544728706 0 0.00120144145401988 0 0 0 0 0 0 0 0 0.00124290281847455 0.00139512043561346 0.00430544677916095 0 0 0 0 0 0 0 0.00115995593595986 0 0 0 0 0 0 0 0 0 0 0.00436968484743069 0 0 0 0 0 0 0 0 0.00200304387493873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.00129404308203525 0 0 0.00137713515200171 0.00155234244201311 0 0.00166340261824615 0 0 0 0.00127118773598424 0.00142862833365383 0 0.00133406046076178 0 0.00124723211845029 0 0.00125403050002514 0 0 0 0 0 0 0 0 0.00129601665118742 0.00136526632307033 0.00146694737172499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115234982413562 0 0 0 0.00113531638783824 0.00114668509097908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00128970280557901 0 0.00361100199031988 0.00143074188544829 0.00165517880547517 0 0.00172438615322352 0 0 0 0.00141576775432903 0.00137612788392824 0 0.00139769701828665 0 0.00127275023603779 0 0.00127898498401072 0.00119553385183569 0 0 0 0 0.00224052357432998 0 0 0.00127690208138573 0.0014248951502895 0.00143211986828032 0 0 0 0 0 0 0 0 0 0 0.00203974471976682 0 0 0 0.00126282497199686 0 0.00121390140459223 0 0.00120151186737656 0 0.00124437164709126 0 0 0 0.00114700322777658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0.00131705432545645 0 0.00364748249297431 0.00400475789821093 0.00168013374448286 0 0.00177374486570155 0 0 0 0.00147147323090061 0.00142764362254368 0 0.00144792472151187 0 0.00117875673257323 0 0.00148103936851367 0.0042324033320783 0 0 0 0 0 0 0.00113931068814894 0.00137758463810955 0.00159847130534817 0.0023646425721241 0 0 0 0 0 0 0 0.00126232286321061 0 0 0 0 0.00113076949037393 0 0.00136532258067635 0.00116157806797452 0.00143850333762942 0.00117644706106746 0.00121038026108012 0.0012980459797124 0.00136481263892046 0.00123962414145568 0.00118372286416479 0.00119330277637678 0 0.00114688291389529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00175568893670016 0.00136584088336789 0.00501298582846888 0.00176299322375367 0.0049155449618628 0.00117188444641375 0.00548303347996596 0.00239610071735005 0 0.0011688673255414 0.00189555020617561 0.00315856619923651 0.00259638499600507 0.00308223232651456 0.00512547950130937 0.00403017469022695 0.00221847219236498 0.00180035545017696 0.00456380015609211 0 0.00433370091195563 0 0 0.002517570023229 0.00229989090525026 0.00264835032139451 0.00192981854355597 0.0021377044995426 0.00485364706094005 0.00482613282333761 0.00451960883601798 0.00648685860188018 0.00485394028475774 0.00461832386426685 0.00465805927993809 0.00606760576984587 0.00480783420952646 0.0044065352416625 0.0045332986722952 0.00585914002902647 0.00467637738219293 0.00510760544386226 0.00430710728360495 0.00296597953804268 0.00136616305241965 0.00164313488636811 0.00153336342413857 0.00163255409989271 0.00157339741274326 0.00166090373356128 0.00149627334430383 0.00146975144794285 0.00140104309771909 0.00137447830217155 0.00159500839792795 0.00133198517731623 0 0 0.0014044791997589 0.00254983793205014 0.00131030416960445 0.00286538023665182 0 0.00141667766262817 0 0 0.00134011800486834 0 0.00134515637244138 0.00128689244248201 0 0 0 0.00123618952352695 0 0.00125370263898367 0 0 0 0 0 0.00129999112640331 0 0 0 0 0.00118775509304015 0.00112931554134894 0.00125821995254738 0.00129585782284255
"Vegfa" 0.00147252459272457 0.00240318969403861 0.00378673150218 0.00153306670251271 0.00264269157748718 0.00231275044839368 0.00201992273566579 0.00217643341410883 0.00202321285548803 0.00226483339172504 0.0030021255700173 0.00164521067322292 0.0023594748343614 0.00270302800470108 0.00387769051653293 0.002338318134906 0.00210126533882423 0.00151237439748309 0.00249151263747815 0.00222737839392906 0.00409972140266582 0.00233932018021433 0.00220086392390706 0.00237301976242974 0.00432247876643764 0.0023354608153539 0.00154240272111087 0.00165028049266444 0.00178682373246822 0 0 0 0 0 0 0 0.00132566521893385 0 0.00122923846880237 0 0 0 0 0.00136483375622213 0.00113814705480148 0.00130843253079308 0.00134260268084396 0.00126679382879855 0.00128030598250634 0.00139603133657515 0.00129501658638254 0.0011987761797914 0.00123721883563742 0.00123005477909432 0.00128197535357335 0.00113935963216323 0 0 0.00120768508675322 0 0.00122503156799166 0.00116391919297703 0 0 0 0 0.00114664890504936 0 0.00115978063966424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0011288056499729
