"Acta2" "Basp1" "Ccnd1" "Cdkn1a" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fbn1" "Fn1" "Grem1" "Igf1" "Lox" "Loxl2" "Lpl" "Nme1" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Socs3" "Thbs1" "Thbs2" "Timp1" "Actb" "Cebpb" "Enc1" "Fbn2" "Myh9" "Ncam1" "Pfn1" "Runx1" "Sept9" "Spp1" "Tnc" "Tubb5" "Cd44" "Clic1" "Nrcam" "Adamts4" "Anxa2" "Bdnf" "Bgn" "Fmod" "Ptn" "Sdc1" "Sparc" "Col8a1" "Il13ra1" "Inhba" "Mmp14" "Fst" "Ranbp1" "Angptl4" "Fhl2" "Tpm1" "Eno1" "Tm4sf1" "Sfrp1" "Tnfrsf12a" "Lgals1" "Hbegf" "Adamts12" "Dkk2" "Pkm" "Rcan1" "Calm1" "Slc20a1"
"Tgfb2" 0.00426472021027771 0 0.00190805271786732 0.00242732066735023 0.00576007370235692 0.00577280511684245 0 0.00119178659875394 0 0.00116495667700662 0.00500298343691173 0.0048917055913293 0.00268969783792137 0.00143979714863163 0 0 0 0.0010961864018516 0 0.00125990790145213 0 0.00604055454509207 0 0.00158329931217404 0.00135638336781128 0 0.0021985662674196 0.00183006461202542 0.00191491005172984 0.00133378902592852 0 0.0017211211321104 0.0026149651301924 0.00160496966216414 0.00183805797545813 0.0017420769136518 0.00424300511753034 0.00273951091521325 0.00159702134242239 0.00151409785873996 0.0016894575952021 0 0 0.00459734569206122 0.00156334665637381 0.00251060727027853 0 0 0.00113595229077733 0.00246844269781697 0 0 0 0 0.00145119148767289 0.00152969545739733 0.00118800585049223 0.00131293056025204 0.00133878558905958 0.00151025745887755 0.00142883319974461 0.00132432671418004 0.00129475943414214 0 0 0.00594686423756322 0.00549724010344597 0.00130841337916431 0.00153200399014485 0.0011306943910618 0.00136455617745358
"Gas6" 0 0 0.00150255314277585 0.00146331534233639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118647136625684 0 0.00113349857917654 0 0 0 0.00118582420122749 0.0012335706875513 0 0 0 0 0 0 0.00110974344934697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sfrp2" 0 0 0.00208891783386218 0.00217726257553603 0.00108924996446809 0 0 0 0.00116082578186058 0 0 0.00148353628489058 0 0.00137537577703719 0.00127839452901401 0 0 0 0 0 0 0.00163573133508852 0 0.00113608037526707 0.00113688277023433 0 0 0.00145823140480373 0.00146583914844688 0.00135855541738664 0.00117558536468587 0.00136871529297371 0.00145609868130969 0.00106256756627235 0.00169176044608365 0.00128257851090195 0 0.00120853363102754 0.0012675575860305 0 0.00118848372706143 0 0 0.00127563529126655 0.00175464251393739 0 0.00118870539870535 0 0.00156615232965021 0 0 0 0.00108438252354312 0 0.0015555363456321 0.00113657784269927 0 0.00128187494788968 0.00129352040835001 0.00108506481329835 0 0.00136840151192835 0.00117233013581305 0 0.00118331243608323 0 0.00112844081606404 0.00111479365167278 0 0.00122445183957783 0.00150075167287394
"Tnc" 0 0 0.00147863837550371 0.00164164008714949 0 0 0 0 0 0 0 0.00118045399455545 0 0 0 0 0 0 0 0 0 0.00123119974798745 0 0 0 0 0 0.00113302069762406 0.00120164822950824 0 0 0.0011023572752852 0 0 0.00116094684729201 0.00115109290302307 0 0 0.00108704814104292 0 0.00121301081116585 0 0.00215980689639087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0 0 0.00166797816169625 0.00188972934016114 0.00406632226576029 0.00430284300218838 0.00507425261027675 0 0 0 0 0.00127971483878582 0 0 0 0 0 0 0 0 0 0.00154295705737696 0 0.00113864575637717 0.00107620731155021 0 0.00195713366293793 0.00119186886368411 0.00139931153213885 0 0 0.00112539673770424 0 0.00120159539202971 0.00113317261631609 0.00119475334146133 0 0 0.00125963308360365 0.0021558145226926 0.00124945330731138 0 0 0 0.00115413211256131 0 0 0 0 0 0 0 0 0 0.00242602597592015 0.0011497652090874 0.00108585055233817 0 0 0 0 0 0 0 0.00214917490926885 0 0 0 0 0 0
"Hgf" 0.00398636721155085 0 0.00193237668822109 0.00199003703539692 0.00108112285435082 0.00421155205897465 0 0.00466413216211115 0 0 0 0.00133088127579871 0 0 0 0 0 0 0.00229382017097465 0 0 0.0015821303266869 0 0.00250252372810684 0 0 0 0.00134835715116902 0.00152378000778766 0 0 0.00121069804375481 0 0.00122693967190418 0.00127580841504351 0.00131587886216393 0 0 0.00135900416273018 0.00106320803658146 0.00140439520914955 0 0 0 0.00120246676358245 0 0 0 0.00107179135596136 0 0 0 0 0 0 0.00132413756706772 0.00110261053890314 0 0 0.00116425438761266 0.00109792493053074 0 0.00108492938581448 0.00212741736301797 0 0 0 0 0 0 0
"Itga4" 0 0 0.00117521952264516 0.0013082501693038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0.00387865172969125 0 0.00168013374448286 0.00177374486570155 0.00111111005972621 0 0 0 0 0 0 0.00121538013297602 0 0 0 0 0 0 0 0 0 0.00143870335246138 0 0.00119176949545885 0 0 0.00379242755032811 0.00136532258067635 0.00136394278263057 0 0 0.00114688291389529 0 0.00123962414145568 0.00122463898826833 0.00131775964713932 0 0 0.00119742703413151 0 0.00143850333762942 0 0 0 0.0010965352774769 0 0 0 0 0 0 0 0 0 0 0.00112203972725607 0 0.00111676476220786 0 0 0.00107465463928719 0 0.00113931068814894 0 0 0 0 0 0 0 0
"C3" 0 0 0.00130640296869222 0.00139342762829878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111300782215802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
