"Ccnd1" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fbn1" "Fn1" "Igf1" "Lpl" "Mmp2" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Thbs1" "Thbs2" "Timp1" "Actb" "Id3" "Nrcam" "Pfn1" "Runx1" "Tnc" "Tubb5" "Sparc" "Spp1" "Lama5" "Fst" "Isyna1" "Inhba" "Mmp14" "Tm4sf1" "Arpc2" "Sfrp1" "Tnfrsf12a" "Crlf1" "Calm1"
"Vcam1" 0 0 0 0 0 0 0 0 0 0 0 0.00174132306296177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0.00190805271786732 0.00576007370235692 0.00577280511684245 0 0.00119178659875394 0 0.00116495667700662 0.00500298343691173 0.0048917055913293 0.00143979714863163 0 0.00222230211950226 0.00125990790145213 0 0.00604055454509207 0 0.00135638336781128 0 0.0021985662674196 0.00183006461202542 0.00229373581544947 0 0.00160496966216414 0.00183805797545813 0.00273951091521325 0.00159702134242239 0.00246844269781697 0.00424300511753034 0.00135316385988649 0.00145119148767289 0 0 0 0.00142883319974461 0 0.00132432671418004 0.00129475943414214 0 0
"Inhba" 0.00172001366342803 0.00123346019800764 0 0.00118150903970432 0 0 0.0011940241331696 0 0.00162679185350827 0 0 0 0 0 0.00495713341653815 0 0.00124686314048462 0 0 0.00186551860441827 0.00240448006957137 0 0.00142253078270862 0.0020047963463321 0.00175388027239287 0.00145709526708622 0 0 0.00160318204927198 0.00136930441535858 0 0 0 0.00141452570572311 0 0.00138237706160458 0.00135021350313777 0 0
"Itgam" 0.00155234244201311 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00129361657925824 0 0 0 0 0 0.00126056556953271 0 0 0.00117180556493776 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0.00131106101658828 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130493534145339 0 0 0 0 0 0.00147693163390325 0 0 0.00122304405896842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam1" 0.00160205830034442 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122320973286733 0 0 0 0.00374090575434698 0.00118513435505379 0.00131474601200784 0 0.00121038777288525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plat" 0.00187139313165828 0 0 0 0 0 0 0 0.00135938890027968 0 0 0.00402226159441221 0 0 0.0016873298328899 0 0 0 0.00376305192776554 0.00133851398311272 0.00148462046055328 0 0.00130243540425315 0.00130674012362785 0 0.00117253535851988 0 0 0.00121623691549038 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00232862154106789 0.00384617150905376 0 0 0 0 0 0 0 0 0 0 0 0 0.00128357640960157 0 0 0 0 0 0.00125103675654099 0 0 0 0 0 0 0 0 0 0.00204088956950176 0 0 0 0 0 0 0 0
"Mmp9" 0.00168013374448286 0 0 0 0 0 0 0 0.00121538013297602 0 0 0.00418784664305765 0 0 0.00143870335246138 0 0 0 0.00379242755032811 0.00136532258067635 0.00136684470328049 0 0.00123962414145568 0.00122463898826833 0 0.00119742703413151 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gdf2" 0.00209329957199574 0.00172018298971646 0.00141102417541464 0.00176590159296833 0.001440032759185 0.00159540861999471 0.0013147337600873 0 0.002229523756892 0.00131853527720032 0.00133704084380587 0.00130108332207392 0 0.00145483336875871 0.00388867597674935 0 0.00164765829535665 0.00150936206509302 0.00122490358246215 0.00213501201390166 0.00341583945949904 0.00130025009004295 0.00147344931489927 0.0023219682234353 0.00214040677620223 0.00171924654215969 0 0.00253395090052929 0.00167837585667959 0.00168516625368235 0 0 0 0.00192109708526484 0 0.00192937694657593 0.00172523660494674 0 0.0015180603120188
"Il1b" 0.00296737219284813 0.00432704969277202 0 0.00516287095521492 0 0 0.00695102019209374 0 0.00471508674511481 0.00254724050239757 0.00124120563646759 0.00533183165843309 0.00119534012454829 0 0.00582539956101891 0 0.00145961489039303 0 0.00519880978995069 0.00174793447157904 0.00481314634896284 0 0.00161909072056996 0.00171200553725626 0.00251226830862568 0.00158594809031943 0.00250634830949764 0 0.00136605249310601 0.00265653439259913 0.00248824112780248 0.00511984124811278 0.00488326992590717 0.00132277137278516 0 0.0012130914051612 0.00254872960636661 0 0.00252160299925607
"Fgf2" 0.00486015034403085 0.00228653722799215 0.00225688661748847 0 0 0 0 0 0.0014337325430763 0.00236694655946615 0 0.00523830534998965 0.00264716044747125 0 0.00561307382358825 0 0.00246573601933631 0 0.00209778431201249 0.0014694956705675 0.00175528603823209 0 0.00128777347451712 0.00263200187505393 0.00245508572184439 0.00145246228974306 0 0.00213698915373628 0 0 0 0 0 0.00123748167171438 0 0 0.00123904410968292 0 0
"Edn1" 0.00166797816169625 0.00406632226576029 0.00430284300218838 0.00507425261027675 0 0 0 0 0.00127971483878582 0 0 0 0 0 0.00154295705737696 0 0 0 0.00195713366293793 0.00119186886368411 0.00140391789878661 0 0.00120159539202971 0 0 0.00125963308360365 0 0 0 0.00242602597592015 0.00210794094243877 0 0 0 0 0 0 0 0
"Tgfb3" 0.00162587704303284 0.00123585671162163 0 0 0 0 0 0 0.00446920500700439 0 0 0 0 0 0.00474246844207253 0 0 0 0 0.00171215492557961 0.00202957344950618 0 0.0013860823839256 0.00166748513061938 0.00642598074252033 0.00136146995552084 0 0.00219667614821806 0.00138792019126399 0.00119830485356036 0 0 0 0.00131305082479475 0 0.00125646845831403 0.00118897882277208 0 0
"Fgf1" 0.00165517880547517 0 0 0 0 0 0 0 0 0 0 0 0 0.00528132530414328 0.00240747099328217 0 0 0 0.00185060820883847 0.00126282497199686 0.00144977728309828 0 0 0 0 0.00116920393796588 0.00224052357432998 0.00405193709315663 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00158408372530799 0 0.00421524682203956 0.00495879526473618 0 0 0.0049989028848838 0 0.00125375186388455 0 0 0 0 0 0.00152723633884689 0 0.00424683178350971 0 0.00377514477134519 0.0014557991705183 0.0014267373474043 0.00464786109374564 0.00123120779421862 0.00130539850736186 0.00447159030759513 0.00133668505344441 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.0049155449618628 0.00551568106052913 0.00782831487095467 0.00527727585757168 0.00485394028475774 0.00518054605732199 0.00698701226936435 0.00494533872999235 0.00583983968729012 0.00566017293649168 0.0044763744617301 0.00539083089228823 0.00697116831620746 0.00556543482970622 0.00587025025317145 0.00452512600179892 0.00592596870735485 0.00762564350377563 0.00514659632818426 0.00296597953804268 0.00311605929807148 0 0.00149627334430383 0.00173961119513968 0.00263948532009254 0.00163917850063023 0.002517570023229 0.00220228850676684 0.00286538023665182 0.00268892497131888 0.00244096580435543 0 0 0.00130791091179883 0 0.00121121991813088 0.00264835032139451 0 0.00122107137240598
