"Actb" "Dusp6" "Epha2" "Fam129b" "Ier2" "Ier3" "Junb" "Lmna" "Pfn1" "Serpine1" "Socs3" "Synpo" "Tubb5" "Vwf" "Cd34" "Cd38" "Ier5" "Pdgfb" "Snn" "Anxa2" "Flot1" "Gadd45g" "Gnas" "Ntn1" "Tgfbr2" "Vim" "Klf10" "Sox17" "Tagln2" "Aldoa" "Ranbp1" "Tnfrsf1a" "Prdx2" "Sema7a" "Pim3" "Ldha" "Gabarap" "Sparc" "Ntrk2" "Actn1" "Emp1" "Flnb" "Ddah1" "Col4a2" "Ace" "Ackr3" "Adamts1" "Clu" "Adamts9" "Cxcl12" "Sbno2" "Pkm" "Rps2" "Pcbp1"
"Fat1" 0.00112512760546508 0 0.00124298231956044 0 0.00105661133268095 0.00115866376838423 0.00124156557740943 0.00123195237070109 0 0.00108621179795433 0 0 0 0 0 0 0.00106691451607504 0 0 0 0 0.00102443751991232 0.00108317501653182 0 0.00107167405577136 0 0 0.00112981208879579 0 0 0.00104434925433404 0 0.00108767091357819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec11a" 0.00123706477991163 0.00101672858148737 0.00124660160806132 0.0011661939074185 0.0013176813618014 0.00147781930784152 0.00150285143252546 0.00138681300680774 0.00135300265567966 0.00125820312686682 0.00116241027846522 0.00122429386716024 0.0011735654756474 0 0 0 0.00118147037383315 0.00107314930997639 0 0 0.00110584644851813 0 0.00108659876188343 0.00106504281632917 0 0.00106794581258685 0.00106309782419397 0 0.00105971126096457 0.00108830736977285 0.00130930360885109 0.00103361343050889 0.00115388645920669 0 0 0.00107805476991397 0.0011373447312726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105374748698206 0
"Rps19" 0 0 0.00110862868192535 0 0 0.00105870505522464 0.00111238596241063 0.00109043188819073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0.00150260770807709 0.00126359266532628 0.00171779038272844 0.00161247648963833 0.00148826295000115 0.00154697020220672 0.00186762235238457 0.00177711249818829 0.0014147910999898 0.00163313611661382 0.00126670990784842 0.00138155603525327 0.00124647641827163 0 0 0 0.00128308054787748 0.00130439707063547 0 0.00123641513317193 0.00153440582588834 0.00120490897322715 0.00124627617178789 0.00101850499364064 0.00124181064576978 0.00118511499633115 0.00128485312130734 0 0.00142931651634521 0.00135785385354049 0.00123100914329163 0.00126096958723495 0.00114925443678568 0 0.00132754963775339 0 0.00118959467841156 0.00105031472359418 0 0.00108265168226433 0.00106359086967158 0.00124593578244914 0.00121429038915583 0 0 0 0 0 0 0 0.00109683068324806 0.00116154321749254 0 0.00105715783517807
"Icam1" 0.00118513435505379 0.00101458453515556 0.00121148675063376 0.00108321993521124 0.00111666375748199 0.00141859594051234 0.00141247481108491 0.00124129684470569 0.00121038777288525 0.00122320973286733 0.00120807737808542 0.00119212559369386 0.00110481861262787 0 0 0 0.00109600325737871 0 0 0 0.00114480765485801 0 0 0 0 0.00105634377404445 0 0 0 0 0.00100895935060263 0 0.00105841915188018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102350886413998
"Dll4" 0.00185625641413516 0.00130931478724863 0.0018570410621075 0.00174999296331799 0.00190297528671722 0.00195067239704965 0.00234439445604406 0.00202504729814474 0.00137749901709754 0.00192998991652903 0.00185753483398235 0.00163158379889414 0.00218455968345461 0 0 0 0.00165200837089409 0.00137475117934168 0 0.00137800726843753 0.00151874966681638 0.00158356148281033 0.00191115248911308 0.00129195362119148 0.00151750778809441 0.0017665762779185 0.00160678197827474 0.00129582187354524 0.00154348887308327 0.00139071133775004 0.00159654995659629 0.00143078965072025 0.00182619545494111 0.00181279464419215 0.00129801888007981 0.00125021253953696 0.00169192243600079 0 0 0.0011654751566427 0.00112845541413895 0.00165590287978707 0.00107933353768754 0.00102875998261959 0.00105751692877931 0.00103669669863438 0 0.00112019320910129 0 0.00116884399873296 0.00135754902585134 0.0014091315517251 0.00141480378805595 0.00149200920147672
"Lgals3" 0.00104067261185247 0 0.0011609513420231 0.00106300445138318 0 0.00116760726142911 0.00122068873169205 0.00118340757477034 0 0.00117724145813248 0.00207635953436987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0041169125117841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Inhba" 0.00186551860441827 0.00159139075130989 0.00195411923923398 0.0013823997309896 0.0014845087845434 0.00184805020512057 0.00192447338061117 0.00171840039250399 0.00142253078270862 0.00495713341653815 0.0014571689462524 0.00173827155425427 0.00145709526708622 0 0 0 0.00143894908306537 0.0012264963907097 0 0.00143973919723182 0.00163048407760007 0.00142539857923088 0.00122070239398552 0.00156571120738052 0.00176151669727612 0.00141502016057162 0.00165678187164626 0.00571522642037864 0.00155349826565457 0.00104270581511436 0.00116836982228463 0.00130508746000546 0.00109865241102505 0.0011496436893998 0 0.00117514182051898 0 0 0 0.00131304843305723 0.0013056069709296 0.00137600754445144 0.00138568562361682 0 0 0 0 0.00108190757868582 0 0 0.00101114187113354 0.0013979795857367 0 0.00127119962035037
"Itgam" 0.00115234982413562 0 0.00127118773598424 0.00112493920512581 0.0010813791215981 0.00128710215959032 0.00137197435600231 0.00125403050002514 0.00105569737502626 0.00129361657925824 0.00112798956222543 0.00121011541602748 0.00104286075015005 0 0 0 0.00105046403627376 0.00102706009864805 0 0 0.00103800763564107 0 0 0 0.00104359627468903 0.00107999660187595 0 0 0 0 0 0.00101876574012982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0.00115017429167651 0 0.00114700859439643 0.00106661637212179 0.00109331200751114 0.00118216257804888 0.00124070784102932 0.00109806053189742 0 0.00130493534145339 0.00108389834115251 0 0 0 0 0 0 0 0 0.00108578841577469 0.00103213978218691 0.00108993255240146 0.00102210992724797 0.00115823623014007 0.00121700748661509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0.00138575848216572 0.00150218821176013 0.00128666271153234 0.00155018091843072 0.00172829346361237 0.00178396294315882 0.0015406909372773 0.0013662293519631 0.00158197397882198 0.00143038606989501 0.00139699201939423 0.00141663374064695 0 0.0025782194792716 0.00246667142085579 0.0014235664566575 0.00260104276847286 0.00231419826235198 0.00114168079867922 0.00137746827114527 0.00109938512602467 0.00117360891094602 0.00103287932416042 0.0012657835373621 0.00126344713866316 0.00104196458423516 0 0.00121212877268694 0.00114981150815589 0.00133445508112182 0.00124626000143875 0.00124988061740152 0 0.00102248491807381 0 0.00119626311984394 0 0 0 0.00102240686251414 0.00100979758774137 0.00105327792684451 0 0 0 0 0 0 0 0.00112144481408201 0.00109809810017397 0 0.00103154443443899
"Nts" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00491190692708145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
