"Akt1" "Crybb3" "Trp53i11" "Nts" "Bax" "Clic1" "Ddit4" "Eif4ebp1" "Fn1" "Hif1a" "Irf2bpl" "Plau" "Rps6" "Ssbp4" "Stat3" "Tubb5" "Vasp" "Fkbp5" "Git1" "Ldha" "Pfn1" "Adam12" "Anxa1" "Gap43" "Hapln1" "Reep1" "Klf10" "Tnc" "Eln" "Gria2" "Myl12a" "Sparc" "Cops9" "Txn1" "Vim" "Col4a2" "Adamts5" "Eef1a1" "Col18a1" "Emilin1" "Ndufs2" "Olfml2a" "Pdlim7" "Pygo2" "Rab5c" "C1qbp" "Cct5" "Ddb1" "Eef1g" "Eif1ax" "Pcbp1" "Fth1"
"Fgf7" 0 0 0 0 0 0.00103216356546811 0.00128524232057812 0 0.00105609512220478 0 0.00131335047707089 0.00235079481047086 0 0 0.00119302430308092 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00228038570568765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trf" 0.00107271141990584 0 0 0 0.00106476061437696 0.00141466846141701 0.00144940946874807 0 0.00123741515913932 0.00379232108141822 0.00165267034705437 0 0 0.00111445029399152 0.00129845344593016 0.00128055089710798 0.00125281425836679 0.001278907113207 0.00121555376957741 0.00104451534945397 0.00133676657631843 0 0 0 0 0 0.00106488700975502 0 0 0 0 0 0 0 0.00117393762449016 0 0 0.00113651950972246 0.00116196328188222 0 0.00108871252893379 0 0 0 0 0 0 0 0 0 0.00107263040395539 0.00109610688347122
"Arf1" 0 0 0 0 0 0 0 0 0 0 0.00106267735884453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll4" 0.00134492114205195 0 0 0 0.00169053838331448 0.00155279467161122 0.00211709920737251 0.00122029356988488 0.00269630698677478 0.00121433108199863 0.0020614649120324 0.00131881498919146 0 0.00147691135428896 0.00161369190326361 0.00218455968345461 0.00169125364199352 0.00164172896359844 0.00225711832578287 0.00125021253953696 0.00137749901709754 0.00118719862857477 0.00108816787918282 0 0 0 0.00160678197827474 0.00126860578117885 0.00120201100803563 0 0 0 0 0 0.0017665762779185 0 0 0.00125897370426649 0.0013602375603735 0.0011528146593272 0.00130737172876029 0 0.00133556017671181 0.00128906057614015 0 0 0.00110782085550081 0.00111989816116781 0.00111290332057649 0 0.00149200920147672 0.00127119522049088
"Mapt" 0 0 0 0 0.00113434153014848 0.00114066273851525 0.00148729344097453 0 0.001047798201413 0 0.00143574358345088 0.00103257779475404 0 0 0.00128943843992869 0.00111676570869437 0.00105489492447506 0.00115103995070454 0 0 0.00115317136762415 0 0 0 0 0 0.00105012747973107 0 0 0 0 0 0 0.00431627938629702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0 0 0 0.00364748249297431 0.00143850333762942 0.00141412881462259 0 0.00121538013297602 0 0.00150316589479804 0.00121658026678458 0 0 0.00125381424028079 0.00119742703413151 0.00127598962493952 0.00109612075075737 0.00109361572603558 0 0.00123962414145568 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110554661017568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Grem1" 0.00105612879501809 0 0 0 0.00119918497997248 0.00125767498701645 0.00139949426329484 0 0.00107665739697066 0.00115717804265734 0.00147995079406828 0.00131640470603076 0 0.00107349247144162 0.00133858528480133 0.00115446484457715 0 0.00115685097860537 0.00123119142966681 0 0.0012201237774388 0 0 0 0 0 0.00108799067759206 0.00436743662988051 0.00111117550230422 0 0 0 0 0 0 0 0 0 0.00103306095582951 0 0 0 0 0 0 0 0 0 0 0 0 0
"App" 0 0 0 0.00526975173202271 0.00453421164247564 0.00118570460947709 0.0012608662861088 0 0.0010509633438391 0 0.00144172338593908 0 0 0 0.00385794462605539 0.00107499745633677 0 0.00103628446913207 0 0 0.00110498113949589 0 0 0 0 0 0.00412534529065998 0 0.00493311345926815 0 0.00415188005772845 0 0.036743427886976 0 0 0 0.00453990701750821 0 0 0 0 0 0 0.00420612443685724 0 0 0 0 0 0 0 0
"Bdnf" 0.00123195632586652 0 0 0 0.00111708608961142 0.00142364959265521 0.00166264212186416 0 0.00131814272332761 0.00222604616587564 0.00183054136183559 0.00247953522461884 0 0.00111963501908561 0.00144007863171766 0.00139900486658574 0.00131397098431182 0.00118493145179269 0.00137345419813994 0 0.00126105317220516 0 0 0 0 0 0.00108601043254777 0 0 0.00567372685435935 0 0 0 0 0.00123276935318677 0 0 0.0010992625829827 0.00110464611557105 0 0.00114495778523021 0 0 0 0 0 0 0 0.00105592613289626 0 0.00105803184717005 0.00116942306038556
"Fgf1" 0 0 0 0 0.00361100199031988 0.00121390140459223 0.00142549440057687 0 0.0011457713304802 0 0.00148749876111926 0.00244175082203088 0 0 0.00124490633779163 0.00116920393796588 0.00108460354547928 0.00104485865072889 0 0 0.00106913997913822 0 0 0 0 0 0 0 0 0 0 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Npnt" 0 0 0 0 0 0.00120210365908928 0.0012023621690513 0 0 0 0.00129341246692172 0 0 0.00200512492165364 0.00110887619910599 0 0 0 0 0.00145827001953106 0.00103407257989861 0 0 0.00191871190751712 0.00178908864707214 0 0 0 0 0.00208569764979064 0.00168886951645976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00104644258036879 0 0 0 0.00106784508842907 0.00129706631785776 0.00147567261882673 0 0.00125375186388455 0.00109791002016398 0.00153448850853177 0.00112279843182066 0 0 0.0013077419881286 0.00133668505344441 0.00127119297061563 0.00109218444612814 0 0 0.00123120779421862 0 0 0 0 0 0 0.00447159030759513 0.0049989028848838 0 0 0 0 0 0.00118931505083177 0 0 0.00112531244598047 0.00106892208637945 0 0 0 0 0 0 0 0 0 0 0 0.00104182453131436 0
"Tgfb3" 0.00114514356568542 0 0 0 0.00108816609677959 0.00124604185718866 0.00176072408712966 0 0.00446920500700439 0.00116391145876509 0.00183442969025629 0.00128960401470068 0 0 0.00129444341593659 0.00136146995552084 0.00114502240893747 0.00111162962357845 0.00112914525809813 0.00109136303037504 0.0013860823839256 0 0.0011623880704965 0 0 0 0.00137712066707598 0.00642598074252033 0.00107851761243098 0 0 0 0 0 0.00132242544024724 0 0 0.00126014374907011 0.00129165322023693 0 0.0010471403894531 0 0 0 0 0 0 0 0 0 0.00110408036214975 0.00104180144076843
"Cadm1" 0 0 0 0 0 0.00107898777255908 0.00109436667072675 0 0 0 0.00126011807908485 0 0 0 0 0.00108208347150505 0 0 0 0 0 0.00510503061436849 0.00527443339199188 0.00527525383786957 0.00527514241602112 0.00582987563964442 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Manf" 0 0 0 0 0.00106821911280552 0.00124669305600276 0.00113424568314177 0 0.00108881098928279 0 0.00142345091442111 0 0 0 0.0011140049605244 0.0011251219272539 0 0.00110624564770368 0.00128295484114709 0.00110041747062286 0.00122199253411193 0 0 0 0 0 0.00103394828274971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0.00480979228383522 0 0 0 0.00377692683710619 0.00127832106437133 0.0016172990088047 0.00404905991483203 0.00132765694970675 0.00382549008940774 0.00162279622566478 0.00130298079565672 0.00408348214597277 0.00129761931749004 0.00160807722346649 0.00135624863183566 0.0012903746990906 0.00119584627273344 0.00122425471388824 0 0.00118626414954706 0 0 0 0 0 0.00108316043213263 0 0 0 0 0 0 0 0.00112414825566715 0 0 0.00103368534190198 0.00109490141255649 0 0.00123756493393611 0 0 0 0 0 0 0 0 0 0 0.00111597042922231
"Calr" 0 0 0 0.00522663142618112 0 0.00474621761376163 0.00104110219682046 0 0 0 0.00111847862530303 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00468422238419585 0 0 0 0 0 0 0 0 0 0.00366488511007999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Igf1" 0.00610800160040413 0.00691376564391384 0.00565421087711467 0 0.00381875130223097 0.00141277506926081 0.0028395028151749 0.00423209917934337 0.00145617974444521 0.00503213568610677 0.00182014301951615 0.00244567797559147 0 0.00109492791840556 0.0042611835205414 0.00141273719662633 0.00125469747305283 0.00131762217363399 0.00113617323748143 0.00107459727549911 0.00131934841312655 0 0.0050443347115709 0 0 0 0.0011191071484932 0 0 0 0 0 0 0 0.00119294711815273 0 0 0.00441346747794287 0.00121313841863498 0 0 0 0.00447220622497343 0 0 0 0 0 0.00456106640082854 0 0.00429905240014661 0.00112646941552197
