"","Cxcr4","Fpr2","C5ar1","Fpr1","Ccr1","Cxcr2","Csf2ra","Csf3r","Clec7a","Fcgr3","Tnfrsf1a","Il1r2","Il6ra","Itgam","Itgal","Itgb2","Itga4","Cd44","Fas","Plaur","Igf1r","Cd47","Csf2rb","Il18rap","Sorl1","Selplg","Sell","Ptprc","Ptpn6","Notch2","Il4ra","Calm1","Il1rap"
"Igf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831915644489336,0,0,0,0,0,0,0,0,0,0,0,0
"Il1f9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357238841206185
"Il33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415869561346406
"Il1b",0,0,0,0,0,0,0,0,0,0,0,0.907593602261281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680062244361278
"Il1rn",0,0,0,0,0,0,0,0,0,0,0,0.577646766693521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07275115218733,0,0,0,0,0,0,0
"Selp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865780030212094,0,0,0,0,0,0,0
"Ceacam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436140145393916,0,0,0,0
"Kitl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286522636258257,0,0,0,0
"Cd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110630458510842,0,0,0,0,0
"Sema4d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487573387937797,0,0,0,0,0
"Adam17",0,0,0,0,0,0,0,0,0,0,0.316229024583641,0.473418683389112,0.481629489806837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calm1",0,0,0,0,0,0,0,0,0,0,0.286159054193741,0,0,0,0,0,0,0,0.0747498043540504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grn",0,0,0,0,0,0,0,0,0,0,0.270708918618151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238915999398858,0,0
"Mapt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193483307384874,0
"Csf1",0,0,0,0,0,0,0.351804206334404,0.387925467376123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
