"Birc5" "Ccnb2" "Cenpa" "Cenpf" "Mki67" "Stmn1" "Tpx2" "Dusp2" "Nos2" "Pfn1" "Snai1" "Tubb5" "Pclaf" "Vim" "Adam12" "Angpt2" "Anxa1" "Gap43" "Hapln1" "Gria2" "Slc38a2" "Ets2" "Sparc" "Vasp" "Mtor" "Plvap" "Loxl2" "Cavin3" "Col18a1" "Ptx3" "Gnas" "Rpl13a" "Mmp14" "Crmp1" "Olfml2a" "Atxn1" "Emid1" "Fhl3" "Slc25a5"
"Hc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00227058466228953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00108443499369607 0 0 0 0 0 0 0 0.00251511093560733 0.00129501658638254 0 0.0012936202448339 0.00399988642388475 0.0011883629896787 0 0.00261055615050317 0 0 0 0 0.00126955968058415 0.00120670984509602 0.00237301976242974 0.0012342844390146 0 0.00235132891888908 0 0 0.00114531815109754 0 0 0 0 0 0 0 0 0 0
"Npnt" 0.00113554912007043 0 0 0 0.00119116214026662 0 0 0 0 0 0 0 0 0 0 0 0 0.00191871190751712 0.00178908864707214 0.00208569764979064 0 0 0 0 0 0 0 0 0 0.0014427166951937 0 0 0 0 0 0 0 0 0
"Rtn4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00395729201685543 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0.00391044999190605 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0 0 0 0 0 0 0 0.00415892263786829 0.00106913997913822 0 0.00116920393796588 0 0 0 0 0 0 0 0 0.001118849427796 0.00114705712223725 0.00224052357432998 0.00108460354547928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0 0 0 0 0 0 0 0 0.00134072625175411 0.00126105317220516 0 0.00139900486658574 0 0.00123276935318677 0 0 0 0 0 0.00567372685435935 0.00137472249803399 0.00119970450897317 0 0.00131397098431182 0 0 0 0 0.00110464611557105 0 0.00126483326807193 0 0 0 0 0.001157287391326 0 0 0
"Cadm1" 0 0.00444948960037891 0 0 0 0 0 0 0 0 0 0.00108208347150505 0 0 0.00510503061436849 0.00528395152425908 0.00527443339199188 0.00527525383786957 0.00527514241602112 0 0 0 0 0 0 0 0 0 0 0 0.00497279866418111 0 0 0 0 0 0 0 0
"Edn1" 0 0 0 0 0 0 0 0 0.00430248617799543 0.00120159539202971 0 0.00125963308360365 0.00403391952508059 0.00214614830596564 0 0 0 0 0 0 0.00116237229659392 0.00109551047050444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp6" 0.00135174711931476 0 0 0 0 0.0014292394393998 0 0.00472500417493031 0.0026027759140782 0.0016013391692554 0.00458005812792028 0.00174843560597405 0 0.00147563397538287 0 0 0.00119664315403787 0 0 0 0.00159082531393082 0.00155084823507869 0 0.00156263321631995 0 0 0 0 0.00143743731204835 0 0.00137551910752773 0.00132174668968536 0 0 0 0.0014238768812156 0 0 0
"Hmgb2" 0.010202676300788 0.0109891121085255 0.00574536709289182 0.00596213518831556 0.0111317874203595 0.0058381650788468 0.00586436358655027 0 0.00110958196269653 0.00134612743585008 0 0.00143231202664415 0 0.0011372062569502 0 0 0 0.00116726804479675 0 0 0.00131285402068671 0.00124155212996921 0 0.00122189800133387 0 0 0 0 0.00109067599585126 0 0.00114296411473628 0.00113741964240719 0 0 0 0.00114489723964834 0 0 0
