"Basp1" "Ccnd1" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fbn1" "Fn1" "Grem1" "Igf1" "Lpl" "Mmp2" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Thbs2" "Timp1" "Sept9" "Tnc" "Enc1" "Ncam1" "Spp1" "Sparc" "Inhba" "Mmp14" "Fmod" "Sdc1" "Adamts12" "Dkk2" "Fst" "Sema3a" "Fkbp5" "Sfrp1" "Tpm1" "Akr1b8" "Crlf1" "Ctsk" "Chl1"
"Plat" 0 0.00187139313165828 0 0 0 0 0 0 0 0.00135938890027968 0 0 0 0.00402226159441221 0 0 0.0016873298328899 0 0 0.00376305192776554 0.00132800761722797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sfrp2" 0 0.00208891783386218 0 0 0 0 0 0 0 0.00148353628489058 0 0.00137537577703719 0 0 0 0 0.00163573133508852 0 0 0 0 0 0.00135855541738664 0.00145609868130969 0 0 0 0 0 0.00156615232965021 0 0 0.0015555363456321 0.00170996697126283 0.00139376940632323 0.00136840151192835 0 0 0.00143223710162526 0 0
"Mmp9" 0 0.00168013374448286 0 0 0 0 0 0 0 0 0 0 0 0.00418784664305765 0 0 0.00143870335246138 0 0 0.00379242755032811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0 0.00282542400280105 0 0 0 0 0 0 0 0.00163746098150271 0.00690799655342899 0 0 0.00220162980644983 0 0 0.00195808310737064 0 0 0 0.00165073318849144 0 0.00134691948039916 0 0 0 0 0 0 0 0 0 0.00265253295966565 0 0.00147033273510391 0 0.00132923683457015 0 0 0 0
"Edn1" 0 0.00166797816169625 0.00406632226576029 0.00430284300218838 0.00507425261027675 0 0 0 0 0 0 0 0 0 0 0 0.00154295705737696 0 0 0.00195713366293793 0 0 0 0 0 0 0 0 0 0 0 0 0.00242602597592015 0 0 0 0 0 0 0 0
"Tgfb2" 0 0.00190805271786732 0.00576007370235692 0.00577280511684245 0 0 0 0 0.00500298343691173 0.0048917055913293 0.00268969783792137 0.00143979714863163 0 0.00222230211950226 0 0 0.00604055454509207 0 0 0.0021985662674196 0.0017420769136518 0.00273951091521325 0.00133378902592852 0.0026149651301924 0.00424300511753034 0.00246844269781697 0 0 0 0 0.00594686423756322 0.00549724010344597 0.00145119148767289 0 0 0.00132432671418004 0.00133878558905958 0 0 0 0
"Fgf2" 0 0.00486015034403085 0.00228653722799215 0.00225688661748847 0 0 0 0 0 0.0014337325430763 0 0.00236694655946615 0 0.00523830534998965 0.00264716044747125 0 0.00561307382358825 0 0 0.00209778431201249 0.00148156016694361 0.00245508572184439 0 0 0.00213698915373628 0 0 0 0.00272894063036896 0.00244069056694097 0 0 0 0 0.00132397506182081 0 0 0 0 0 0
"Il1b" 0 0.00296737219284813 0.00432704969277202 0 0.00516287095521492 0 0 0.00695102019209374 0 0.00471508674511481 0.00519723694642411 0.00254724050239757 0 0.00533183165843309 0 0 0.00582539956101891 0 0 0.00519880978995069 0.001727476436862 0.00251226830862568 0 0 0 0.00250634830949764 0.00511984124811278 0.00488326992590717 0.00289194386681772 0 0 0 0.00265653439259913 0 0.00147210059049608 0 0.00131942486981391 0 0 0 0
"Fgf1" 0 0.00165517880547517 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00528132530414328 0.00240747099328217 0 0 0.00185060820883847 0 0 0 0 0.00405193709315663 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0 0.00162587704303284 0 0 0 0 0 0 0 0.00446920500700439 0 0 0 0 0 0 0.00474246844207253 0 0 0 0.00143225240943012 0.00642598074252033 0.00143547050355449 0.00226850657271411 0.00219667614821806 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0 0.00158408372530799 0 0.00421524682203956 0.00495879526473618 0 0 0.0049989028848838 0 0 0 0 0 0 0 0 0.00152723633884689 0 0 0.00377514477134519 0.00133409872616051 0.00447159030759513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.0044648967027366 0.0049155449618628 0.00551568106052913 0.00782831487095467 0.00527727585757168 0.00485394028475774 0.00518054605732199 0.00698701226936435 0.00494533872999235 0.00583983968729012 0.00512348508486343 0.00566017293649168 0.0044763744617301 0.00539083089228823 0.00697116831620746 0.00556543482970622 0.00587025025317145 0.00452512600179892 0.00762564350377563 0.00514659632818426 0.00168793008127137 0.00263948532009254 0.0013511796561731 0.00267931776254805 0.00220228850676684 0.002517570023229 0 0 0.00295418857773751 0.00259061551054549 0 0 0.00268892497131888 0.00268441222036767 0.00144117895663344 0 0.00278480975554596 0 0 0.00235088053120539 0
