"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Hif1a" "Icam1" "Ier3" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "P4hb" "Psmc6" "Sod2" "Sparc" "Timp2" "Tnfrsf12a" "Ubc" "Vegfa" "Zfp36l1" "Actb" "Capn2" "Clic1" "Efna1" "Flot1" "Gapdh" "Klf6" "Krt8" "Nfe2l2" "Pfn1" "S100a10" "Sema3b" "Slc38a2" "Tgfbr2" "Bag6" "Ftl1" "Gadd45a" "Hspb1" "Ranbp1" "Slc3a2" "Ager" "F3" "Fth1" "Hdgf" "Hist1h2bc" "Lasp1" "Npepps" "Pcbp1" "Sqstm1" "Tinagl1" "Tmem37" "Myh9" "Rela" "Ceacam1" "Abcc5" "Akr1b8" "Cpeb4" "Dlgap4" "Ece1" "Ndufs2" "Rhoa" "Btg2" "Lpp" "Ndst1" "Aldoa" "Lama5" "Lcn2" "Ilk" "Gsta3" "Rac1" "Skp1a" "Crip2" "Fam174b" "Krt18" "Krt19" "Mlph" "Osgin1" "Pard6b" "Tef" "Phb2" "Prdx5" "Timp3" "Gnas" "Lsr" "Srsf2" "Tmbim1" "Atf4" "Rtn4" "Areg" "Tead1" "Gprc5a" "Krt7" "Ybx1" "Gramd2" "Pigr" "Crlf1" "Nubp1"
"Fbn1" 0.00120489792018261 0 0 0.00121405763756882 0.00137179630472128 0 0.00166904942606029 0 0 0 0.00135892674001601 0.00124256257822865 0 0 0.00158717570265747 0 0 0 0 0.00138897570626341 0.00120804174845464 0 0 0 0 0 0 0 0 0.00152432387325538 0.0013444386940939 0 0.00119660850923217 0 0.00118618362425712 0 0 0 0 0.00121898539309857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00124633192093488 0 0 0.00131914804895682 0.00147863837550371 0 0.00164164008714949 0 0 0 0.0013852958236293 0.00120293430632741 0 0 0.0013244331421502 0 0 0.00119812636326757 0 0.00122385998378597 0 0 0 0 0 0 0 0 0 0.00137667016120473 0.00129953066602373 0.00120325028022345 0 0 0.00121301081116585 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00222440586390975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00142865745316068 0 0 0.00152975499583158 0.00158408372530799 0 0.00187530116358333 0 0 0 0.00148326489364376 0.00160524095493544 0 0 0.00150610082904379 0 0.00227822254511026 0.00153292593991244 0 0.00144213193410018 0.00124234795235528 0 0 0 0 0 0 0 0 0.00172691978695937 0.00147826056897083 0.00136473970800821 0.0014557991705183 0 0.00129706631785776 0.00121460879544233 0.00133959162828033 0.00119273253630364 0.00142090059911517 0.00123512133345041 0.00131103162098423 0.00123120779421862 0 0.00119806221350567 0.00118446197337596 0 0 0 0.00119161742215862 0 0.00118698658189753 0.00120773772879392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00421959174061222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00478283586807755 0 0 0 0 0 0 0 0
"Angpt2" 0.00173147829178654 0.00127674229655615 0.00141702622743424 0.00195589408144421 0.00223976822030316 0 0.00480643361495988 0 0 0 0.00149150768103652 0.00165476050860902 0 0 0.00174561084095471 0.00134673366897332 0.00142995270602061 0.00187209972299205 0 0.00179335880126857 0.00134325813793524 0 0 0 0 0 0 0 0 0.00203638966091503 0.00200059620739053 0.00172485316939434 0.00149273164062777 0.00124972139211645 0.00131285206862673 0.00121184402694415 0.00148518659539967 0.00130594829431234 0.00146173023977292 0.00138964995003973 0.00181566995911341 0.00136205389247092 0.0012845732623072 0.00151259719669176 0.00130532753572304 0.00123625977747831 0 0 0.00129773445068203 0.00130417358942874 0.00146929587108022 0.00130462759412336 0.00147481458910138 0 0.00133139496128946 0.00121815856191436 0 0.00122327607115805 0 0.0011850664216752 0.00120164582916923 0.00132303411282063 0 0.001453242382684 0.00121194595566109 0 0 0 0.00123159257829479 0 0.00148661269410748 0.00136263070278554 0 0.00121966855451139 0.00142328943060128 0.00155706612118593 0.00149119568498676 0.00134861278343665 0 0 0 0 0 0 0 0 0.00124856663232007 0.00121193325601126 0.00118407627091933 0.00122389120471504 0.00134785631222616 0 0 0.00127150401971003 0.00120518055072475 0 0 0.00120985294607115 0.00143675693658376 0.00148118907643933 0 0 0 0 0 0.00134394863943973 0 0 0
"Pgf" 0.00152197987412888 0.0011951632580276 0.00145697604379791 0.00178065892880976 0.00206311573471318 0 0.00218818771600824 0 0 0 0.00154917481853526 0.00188013051897822 0 0 0.00180066436749861 0.00268630549914874 0.00179753890769374 0.0017075441764861 0 0.00160038242317859 0.00147920924131826 0 0 0 0 0.0012695184622155 0 0 0.00121742381247097 0.00193573683011864 0.00296626976596113 0.00163963120280891 0.00158456810076445 0 0.00135654474903529 0.00136303550521417 0.00140476456738035 0.00169384392973226 0.00152714131970703 0.00131848282176706 0.00158241931179821 0.00126203699620948 0.00137014869170567 0.00130862951305746 0.00134283898936668 0.00130077363997776 0 0 0.00134968407287862 0 0.00132606360345978 0.00120836607605814 0.00120711903435626 0.00128786388324901 0.00121452343647606 0 0.00120781173199864 0.00118960562859271 0 0.00121675256280623 0.00137110048119647 0 0 0.00137792234125744 0.00137012868703521 0 0 0 0.00126648251866272 0 0.0012852896684216 0 0 0.0012542123295169 0.00122051999817778 0.00120926304340273 0.00134512398909773 0.00128375732887628 0 0 0 0 0 0 0 0 0.00122014017903533 0 0 0.00125957568257308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lrpap1" 0.00121734734781219 0 0 0 0.00136080936965118 0 0.00157956256806241 0 0 0 0.00131570357430475 0.00130179882185781 0 0 0.0013292398841462 0 0 0.00128301998550352 0 0.0012804303933304 0 0 0 0 0 0 0 0 0 0.00149484761016432 0.00118729708905031 0.00125913587039064 0.00119368533438377 0 0.00127754871955826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0.00127227455205067 0 0.00369077923673185 0.00418890746463193 0.00177694186991293 0 0.00189441420720381 0 0 0 0.00132573586962643 0.00136802792326024 0 0 0.00134720009877872 0 0.00139941167804101 0.0013808020063658 0 0.00133157129618624 0.00123561062762319 0 0 0 0 0 0 0 0 0.00149707275928332 0.0014459434880895 0.00131468712285753 0.00120974304173577 0 0 0 0 0.00123157553889115 0 0 0.00124097357459499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0.00155366749472203 0 0 0.00158194035862882 0.00268462321469645 0 0.00285191567093599 0 0 0 0.00173527647161518 0.00169133349052138 0 0 0.00288580128206272 0.00222604616587564 0.00136090264917081 0.00166672939054489 0 0.00164804253843356 0.00134580829674567 0 0 0 0 0.00385664607478185 0 0 0.00124289731648549 0.00181288091522283 0.00253342430504514 0.00153516703238097 0.001433808953727 0.00134430225479386 0.00142364959265521 0.0013619043304868 0.0014414076832837 0.00128249222617003 0.00142393755984393 0.00152023556767394 0.00137317521747581 0.00126105317220516 0.00128923132089209 0.00129354982081206 0.00137472249803399 0.00131108902484401 0 0 0 0.00120523325925211 0.00118504898540563 0 0 0 0 0 0 0.00118127395985802 0 0 0 0 0 0.00132575798109207 0.00120658385752374 0 0 0 0 0 0.00123832634728582 0 0 0.00130652388747267 0 0.00122498262913035 0 0.00129018725259228 0 0 0 0 0 0 0 0 0 0 0 0.00128743476379201 0.00117975379902645 0 0 0 0.00126483326807193 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0 0 0 0.00119945942285115 0 0.00138978309478463 0 0 0 0 0 0 0 0 0 0.00184033222145903 0 0 0 0 0 0 0 0 0 0 0 0 0.00127460217063012 0 0 0 0 0 0 0 0 0 0 0.00221087309602349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.00135335614719117 0 0 0.00159676431311203 0.00172697721905583 0 0.00175765021772766 0 0 0 0.00148951299253066 0.00161415845904594 0 0 0.00145138560666509 0.00141610094117883 0.00122606414886062 0.00156565053306996 0 0.00138651172409576 0.00124175228768125 0.00220931165320014 0 0 0 0 0 0 0 0.00140809995522868 0.00168723077522515 0.0013507351451961 0.00138739237908813 0 0.00118427352499106 0.00118336786872154 0.00120351962340331 0.00119106203952406 0.00128636816568636 0.00129533641966233 0.00136454442320304 0 0.00122723251155306 0.00142464129802751 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119533008351952 0 0 0 0 0 0 0.00124585803450023 0 0.00204747889804712 0 0 0.0011991438195346 0 0.00127902104644851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
