"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Hif1a" "Icam1" "Ier3" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "P4hb" "Psmc6" "Sod2" "Sparc" "Timp2" "Tnfrsf12a" "Ubc" "Vegfa" "Zfp36l1" "Actb" "Capn2" "Clic1" "Efna1" "Flot1" "Gapdh" "Klf6" "Krt8" "Nfe2l2" "Pfn1" "S100a10" "Sema3b" "Slc38a2" "Tgfbr2" "Bag6" "Ftl1" "Gadd45a" "Hspb1" "Ranbp1" "Slc3a2" "Ager" "F3" "Fth1" "Hdgf" "Hist1h2bc" "Lasp1" "Npepps" "Pcbp1" "Sqstm1" "Tinagl1" "Tmem37" "Myh9" "Rela" "Ceacam1" "Abcc5" "Akr1b8" "Cpeb4" "Dlgap4" "Ece1" "Ndufs2" "Rhoa" "Btg2" "Lpp" "Ndst1" "Aldoa" "Lama5" "Lcn2" "Ilk" "Gsta3" "Rac1" "Skp1a" "Crip2" "Fam174b" "Krt18" "Krt19" "Mlph" "Osgin1" "Pard6b" "Tef" "Phb2" "Prdx5" "Timp3" "Gnas" "Lsr" "Srsf2" "Tmbim1" "Atf4" "Rtn4" "Areg" "Tead1" "Gprc5a" "Krt7" "Ybx1" "Gramd2" "Pigr" "Crlf1" "Nubp1"
"Lamc2" 0.0012588637316747 0 0 0.00139045791296034 0.00155735337246871 0 0.00150380251465352 0 0 0 0.00120577790759991 0.00119940884788991 0 0 0.00136234377347435 0 0 0.0012893051037979 0 0.00123596147480441 0 0 0 0 0 0 0 0 0 0.00135566700200391 0.00122287562837574 0.00132855255617114 0.00120217045685243 0 0.00123280355229482 0.00118384417541898 0 0.00125736071787824 0 0.00126301784349703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00125889310958328 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.0014417568634063 0 0 0.00176616475343128 0.00196545252932372 0.00226856518985626 0.00206911530949821 0 0 0 0.00150218821176013 0.00170368372605386 0 0 0.00197603053817831 0.00119943326858578 0.00152664699934757 0.00172829346361237 0 0.0015406909372773 0.00139312205183961 0 0 0 0 0.00212851138965628 0 0 0.00119530599656651 0.00176475134299126 0.00250313799333803 0.001481637022625 0.00152012849124405 0 0.00134863235874304 0.00135700596513695 0.00137746827114527 0.00127317639260921 0.00142293151740962 0.00143327073942227 0.00138462444892899 0.0013662293519631 0.00126615679310811 0.00131418864926006 0.00126151885045114 0.0012657835373621 0 0.00122041553539074 0.00122164514590409 0 0.00133445508112182 0.00131174750016102 0 0 0 0.00121573427615408 0 0 0 0 0.00120600632142194 0.00119361552433003 0 0.00133758499639306 0.00130764997510721 0 0 0 0.00119561780453724 0 0 0 0 0.00124032981018802 0.00120525526430194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118132818685615 0.00118149243197685 0.00473414026985662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il16" 0.00126700940978643 0 0 0.00166309301776139 0.00152302695035347 0 0.00164031543340302 0 0 0 0.00137572638089323 0.00142337269121754 0 0 0.00147590456240651 0 0 0.00135512576483492 0 0.00145968015309742 0 0 0 0 0 0 0 0 0 0.00141841346491047 0.0013025634463256 0.00136670438559365 0.00130733292692541 0 0.00118669834882551 0 0 0 0.00124216176863825 0.00121709748572661 0.00119518711079048 0.00124738932064366 0 0 0 0 0 0 0 0 0.00121401563993192 0 0 0 0 0 0 0 0 0 0 0 0 0.00119356705094043 0 0 0 0 0.00143718446855258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128447751614012 0.00122237007793206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0.00132263678956048 0 0 0 0.00149495818758604 0 0.00158334674085987 0 0 0 0.00124915640199434 0.00134557995457139 0 0 0.00155665617237959 0 0 0.0016512166756348 0 0 0 0 0 0 0 0 0 0 0 0.00122521541913594 0.00147192222626808 0.00133935923225932 0 0 0 0 0.00123074854504376 0 0 0.00139335143617033 0 0 0 0.00145797076034723 0 0 0 0 0 0.00120258026461849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124281180676815 0 0.0012184224743193 0 0 0 0 0 0 0.0012420401305583 0.00126232495498836 0.0013899020705524 0 0.00120358857113377 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0.00118519249823681 0 0 0.00122810378241218 0.00156986577337499 0 0.00150300544457211 0 0 0 0.00120013234042198 0.00122338698503827 0 0 0.0013869697190072 0 0.00121411407376731 0.00142345166114901 0 0 0 0 0 0 0 0 0 0 0 0.00123798158762503 0.00148187893367509 0 0 0 0 0 0.00118377479603172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00128970280557901 0 0.00361100199031988 0.00143074188544829 0.00165517880547517 0 0.00172438615322352 0 0 0 0.00141576775432903 0.00137612788392824 0 0 0.00139769701828665 0 0.00127275023603779 0.00146725544984714 0 0.00127898498401072 0.00119553385183569 0 0 0 0 0 0.00224052357432998 0 0 0.0014248951502895 0.00143211986828032 0.00121975017759147 0.00126282497199686 0 0.00121390140459223 0 0 0 0 0 0.00124437164709126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.00129404308203525 0 0 0.00137713515200171 0.00155234244201311 0 0.00166340261824615 0 0 0 0.00127118773598424 0.00142862833365383 0 0 0.00133406046076178 0 0.00124723211845029 0.00128710215959032 0 0.00125403050002514 0 0 0 0 0 0 0 0 0 0.00136526632307033 0.00146694737172499 0.00122885059778465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.0015332934058518 0.00238775461227508 0.00378760245227831 0.00268257746042941 0.00486015034403085 0 0.00301269652847111 0 0 0 0.00158488236944593 0.00173736354169787 0 0 0.00276757308436314 0.00495312976158389 0.00248838117738215 0.00175304959895765 0.00424859031672777 0.00169109559965225 0.00146154995099624 0 0 0.00201522497073303 0 0 0 0.00222098631620354 0.00123904410968292 0.00190696137685153 0.0046608282131596 0.00154254700031435 0.0014694956705675 0.00123109824936326 0.00157609138082823 0.00128804045527014 0.00140039492187465 0.00271055838891752 0.00148234021522584 0.00134881895289704 0.0015440941709031 0.00128777347451712 0.00131268707801347 0.00122356384271807 0.00135070027769434 0.00145358461488991 0 0 0.00124942830240968 0 0.00139379096363892 0.00118022834151838 0.00120373918694814 0 0.00123130163907247 0.00120990287316083 0 0.00118342449698877 0 0 0.00118651388697835 0 0 0.00139511301299673 0.00125851003071189 0 0 0 0.00132293185041027 0 0.00124909647014734 0 0 0.00121399052777393 0.00131078819307063 0 0.00123526067489422 0 0 0 0.00660406872708066 0.00196396774465771 0.00207144324912366 0 0 0 0 0 0 0.00123750814471963 0 0 0 0 0 0 0 0 0 0.00118711340481067 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00131670772846163 0 0 0.00248380239986209 0.00158421183865339 0 0.00171852712084425 0 0 0 0.00132550126110563 0.0015205920151777 0 0 0.00134119447690488 0 0.00140725078539295 0.00151866047246203 0 0.00133827636679014 0 0 0 0 0 0 0 0 0 0.00135886320410839 0.00139692631819452 0.00129368605450816 0.00118100036603681 0 0 0 0 0 0 0 0 0.00117966156174943 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pf4" 0 0 0 0 0.00125339148707614 0 0.0011988647909831 0 0 0 0 0 0 0 0 0 0.00186589974392343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00182246460460702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0.00134862195131715 0 0.00152125277648955 0 0 0 0 0.00235597249778768 0 0 0.00120281762825719 0 0 0 0 0.00118340757477034 0 0 0 0 0 0 0 0 0 0.00126742257183738 0.00124898861495364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00392451796822546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0.00123382642040779 0 0 0 0.00139265318762368 0 0.00169190123587818 0 0 0 0.00140205527682894 0.00129126032055829 0 0 0.00120218420912888 0 0 0.00144648496867395 0 0.00118747027906698 0 0 0 0 0 0 0 0 0 0.00134268522608456 0.00128673657073765 0.0012296809766234 0 0 0 0 0.0012113256328791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012806832304884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam2" 0 0 0 0.00126157280087433 0.00147242278463993 0 0.00145388965408101 0 0 0 0.00128334118673723 0 0 0 0.00128624609429177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121873491920054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126712436475551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00209468386696948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00229718206526458 0.00173035830256951 0.00186646190700926 0.00512539730752171 0.00254898592522533 0.00140982099701559 0.00297002690844441 0.00133133735129286 0 0.00118181852554972 0.00242489808804238 0.00232338205558798 0.00135162933996022 0 0.00259420704894233 0.00168565905199732 0.00562016913687305 0.00237430051533597 0 0.00225278350968699 0.0018819694242949 0.00125881169821278 0.00160599741967842 0 0 0.00143158844947672 0 0 0.00165626645284002 0.00254914583597354 0.0022101560164988 0.0024062970369941 0.00224754285905749 0.00188763939567353 0.00244227739533442 0.00202854152207427 0.00208214105952824 0.00211550342687762 0.00202406805984557 0.00178120930363061 0.00508734033406866 0.00202998881384803 0.00199634558984161 0.00185336076421747 0.00193384600551262 0.00171270417810028 0.00183052966006665 0.00185641533246214 0.00176537849656908 0.00157444452961575 0.00193212848994828 0.00174174737190009 0.00527474463608968 0.00160030831006446 0.00161534775738233 0.00175465012100045 0.00193849442647376 0.00174630138340386 0 0.00171340897707467 0.00177618973241603 0.00145660637210597 0.00138252004872757 0.00199640735340816 0.00187573888981954 0.00129323620020363 0.0046707086827051 0.00524403507165371 0.00208323950552122 0.00154743351796184 0.00186248949257956 0.00183853792583545 0 0.00175901855350785 0.00171007362969349 0.00157388860100157 0.00177637757815007 0.00183897263318099 0 0 0 0 0 0.00155897901025566 0 0.00143966385420201 0.00138018005215136 0.00137010543778936 0 0.00172483801674523 0.00163474179456357 0.00154956192028004 0.00184399000475744 0.00134699904293759 0.00170276955605402 0.0017158009558903 0.00145971488110999 0.00168368666306409 0.00163102194593023 0.00176953734846415 0 0.00143692903483907 0.0013004534873095 0.00145139442934736 0.00139520890716089 0 0.00142100567478854 0.00123743888613234 0
"Cxcl12" 0 0 0 0.00126837164302806 0.00156572415511307 0 0.00367438744373611 0 0 0 0.00119565846547445 0.00129663054851378 0 0 0.0012087312925059 0 0.00122619544728706 0.00137982727773468 0 0.00120144145401988 0 0 0 0 0 0 0 0 0 0.00139512043561346 0.00430544677916095 0.00122539004519155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00200304387493873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00143835242818774 0 0.00124997681365567 0.00172149290967417 0.00203720956877876 0 0.00209926887534938 0 0 0 0.00149109169595583 0.00164837402393786 0 0 0.00166390430084439 0 0.00150078933272534 0.00168608221539554 0 0.00157370325653899 0.00130870317544449 0 0 0 0 0 0 0 0 0.00185067766698966 0.00168010448813103 0.00149622583067967 0.00146436565661762 0.00123376201769803 0.00142324624452076 0.00128913494666966 0.00136957856631868 0.0014149408589975 0.00145923598727684 0.00136471790140663 0.00139666558128999 0.00132626750936323 0.00127567154441732 0.00134421922176249 0.00123576257015488 0.00123054678591872 0 0.00119514821173289 0.00127055834780135 0 0.00124056005856439 0 0 0 0 0 0.00126330688839476 0 0 0 0.00144407965791444 0 0 0.00129952860585796 0.00134078145249613 0 0 0 0 0 0.00121914287643188 0 0 0.00119883610984212 0 0 0 0.00122988117256969 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122241312625556 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psap" 0.00159016852764385 0.00160484246368281 0.00131982772042723 0.00177879114037786 0.00178445688683279 0 0.00206312454713585 0 0 0 0.00169274695256752 0.00172617917868787 0 0 0.00167522471055365 0 0.0012559456491228 0.00198038208408454 0 0.00166640072891609 0.00137659307451555 0 0.00132614595960236 0 0 0 0 0 0.00119931965775281 0.00221564834471034 0.00149019061887095 0.00150806518603114 0.00160764635346211 0.00119539904644535 0.00139050877182636 0.00141233508353148 0.0017068576884652 0.00132126451092472 0.00173905871646761 0.00147302889928005 0.00169901900805086 0.00147445782494513 0.00140257584043649 0.00122198024639416 0.00137226739483258 0.00134763292404023 0 0.00178083726807625 0.00162862869543822 0 0.00122935048510996 0.00126856427846881 0.00158434840935598 0.00153745744961208 0.00146324069797319 0.00161132074849478 0.00159328016156 0.00162185349159245 0.00200350362648809 0.00145473369077283 0.00146378554511468 0.00159002301712685 0.00151761368228291 0.00122023295145894 0 0 0 0 0 0 0 0 0 0.00138032795207278 0 0 0 0.00139036985953703 0 0 0 0 0 0 0 0 0.00124383132605667 0 0 0.00118438461911644 0 0.00127801994568951 0.00130834473115636 0 0 0 0 0.00140141001691532 0 0.0012122661451902 0 0 0 0 0 0 0 0 0
"Dusp18" 0.00130749492982339 0 0.00161785663482474 0.0017100271428841 0.0021341607950359 0 0.00206366380754605 0 0 0 0.00145763195560894 0.00159229363563867 0.00157112179899676 0 0.00147217986832457 0.00122080792418593 0.00157795755967461 0.00160624002126808 0 0.00135759360487114 0.00122632287138172 0 0 0 0 0 0 0 0 0.00151833958549796 0.00151018010453767 0.00125882244901334 0.00130772291678558 0 0.00128394906732881 0.00118074059077471 0.00131973444076525 0 0.00130867459413573 0 0.00121496089788365 0.0012732249765504 0 0 0 0 0.00141465999333583 0.00124640270190044 0.0018897277839458 0.00126800625760793 0.001447093699433 0.00118927731982052 0 0 0 0 0 0.00118345150373021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117987341067274 0.00118194472165944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0.00131705432545645 0 0.00364748249297431 0.00400475789821093 0.00168013374448286 0 0.00177374486570155 0 0 0 0.00147147323090061 0.00142764362254368 0 0 0.00144792472151187 0 0 0.00133525797695098 0 0.00148103936851367 0.0042324033320783 0 0 0 0 0 0 0 0 0.00159847130534817 0.0023646425721241 0.00138375201827341 0.00136532258067635 0 0.00143850333762942 0 0.00123968510073616 0 0.00126232286321061 0.0012980459797124 0.00136481263892046 0.00123962414145568 0.00118372286416479 0.00119330277637678 0 0.00120187977068955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00147252459272457 0.00240318969403861 0.00378673150218 0.00153306670251271 0.00264269157748718 0.00231275044839368 0.00201992273566579 0.00217643341410883 0.00202321285548803 0.00226483339172504 0.0030021255700173 0.00164521067322292 0.0023594748343614 0.00231859823238851 0.00270302800470108 0.00387769051653293 0.002338318134906 0.00160320559239241 0.00210126533882423 0.00151237439748309 0.00249151263747815 0.00222737839392906 0.00409972140266582 0.0019843370875547 0.00220086392390706 0.00380124637861206 0.00237301976242974 0.00432247876643764 0.0023354608153539 0.00165028049266444 0.00178682373246822 0.00146892671509516 0.00136483375622213 0 0.00130843253079308 0.00124596016817206 0.00135138172487628 0.00134260268084396 0.00132566521893385 0.00128030598250634 0.00139603133657515 0.00129501658638254 0.0011987761797914 0.00123721883563742 0.00126955968058415 0.00122117606220801 0 0 0 0 0.00120097359757553 0 0 0 0 0 0 0 0 0 0 0 0 0.00128197535357335 0 0 0 0 0.00127974685021522 0 0.00123005477909432 0 0 0.00119991813265487 0.00120768508675322 0 0.00122503156799166 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
