"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"41"	"Vwf"	0.523440809136432	0.352140984353327	0.0509086703414603	0.0744040915099179	41	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"42"	"Cxcl13"	0.524322090928884	0.352427459896291	0.0511951458844248	0.0741657021723946	42	"Mesothelium"	"Mesothelium"
"43"	"Plxnb2"	0.525487401777408	0.353997399004677	0.0527650849928102	0.0734879877650139	43	"Airway, Alveolum, Fibroblasts, Mesothelium, Pericytes"	"Alveolum"
"44"	"Hc"	0.52315678008036	0.34940884888884	0.0481765348769735	0.0731953552638083	44	"Alveolum"	""
"45"	"Itgb2"	0.528344516358886	0.353616896073223	0.0523845820613567	0.072772643228361	45	"Granulocytes, MNP"	""
"46"	"Grn"	0.528033271975139	0.351318575719489	0.0500862617076223	0.0725628253251699	46	"Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	"Lymphatic_ECs, MNP"
"47"	"Serpine1"	0.521810858420917	0.350266510467173	0.0490341964553067	0.0723892942176882	47	"Capillary_ECs, Fibroblasts, SMC"	"Capillary_ECs, Fibroblasts"
"48"	"Ptprc"	0.529647883142331	0.352034844526332	0.050802530514465	0.0722539022441457	48	"Granulocytes, Lymphocytes, MNP"	""
"49"	"Sema5a"	0.523714941709716	0.352767217851363	0.0515349038394959	0.0720361461691404	49	"Fibroblasts, Mesothelium, SMC"	"Mesothelium"
"50"	"Ptprf"	0.530131821150764	0.350543662908737	0.0493113488968701	0.0720069401107023	50	"Airway, Alveolum, Mesothelium"	""
"51"	"Col18a1"	0.524327533994418	0.350143754777667	0.0489114407657999	0.0712892882605137	51	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs, Pericytes, SMC"
"52"	"Cxcl2"	0.523793618747897	0.351306268846116	0.0500739548342495	0.0711256480779032	52	"Granulocytes"	""
"53"	"Gpi1"	0.525489875898106	0.351892915694332	0.0506606016824651	0.0706588602057799	53	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Vascular_ECs"
"54"	"Esam"	0.526299903014468	0.350973462095313	0.0497411480834461	0.0695004337614372	54	"Alveolum, Capillary_ECs, Mesothelium, Vascular_ECs"	""
"55"	"Nid1"	0.531556914672526	0.348129376998431	0.0468970629865639	0.0690289629204713	55	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"
"56"	"Calm1"	0.524514577519149	0.351664264657238	0.0504319506453714	0.0689025146996619	56	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Fibroblasts, SMC"
"57"	"Hsp90b1"	0.526928329671635	0.350569026711301	0.0493367126994338	0.0686076561792325	57	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"58"	"Itgb7"	0.526586901015378	0.350957721470603	0.0497254074587367	0.0685644554763881	58	"Lymphocytes"	""
"59"	"Efnb2"	0.523754527640877	0.349942897804544	0.0487105837926771	0.0680305609733001	59	"Capillary_ECs, Vascular_ECs"	""
"60"	"Cxcl16"	0.523445262553688	0.349477307581236	0.0482449935693691	0.0677057187272191	60	"Alveolum, MNP"	"Alveolum, MNP"
"61"	"Thbs1"	0.529726065356373	0.351232011296338	0.0499996972844708	0.0673371248011869	61	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts, Pericytes"
"62"	"Bmp4"	0.517152583971657	0.345318756147431	0.0440864421355646	0.0672949633581741	62	"Alveolum, Fibroblasts, Vascular_ECs"	""
"63"	"Itga4"	0.526375116283673	0.352180320886298	0.050948006874431	0.0672131306784443	63	"Lymphocytes"	""
"64"	"Sema7a"	0.526829364843735	0.3526928298567	0.0514605158448329	0.0665156819470106	64	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"65"	"Sema3a"	0.526867961126617	0.350083595688357	0.0488512816764898	0.0664557335396392	65	"Lymphatic_ECs"	"Lymphatic_ECs"
"66"	"Tgfb3"	0.52286879243117	0.343808709711914	0.0425763957000468	0.066338220777763	66	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"67"	"Hspg2"	0.525813490885339	0.348523729117026	0.0472914151051591	0.0663271360221964	67	"Fibroblasts, Lymphatic_ECs, SMC"	"Fibroblasts, SMC"
"68"	"Fn1"	0.52713219721711	0.351879654782791	0.0506473407709243	0.0661356355533465	68	"Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Fibroblasts, Lymphatic_ECs, MNP, Pericytes"
