"","Ephb4","Lrp6","Lifr","Dlg1","Sec63","Chrm2","S1pr1","Ptpra","Ptprm","Adrb2","Ryk","Fzd4","Ptprk","Dag1","Itga1","Itga2","Cd151","Itga6","Itgb1","Rpsa","Tek","Tie1","Ackr2","Igf1r","Cd36","Cd47","Acvrl1","Eng","Tgfbr3","Glg1","Fgfr3","Nrp1","Cdh5","Ptprb","Lyve1","Flt1","Kdr","Tnfrsf1a","Glp1r","Mylk","Atp5b","Pkd2","Notch1","Notch4","Icam2","Ntrk2","F11r","Jam2","Rrbp1","Agtrap","Fas","Scarb1","Robo4","Plxna2","Pecam1","Kit","Il6st","Il4ra","Esam","Erap1","Clstn1","Cd34","Calm1","Adgrl3","Bmpr2"
"Col4a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151129337145447,0,0,0,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244765300528363,0,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fbn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193718678148794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400739617905946,0,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223456102641836,0,0.994355107744963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrn",0,0,0,0,0,0,0,0,0,0,0,0,0,0.388241151265362,0,0,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tnfsf13b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22224896526865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923475211196466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Npnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142809967830446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mmp9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401681940026392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
