"Ahnak" "Ccnd1" "Col1a2" "Col3a1" "Eln" "Fn1" "Nrcam" "Sept9" "Timp1" "Tnc" "Vcan" "Col8a1" "Grem1" "Inhba" "Itgb1" "Mmp14" "Fbn2" "Myh9" "Ncam1" "Spp1" "Pdgfa" "Postn" "Sparc" "Col1a1" "Fst" "Col4a1" "Tpm1" "Pcdh7" "Sema3a" "Fkbp5" "Smc4" "Igf1" "Pdgfrb" "Ptn" "Sfrp1" "Calm1"
"Ncam1" 0.00133925191388264 0.00164978115880154 0 0 0 0.00111270075750677 0 0.0012551794033602 0 0 0 0 0 0 0 0 0 0.00116652291974866 0.00110614269866092 0 0 0 0 0 0 0 0 0 0 0.00111369374376677 0 0 0 0 0 0
"Fgf7" 0.00114191896243643 0.00243961924686273 0 0 0.00228038570568765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00119117084597668 0.00232862154106789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00384617150905376 0 0 0 0 0 0 0 0 0 0 0 0
"Icam1" 0.00122120465653586 0.00160205830034442 0 0 0 0.00115808378879791 0 0.0011009616739766 0.00374090575434698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sfrp2" 0.0014396719491142 0.00208891783386218 0 0 0 0.00148353628489058 0 0.00128257851090195 0 0.00120853363102754 0.00144788535892235 0 0 0 0.00111830438737323 0 0.00117558536468587 0.00136871529297371 0.00145609868130969 0 0 0 0 0 0.0015555363456321 0 0.00129352040835001 0.00159755579995506 0.00170996697126283 0.00139376940632323 0 0.00137537577703719 0 0 0.00136840151192835 0.00122445183957783
"Itgb7" 0.00112857496804921 0.00137562694571343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00139070664011293 0.00193237668822109 0.00421155205897465 0 0 0.00133088127579871 0 0.00131587886216393 0 0 0 0 0 0 0.00238400100279629 0 0 0.00121069804375481 0 0 0.00229382017097465 0 0 0 0 0.00466413216211115 0 0.00113683345769573 0 0.00120418944173977 0 0 0 0 0 0
"Bmp4" 0.00173315920849301 0.00282542400280105 0 0 0 0.00163746098150271 0 0.00165073318849144 0 0.00116055854158314 0.00135048907106763 0 0.00690799655342899 0 0.00118552071791863 0 0 0.00152267215616941 0.00125584733437903 0 0 0 0 0.00121880167980661 0.00265253295966565 0 0.00132923683457015 0.00122575088579345 0 0.00147033273510391 0 0 0 0 0.00125729377508016 0.00124067792067049
"Edn1" 0.00128845498465575 0.00166797816169625 0.00430284300218838 0.00507425261027675 0 0.00127971483878582 0 0.00119475334146133 0.00195713366293793 0 0 0 0 0 0 0 0 0.00112539673770424 0 0 0 0 0 0.00406632226576029 0.00242602597592015 0 0 0 0 0.00117034149532683 0 0 0 0 0 0
"Fgf1" 0.00128970280557901 0.00165517880547517 0 0 0 0.0011457713304802 0 0.00122988507862243 0.00185060820883847 0 0 0 0 0 0 0 0 0.00110625333023813 0 0.00405193709315663 0.00203974471976682 0.00528132530414328 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00153851464613024 0.00162587704303284 0 0 0 0.00446920500700439 0 0.00143225240943012 0 0.00642598074252033 0.00110097028905159 0 0 0 0.00111253882991598 0 0.00510989383621923 0.00145915110208982 0.00226850657271411 0.00219667614821806 0 0 0 0.00123585671162163 0.00119830485356036 0 0.00117458558665939 0 0 0.00111162962357845 0 0 0 0 0.00125646845831403 0
"Il1b" 0.00180284335259474 0.00296737219284813 0 0.00516287095521492 0.00695102019209374 0.00471508674511481 0 0.001727476436862 0.00519880978995069 0.00251226830862568 0.00484051678696276 0.00551197772515991 0.00519723694642411 0.00511984124811278 0.00595807584773738 0.00488326992590717 0 0.00163078371143697 0.00122128181692812 0 0.00441637455365975 0 0.00250634830949764 0.00432704969277202 0.00265653439259913 0 0.00131942486981391 0.00118503728979018 0.00113045467688643 0.00147210059049608 0 0.00254724050239757 0.00119534012454829 0 0.0012130914051612 0.00252160299925607
"Spp1" 0.00142865745316068 0.00158408372530799 0.00421524682203956 0.00495879526473618 0.0049989028848838 0.00125375186388455 0.00464786109374564 0.00133409872616051 0.00377514477134519 0.00447159030759513 0.00456373398953197 0 0 0 0 0 0 0.00117497150695883 0 0 0 0 0 0.00111379146622818 0 0 0 0 0 0 0 0 0 0 0 0
