test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Col18a1	0.52043771043771	0.0629797930210388	0.00178368731867439	-0.00466956489073119	47	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	Lymphatic_ECs, Pericytes
Nts	0.517710437710438	0.0631699570692066	0.00197385136684219	-0.00473678453345379	48	Lymphatic_ECs	
Sell	0.531683501683502	0.0646612745887835	0.00346516888641914	-0.00490485338934139	49	Granulocytes, Lymphocytes	
Arf1	0.514141414141414	0.0615731136754756	0.000377007973111243	-0.00543705466100731	50	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
App	0.51473063973064	0.0683049570871109	0.00710885138474652	-0.00546336304647613	51	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Cxcl14	0.511734006734007	0.0630538570984907	0.00185775139612634	-0.00546987327629172	52	Fibroblasts	
Cxcl12	0.551481481481483	0.0681954227856818	0.00699931708331745	-0.00595619684365319	53	Capillary_ECs, Fibroblasts, Pericytes, SMC, Vascular_ECs	Capillary_ECs
Cxcl2	0.517811447811449	0.0624884799734526	0.00129237427108823	-0.00623225235479202	54	Granulocytes	
Icam1	0.526498316498317	0.0644339388418815	0.00323783313951708	-0.00715283638303674	55	Airway, Alveolum, Capillary_ECs, Mesothelium, Vascular_ECs	Airway
Calr	0.52516835016835	0.0638241503119347	0.00262804460957031	-0.00739788856946695	56	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Fn1	0.522929292929294	0.0648881845419183	0.00369207883955391	-0.00742882734022463	57	Fibroblasts, MNP, SMC	Fibroblasts
Itgb1	0.522861952861954	0.0629771197020473	0.00178101399968294	-0.00790692649595683	58	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Lymphatic_ECs
Ntn1	0.511346801346803	0.0606242292304872	-0.000571876471877161	-0.00806196535378412	59	Capillary_ECs, Lymphatic_ECs, Mesothelium, Vascular_ECs	
Penk	0.51060606060606	0.0619036776327183	0.000707571930353867	-0.00878459084341915	60	Fibroblasts	
Rtn4	0.513484848484849	0.0614811914828567	0.000285085780492265	-0.010944443506405	61	Airway, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Cd2	0.52385521885522	0.0612799631284828	8.38574261183625e-05	-0.0110560685068633	62	Lymphocytes	
Ghrl	0.511616161616162	0.0628830714310504	0.00168696572868596	-0.0114135138108342	63	Airway	Airway
Rps19	0.510942760942763	0.0612753064241039	7.92007217395446e-05	-0.0118068099969581	64	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Airway, Capillary_ECs
Mapt	0.521262626262627	0.0627032317471348	0.00150712604477041	-0.0121816504063441	65	Capillary_ECs, Pericytes, Vascular_ECs	
Nid1	0.503838383838384	0.0602210098764824	-0.000975095825881997	-0.0124305342247303	66	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs	Lymphatic_ECs
Cfh	0.499158249158249	0.0610663738755439	-0.000129731826820453	-0.0141490106988898	67	Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	Lymphatic_ECs
F11r	0.507760942760943	0.0606232912886953	-0.000572814413669138	-0.0143961422678415	68	Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs	
Ccl5	0.521952861952863	0.0628224248324619	0.0016263191300975	-0.0157748357761137	69	Lymphocytes	
Mmp9	0.510488215488215	0.0604911762044604	-0.000704929497903968	-0.0182090134207764	70	Granulocytes	
Col1a1	0.492491582491582	0.0599310758707031	-0.00126502983166125	-0.0189066714607795	71	Fibroblasts, Pericytes, SMC	Fibroblasts, Pericytes, SMC
Spp1	0.511077441077441	0.0611389672496954	-5.71384526690047e-05	-0.0209557623747947	72	Fibroblasts, MNP, Pericytes	Fibroblasts, MNP
Jag2	0.48781144781145	0.0568454068358923	-0.00435069886647214	-0.0213850397730413	73	Airway, Capillary_ECs, Vascular_ECs	Capillary_ECs
Selp	0.498653198653198	0.0590269432405274	-0.00216916246183704	-0.0228897197580388	74	Vascular_ECs	
Clstn1	0.481060606060606	0.0575181619131151	-0.00367794378924928	-0.023537733107639	75	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Aimp1	0.488653198653198	0.0573576699999402	-0.00383843570242418	-0.0238210639204287	76	Airway, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Robo2	0.492558922558922	0.0570309599857969	-0.00416514571656746	-0.0238847374319114	77	Fibroblasts	
Plau	0.485572390572392	0.0574763008381654	-0.00371980486419897	-0.0243148916019981	78	Lymphatic_ECs	
Nampt	0.498737373737374	0.0596207955068229	-0.00157531019554151	-0.0243583600177567	79	Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	Pericytes
Serpine1	0.490639730639731	0.0573377138009964	-0.003858391901368	-0.0262592942673985	80	Capillary_ECs, Fibroblasts, SMC	Capillary_ECs, Fibroblasts
Rspo1	0.478518518518519	0.056680126699539	-0.00451597900282538	-0.0273549101348683	81	Mesothelium	
Lamb1	0.488215488215489	0.0576535700707025	-0.00354253563166185	-0.0282393587326487	82	Airway, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes	Lymphatic_ECs
Lrpap1	0.494545454545455	0.0580523718694525	-0.00314373383291186	-0.0282522458319155	83	Alveolum, Fibroblasts, MNP, Mesothelium, SMC	MNP
Cdh3	0.480437710437711	0.0551547817689098	-0.00604132393345463	-0.0333585774453173	84	Mesothelium	Mesothelium
Cd34	0.472895622895623	0.0548700742809885	-0.00632603142137587	-0.0342861330755102	85	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Vascular_ECs	Capillary_ECs, Vascular_ECs
Grn	0.467474747474748	0.0557751431220321	-0.00542096258033226	-0.0430623334973164	86	Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, SMC, Vascular_ECs	
Icam2	0.467542087542087	0.0538526590989516	-0.0073434466034128	-0.0483685812516442	87	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Igf1	0.471313131313132	0.0542077943452545	-0.0069883113571099	-0.0724625004371484	88	Fibroblasts, MNP	Fibroblasts, MNP
