"C1qb" "C1qc" "C3ar1" "Cd86" "Cdkn1a" "Fads1" "Gadd45b" "Igf1" "Nek6" "Spp1" "Timp2" "Basp1" "Cd14" "Itgb5" "Socs3" "Acp5" "Adam9" "Msr1" "Ccl2" "Cd72" "Kcnn4" "Pdpn" "Traf1" "Apoe" "Fam129b" "Ctsb" "Pfn1" "Slc3a2" "Mmp14" "Cd83" "Il21r" "Pmepa1" "Ccr5" "Emp1" "Fth1"
"Col5a3" 0 0 0 0 0.00177073134373318 0 0.0013370516161875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0.00367438744373611 0 0.00129663054851378 0 0 0 0 0 0 0 0.00132478426710201 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00206926318512956 0 0 0 0 0 0
"Adam17" 0 0 0 0 0.00206911530949821 0 0.00170368372605386 0 0.00150808810656686 0 0 0 0 0 0.00143038606989501 0 0 0 0.00252053425906362 0 0 0 0.00252048439927342 0 0.00128666271153234 0 0.0013662293519631 0.00131174750016102 0 0.00244469211912971 0.00141618319840021 0 0 0 0
"Pkd1" 0 0 0 0 0.00377401514156348 0 0.00147515392047131 0 0.00126964773882859 0 0 0 0 0 0.00129874555356641 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00218694057591152 0 0 0 0 0 0
"Fgf2" 0 0 0 0 0.00301269652847111 0 0.00173736354169787 0.00236694655946615 0.00145297740252148 0.00213698915373628 0.00222098631620354 0 0 0.00214873896277155 0.00148323621566164 0 0 0 0.00253771787650822 0 0.00239941801428699 0 0.00454023120446609 0 0.00129258483736188 0 0.00128777347451712 0.00118022834151838 0 0 0 0 0 0 0.00123130163907247
"Lgals3" 0 0 0 0 0.00152125277648955 0 0.00235597249778768 0 0 0 0 0 0 0 0.00207635953436987 0 0 0 0 0 0 0 0 0 0 0 0 0.00402165860077069 0 0 0 0 0 0 0
"Angpt2" 0 0 0 0 0.00480643361495988 0 0.00165476050860902 0.00275816006889406 0.00153150769027882 0 0 0 0 0 0.00178349189911576 0 0 0 0 0 0 0 0 0 0.00135536435650387 0.00259491672564111 0.00136205389247092 0.00130462759412336 0 0 0 0 0 0.0013860572863501 0.00133139496128946
"Fgf1" 0 0 0 0 0.00172438615322352 0 0.00137612788392824 0 0 0.00405193709315663 0 0 0 0 0.001193556247153 0 0 0 0 0 0 0 0 0.00209526142255898 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0 0 0 0.00245202942115846 0.00201992273566579 0 0.00164521067322292 0 0.00137793475686286 0 0.00432247876643764 0 0 0.00210082044401233 0.00135991631917548 0 0 0 0.00246879055964681 0.00206792822043719 0.00238829844491075 0.00233932018021433 0.00452191643726131 0 0.00124535983460718 0 0.00129501658638254 0 0 0 0 0 0 0 0
"Csf1" 0 0 0 0 0.00185297013945852 0 0.00165123073323341 0.00230757315500023 0.00132894521494624 0 0 0 0.0043400854220546 0 0.00135318498507661 0.00476711552751169 0.00206987233832151 0.00299846426066718 0 0 0 0 0 0 0.00119800010429064 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0 0 0 0.00479029368772346 0.00548303347996596 0 0.00315856619923651 0.00566017293649168 0.00161445740760965 0.00220228850676684 0.00229989090525026 0.0044648967027366 0.00460091968010032 0.00454188789266344 0.00567161006627657 0 0 0.00319786447902971 0.00259006744946717 0 0.00119352642063769 0 0 0.0023615275634379 0.00149136829657546 0 0.00149627334430383 0.00141667766262817 0 0 0.00127794308772683 0.00139538051011674 0 0 0.001313046198603
"Apoe" 0.00565009664284423 0.00517445847791113 0.00490866589710499 0.00444646867754721 0.00160734617280627 0.00388300860170743 0.00132063824668414 0.00398311039481062 0 0.00392423267835548 0.00420291883098396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
