"","Itgal","Il2rg","Spn","Cd2","Cd22","Atp5b","Cd8a","Cd3d","Cd3g","Itga4","Itgb7","Rpsa","Cxcr4","Sorl1","Tnfrsf13c","Selplg","Sell","Ptprc","Ptpn6","Il7r","Il18r1","Anxa6","Cd74","Calm1","Ptk2b","Cd47","Rack1"
"Anxa1",0,0,0,0,0,0,0,0,0,0.200830142310437,0,0,0.252284245693378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spp1",0,0,0,0,0,0,0,0,0,0.176509640800292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jam2",0,0,0,0,0,0,0,0,0,0.160771549191508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arf1",0,0,0,0,0,0,0,0,0,0.200830142310437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hmgb1",0,0,0,0,0,0,0,0,0,0.129681652820949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clstn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252443677350958,0
"Thbs2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2422404431704,0
"Itgb1",0,0,0,0,0,0,0,0,0,0.420510826812613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350545818033698,0.37047288854909,0.277758086884465
"Thbs1",0,0,0,0,0,0,0,0,0,0.227632009200605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340051521904172,0
"Cdh1",0,0,0,0,0,0,0,0,0,0,0.0331347905407501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22526283440201
"Ptprm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202074381921627
"Ptprf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120180317200094
"Aimp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742070699219637
"Igf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223158605958851
"App",0,0,0,0,0,0,0,0,0,0,0,0,0.0990377224884714,0.648204425236966,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rspo1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.401141839870283,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apoe",0,0,0,0,0,0,0,0,0,0,0,0,0,0.699239598034586,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lrpap1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.182382624597654,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426079571298829,0,0,0,0,0,0,0,0,0,0
"Cd34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440818641887195,0,0,0,0,0,0,0,0,0,0
"Cfh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370438891889066,0,0,0,0,0,0,0,0,0,0
"Itgb2",0.48930312584536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F11r",0.037492178078916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam2",0.332445880271921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Copa",0,0,0,0,0,0.0831994139349206,0.321076192312645,0,0,0.200830142310437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpi1",0,0,0,0,0,0.0831994139349206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pkd1",0,0,0,0,0,0.137781251203572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptprc",0.114931384637088,0,0,0.93936458418087,0.904122102524393,0,0.0232265950121841,0,0,0,0,0,0.0157576913285497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2-M3",0,0,0,0,0,0,0.698745651103781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2-T23",0,0,0,0,0,0,0.684944152468303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07275115218733,0,0,0,0,0,0,0,0,0,0,0
"Selp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865780030212094,0,0,0,0,0,0,0,0,0,0,0
"Gmfb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10564052043099,0,0,0,0,0
"Nampt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136650637179898,0,0,0,0,0
"Ceacam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436140145393916,0,0,0,0,0,0,0,0
"Kitl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286522636258257,0,0,0,0,0,0,0,0
"Calr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113332514465692,0,0,0,0,0,0,0
"Trf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113332514465692,0,0,0,0,0,0,0
"Mapt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193483307384874,0.154872339316825,0,0
"Vegfa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382819557936493,0,0
"Icam1",0.0654290373219354,0.413630673218242,0.863148515952939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lgals3",0,0,0.214569089624895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wnt5a",0,0,0,0,0,0,0,0.13424149757784,0.108436758426259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tnfsf13b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984894738681909,0,0,0,0,0,0,0,0,0,0,0,0
"Cd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110630458510842,0,0,0,0,0,0,0,0,0
"Il18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83913351811471,0,0,0,0,0,0
