"Actb" "Bhlhe40" "Ier3" "Jag2" "Sema7a" "Socs3" "Vim" "Card19" "Cavin3" "Col18a1" "Susd6" "Tcim" "Ccnd3" "Dusp1" "Eif5a" "Gapdh" "Pfn1" "Selp" "Aldoa" "Fam129b" "Fkbp5" "Tnfrsf1a" "Ier5" "Ntn1" "Trim47" "Vasp" "Anxa2" "Gadd45g" "Klf13" "Tgfbr2" "Cd34" "Kit" "Vegfc" "Ldha" "Rps2" "Hif1a" "Tagln2" "B4galt1" "Pim3" "Cd164" "Ltbr" "Pkm" "Il1r1" "Serpinb9" "Emp1" "Pcbp1" "St5"
"Efnb1" 0 0.000982105672626734 0.000995863644069516 0 0 0.000911752715171104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0.00103059421067205 0.00131870328332502 0.00137982727773468 0 0 0.00132478426710201 0.00092328267113134 0 0 0 0 0 0.00103755949387473 0.00119194138143145 0 0.000979434577825265 0.000912727636224651 0 0 0.000993894435725433 0 0.000949993477459713 0 0 0 0.000970389508393729 0.000916779876187599 0.000918153002181481 0 0.0010588668895946 0 0 0 0 0 0 0 0.000907170329239322 0 0.00195817923627071 0.00237602971550721 0 0 0 0 0 0
"Col1a1" 0.00150260770807709 0.00165395834842459 0.00154697020220672 0.000921513435606036 0 0.00126670990784842 0.00118511499633115 0 0 0.00131242326317063 0 0 0.00118297696870316 0.00139174815184668 0.00118205647919561 0.00123349073113234 0.0014147910999898 0 0.00135785385354049 0.00161247648963833 0.00114071815932327 0.00126096958723495 0.00128308054787748 0.00101850499364064 0.00135331957053758 0.00142155986485445 0.00123641513317193 0.00120490897322715 0.00125238868848836 0.00124181064576978 0 0.000959814523705255 0 0.000978598894529991 0.000929333533354171 0.00114965533500126 0.00142931651634521 0.00134436650058469 0.00132754963775339 0.000928246437070436 0.00113674277861593 0.00116154321749254 0 0 0.00106359086967158 0.00105715783517807 0.000955089505313264
"Arf1" 0 0 0.000916389129718489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trf" 0.00140718378024421 0.00143417866455302 0.00153028712903923 0 0 0.00118732573087166 0.00117393762449016 0 0 0.00116196328188222 0 0 0.00105640264423089 0.00141248965213612 0.0011395770802952 0.00135532719371551 0.00133676657631843 0 0.00121473854490868 0.0012441649387228 0.001278907113207 0.00115099727155137 0.0012265141725706 0.00105937835544601 0.00124195813884568 0.00125281425836679 0.00113206805440037 0.00110775910678111 0.00102721044845209 0.00118263728973649 0 0 0 0.00104451534945397 0.000952184386883791 0.00379232108141822 0.00122380914411356 0.00109988848880838 0.000935434075213437 0 0.000963960204873915 0.00101393142521181 0.000933604171781069 0 0.00105355869695867 0.00107263040395539 0.000955261426833542
"Manf" 0.00100631839929851 0.00127507820990402 0.00108260972569971 0 0 0.000913088011359233 0 0 0 0.000973133099199429 0 0 0.000956138672895434 0.00113879118521078 0.00109061571687083 0.00127641383298859 0.00122199253411193 0 0.000988155110131294 0.00116964760390352 0.00110624564770368 0.000935940251410519 0.00102555795182964 0 0.00112512087192132 0.00101525552951803 0 0.000950158094957031 0.000922693084199874 0.00092892370523228 0 0 0 0.00110041747062286 0.00107664980865046 0.000945505401841766 0.00104258195196587 0.000975805529001341 0 0.000932048500700498 0.000952052535372375 0 0 0 0 0.000967468695201484 0
"C3" 0.000942043220681499 0.00105562083355485 0.00110182053095711 0 0 0 0 0 0 0 0 0 0 0.000992824127097917 0 0.000940773363022761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0.00154248234840864 0.00172829346361237 0 0.000923352070730834 0.00143038606989501 0.00126344713866316 0 0 0.00107690827139091 0 0 0.00119691697368809 0.00154950088954675 0.00110350496397511 0.00127317639260921 0.0013662293519631 0 0.00114981150815589 0.00128666271153234 0.0012549805402332 0.00124626000143875 0.0014235664566575 0.00103287932416042 0.00118864422508265 0.00133463353805551 0.00114168079867922 0.00109938512602467 0.00113529151358724 0.0012657835373621 0.0025782194792716 0.00230343219737381 0.00256423244403896 0.000963793914237198 0.000988773461684712 0.00119943326858578 0.00121212877268694 0.00110047330431455 0.00102248491807381 0 0.00102562691992407 0.00109809810017397 0.000925573461040264 0 0.00102240686251414 0.00103154443443899 0.000947261503675812
"Col4a1" 0.00115017429167651 0.00128868388073533 0.00118216257804888 0 0 0.00108389834115251 0 0 0 0.000927275335449111 0 0 0.000916043266937642 0.00103337837273075 0 0.000907612849414221 0.000939058120404421 0 0 0.00106661637212179 0 0.000910142986140524 0.000997719220496725 0.00115823623014007 0.0010838275440203 0.000941898678117625 0.00108578841577469 0.00108993255240146 0.00106039776278935 0.00121700748661509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0.000961610728116267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0 0.000949178423003988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.00104067261185247 0.00116308123280775 0.00116760726142911 0 0 0.00207635953436987 0 0 0 0.000925684998344315 0 0 0 0.00107869601098736 0 0.00108404011885786 0.00098535802368398 0 0.00095873686814431 0.00106300445138318 0.0009295524560023 0.0041169125117841 0.00091042819366725 0 0.000915548320962824 0.000923284068162 0 0 0 0.000906892389987984 0 0 0 0 0 0 0.000924255608143483 0 0 0 0 0 0 0 0 0 0
"Selplg" 0.000960851999208765 0.00102770745793143 0.0011329053881389 0 0 0 0 0 0 0 0 0 0 0.000915352598600192 0 0 0 0.00261856202650119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp5" 0.00185652795516258 0.00180160492251877 0.00192664670296883 0 0.000982230252667582 0.00158700969794174 0.00148929278169747 0.00468312304954623 0.00201806875611834 0.00177474943881919 0.00326083274138628 0.00201583692211044 0.00139770437819508 0.00157354143542606 0.00124617948856424 0.00128514513399694 0.00142784217792205 0 0.00107184861617507 0.00157497733933868 0.00145815354990321 0.00125362862731449 0.00154539459134103 0.00148638086414499 0.00145600722175197 0.00125468011955065 0.00161609411245662 0.00158710233152191 0.00107046466029961 0.00155712036200032 0 0.00119885250199706 0.000985181539074503 0.00132086141429189 0 0.00118484323316278 0.00167560968229711 0.0013329319574764 0.000935858547337494 0 0.000927224538464644 0.00131265090450713 0.00124037222550912 0.00090573230630975 0.00148676255632756 0.00133175317181278 0.00137697610364818
"Dll4" 0.00185625641413516 0.00222892152937354 0.00195067239704965 0.00196885881649216 0.00181279464419215 0.00185753483398235 0.0017665762779185 0 0 0.0013602375603735 0 0 0.00109339414783386 0.00163613682096015 0.00132385233959176 0.00163330306677098 0.00137749901709754 0 0.00139071133775004 0.00174999296331799 0.00164172896359844 0.00143078965072025 0.00165200837089409 0.00129195362119148 0.00162968521066172 0.00169125364199352 0.00137800726843753 0.00158356148281033 0.00174747226115634 0.00151750778809441 0 0.000997644979908652 0.00095473399627453 0.00125021253953696 0.00141480378805595 0.00121433108199863 0.00154348887308327 0.00140351752298516 0.00129801888007981 0.00102243525585093 0.00112912455799718 0.0014091315517251 0 0.00116070701212102 0.00112845541413895 0.00149200920147672 0.00125485902144907
