"Ddit4" "Epha2" "Fam129b" "Fkbp5" "Ier2" "Ier3" "Ldha" "Lmna" "Rps2" "Serpine1" "Tubb5" "Aldoa" "Gnl3" "Klf10" "Bcl2l1" "Ablim1" "Ctnnb1" "Fas" "Fli1" "Flot1" "Nos3" "Ntn1" "Socs3" "Synpo" "Tagln2" "Ier5" "Vasp" "Cd34" "Cd38" "Pdgfb" "Snn" "Timp3" "Vegfc" "Tgfbr2" "Eef1a1" "Pkm" "Gadd45g" "Dusp6" "Tnfrsf1a" "Jag2" "Mafk" "Sema7a" "Pcbp1" "Anxa2" "Cxcl12" "Hif1a" "Mal" "Ntrk2" "Plaur" "Sox17" "Upp1" "Vwf" "Sparc" "Sparcl1" "Adam15" "Adamts1" "Emp1" "Col4a1"
"Tnfsf13b" 0.00138164471193754 0.00132550126110563 0.00109948046523274 0.00102640658673709 0.0011698946452227 0.00151866047246203 0 0.00133827636679014 0 0.00136500910715811 0.00116128244547727 0.000945179351793901 0 0 0.00248380239986209 0.000950536635544951 0.00104537408967915 0.00227973621320945 0.001000872535701 0.00114725578863451 0.00119086461978766 0.000915851582922452 0.00117949642551493 0.00128232290913111 0.000955594216723993 0.00109793122244044 0.00105072431696286 0 0 0.00101692739437738 0 0 0 0.00104031419974152 0.000928536639093333 0 0.000929687810032632 0.000962362921747488 0.00105621639748307 0 0 0 0 0.000959615836566029 0 0.000970733788729735 0 0 0 0 0 0 0 0 0 0 0.000950473408317554 0
"Vcam1" 0 0 0 0 0 0.000961610728116267 0 0.000922307739444714 0 0.000916894722695064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema7a" 0 0 0 0 0 0.000905983142676586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll4" 0.00211709920737251 0.0018570410621075 0.00174999296331799 0.00164172896359844 0.00190297528671722 0.00195067239704965 0.00125021253953696 0.00202504729814474 0.00141480378805595 0.00192998991652903 0.00218455968345461 0.00139071133775004 0.00106897925733779 0.00160678197827474 0.00187411569373826 0.00117020313408906 0.00159648146047636 0.00158330804946428 0.00132529872120021 0.00151874966681638 0.00172034950391455 0.00129195362119148 0.00185753483398235 0.00163158379889414 0.00154348887308327 0.00165200837089409 0.00169125364199352 0 0 0.00137475117934168 0.000982917791692213 0.00107074247322638 0.00095473399627453 0.00151750778809441 0.00125897370426649 0.0014091315517251 0.00158356148281033 0.00130931478724863 0.00143078965072025 0.00196885881649216 0.00176414022852966 0.00181279464419215 0.00149200920147672 0.00137800726843753 0.00116884399873296 0.00121433108199863 0 0 0 0.00129582187354524 0.00101678522386422 0 0 0 0.00118406709132789 0.000973663024543574 0.00112845541413895 0.00105158767963183
"Hebp1" 0 0 0 0 0 0 0 0 0 0.000903661203384629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.0012137764609276 0.0011609513420231 0.00106300445138318 0.0009295524560023 0.00100429372391983 0.00116760726142911 0 0.00118340757477034 0 0.00117724145813248 0.00100602624988035 0.00095873686814431 0 0 0.00107684042868941 0 0 0 0 0.000937496474569501 0.000975710229476413 0 0.00207635953436987 0.000954830392065143 0.000924255608143483 0.00091042819366725 0.000923284068162 0 0 0.000954599890817911 0 0 0 0.000906892389987984 0 0 0 0.000907379136532212 0.0041169125117841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0.000973934989669129 0.00105852607093831 0 0 0 0.000995863644069516 0 0.00098216374848115 0 0.000983740965053856 0 0 0 0 0.00102106312097207 0 0 0 0 0 0 0 0.000911752715171104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0.00100632289346879 0.00110862868192535 0.000920364956359387 0 0 0.00105870505522464 0 0.00109043188819073 0 0.00100410144491025 0.00098840584894302 0 0 0 0.000993382968941232 0 0 0 0.000946148469937851 0 0.000930692404201321 0 0 0 0 0.000954105839617446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3f" 0.000983784773833812 0.000990966314264102 0 0 0.000940506541114143 0.000958418991573124 0 0.00101466416856056 0 0.000978233645032431 0 0 0 0 0.000942804545088929 0 0.00101786762392816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0.00091438476347162 0.000984484021470761 0 0 0 0.000916389129718489 0 0.000981688948170969 0 0.000979161565898209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00176024111956494 0.00150218821176013 0.00128666271153234 0.0012549805402332 0.00155018091843072 0.00172829346361237 0.000963793914237198 0.0015406909372773 0.000988773461684712 0.00158197397882198 0.00141663374064695 0.00114981150815589 0 0.00104196458423516 0.00176616475343128 0.00126254795105989 0.00129716753907201 0.00255338428853935 0.00123350944635184 0.00137746827114527 0.00143508973467786 0.00103287932416042 0.00143038606989501 0.00139699201939423 0.00121212877268694 0.0014235664566575 0.00133463353805551 0.0025782194792716 0.00246667142085579 0.00260104276847286 0.00231419826235198 0.00473414026985662 0.00256423244403896 0.0012657835373621 0.0011028960080495 0.00109809810017397 0.00109938512602467 0.00138575848216572 0.00124626000143875 0 0.00115544932119898 0.000923352070730834 0.00103154443443899 0.00114168079867922 0.000955982771700819 0.00119943326858578 0 0 0 0 0 0 0 0 0 0 0.00102240686251414 0
"Clec11a" 0.00123722695327729 0.00124660160806132 0.0011661939074185 0.00126815608354181 0.0013176813618014 0.00147781930784152 0.00107805476991397 0.00138681300680774 0.00105374748698206 0.00125820312686682 0.0011735654756474 0.00108830736977285 0.000944435832115121 0.00106309782419397 0.00132875348082368 0.000948014894355846 0.000988682610326741 0.00103492593033498 0.000983210733474361 0.00110584644851813 0.0013190600622457 0.00106504281632917 0.00116241027846522 0.00122429386716024 0.00105971126096457 0.00118147037383315 0.00118072025871411 0 0 0.00107314930997639 0 0 0 0.000937256244806519 0.0010066851426563 0 0.000952361574599845 0.00101672858148737 0.00103361343050889 0 0.000910499539187399 0 0.000995094521254158 0 0 0.00106967431570786 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0.00123224826936406 0.00140205527682894 0.000957120669424094 0.000929597147013273 0.00114624926431142 0.00144648496867395 0 0.00118747027906698 0 0.00130132172395418 0.00112218224299495 0.000941890404822139 0 0 0.00112025741578378 0.00104434672057803 0.00106679201590619 0.00104174017392796 0.00111906751573294 0.0012113256328791 0.00110741517821459 0.00124746467164829 0.00103032214014789 0.00119188367094706 0.00101458346670644 0.00101200316502565 0.000921807886634753 0 0 0.000914123649028942 0 0 0 0.0010141089585502 0 0 0.000932434759514012 0.00097821125443454 0.000907663840536573 0 0 0 0 0.00098000849604127 0 0 0 0 0 0 0 0 0 0 0 0 0.000938190472426571 0
"Robo2" 0.00131021950864432 0.00135805002958235 0.00125949652703835 0.0011646594658469 0.00125249508761111 0.00121521004502873 0.00106867581964187 0.0014102953259556 0.00105965478440654 0.00134977739784957 0.00110637141804311 0.00114840655871845 0.000914859962024201 0.00102522664431162 0.00120584841918164 0.000945640112839685 0.000950002219875221 0 0.000959402644589747 0.000940188462459154 0.00109842924000615 0 0.00109229105963487 0.00098084022342713 0.00107137147561098 0.00106801211317599 0.00101960724016044 0 0 0.00103957821902513 0 0 0 0.000931755697341375 0.00101887847132817 0 0.000975041497454977 0.000991804819138365 0.000979246412260501 0 0.00106170747667207 0 0.00100296546172441 0 0 0.00109471286560268 0 0 0 0 0 0 0 0 0 0 0 0
"Ptdss1" 0.00169164160903666 0.0017700300403654 0.00189733496336293 0.0018502730951429 0.0017323652359749 0.00155848436794855 0.0015100819329221 0.00187909961683272 0.00172007644544528 0.00167718581941541 0.00171843651180771 0.00179587281462346 0.00172155594824628 0.00174397337902247 0.00143830120105134 0.00103171682898022 0.00120705908064571 0.000945206166966144 0.00125928755189506 0.00117695111341336 0.001344820144097 0.00135426072851347 0.00148755016640069 0.0013730370789727 0.00158057572942381 0.00160610008789903 0.00133461543267553 0 0.00114435840697814 0.00165418874010671 0.00121624552712592 0.00109131790849743 0 0.00112711377046703 0.00124953088299517 0.00122751156831175 0.00138643142648833 0.00130251651370435 0.00127634416703008 0.00109661773358453 0.00140069956862612 0.00108178974333674 0.00164233846969797 0.00129373467618256 0.000975646001114118 0.00142098257514852 0 0.00102001217958024 0.000916325743172947 0.00101170900067298 0.000948792673837142 0.000937160052434332 0 0 0.00142641770389965 0.00128833449915092 0.00111789230232733 0.00131975232255967
"Manf" 0.00113424568314177 0.00129178461399483 0.00116964760390352 0.00110624564770368 0.00110621471276461 0.00108260972569971 0.00110041747062286 0.00138374486081799 0.00107664980865046 0.00121877003942938 0.0011251219272539 0.000988155110131294 0.000935696821563687 0.00103394828274971 0.00102970521359546 0 0 0 0.000920565643494366 0 0.00105778158415921 0 0.000913088011359233 0.000945007497420113 0.00104258195196587 0.00102555795182964 0.00101525552951803 0 0 0.00101702299255508 0 0 0 0.00092892370523228 0.000965865081318213 0 0.000950158094957031 0 0.000935940251410519 0 0.00100628254137193 0 0.000967468695201484 0 0 0.000945505401841766 0 0 0 0 0 0 0 0 0 0 0 0
