"Bhlhe40" "Clic1" "Cmip" "Ddit4" "Fam129b" "Fkbp5" "Gapdh" "Ier3" "Ldha" "Nr2f2" "Rps2" "Tubb5" "Ackr3" "Acvr1b" "Adamts1" "Anxa2" "Cd34" "Clu" "Cox5a" "Gpi1" "Grb10" "Hif1a" "Itgb3" "Nos3" "Plpp3" "Sparc" "Tsc22d3" "Aldoa" "Gnl3" "Hnrnpf" "Ipo7" "Klf10" "Jag2" "Sema7a" "Socs3" "Flot1" "Ier5" "Synpo" "Tagln2" "Vasp" "Ccnd3" "Ecscr" "Mal" "Upp1" "Tnfrsf1a" "Fas" "Ntn1" "Selp" "Fbln5" "Mustn1" "Akap13" "Igfbp5" "Nrp2" "Ssbp4" "Tcf3" "Pkm" "Actn1" "Zmiz1" "Pcbp1" "Npepps" "Smad1" "Emp1" "Rps6" "Col4a2"
"Vcam1" 0.000880700251682837 0 0 0.00089208592960281 0 0 0 0.000961610728116267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0.000982105672626734 0 0.000885761281874012 0.000973934989669129 0 0 0 0.000995863644069516 0 0.000885514202994109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000911752715171104 0 0 0.000876168214562232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0.00102367989052771 0.000985744741914743 0.000914853036380197 0.00100632289346879 0.000920364956359387 0 0.00090740888216243 0.00105870505522464 0 0.000953449670193872 0 0.00098840584894302 0 0 0 0 0 0 0 0 0 0 0 0.000930692404201321 0 0 0 0 0 0 0 0 0 0 0 0 0.000954105839617446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0.000898805753588241 0 0 0.00091438476347162 0 0 0 0.000916389129718489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Robo2" 0.00137662762260483 0.00117388109343979 0.00114124807505594 0.00131021950864432 0.00125949652703835 0.0011646594658469 0.00121525408097441 0.00121521004502873 0.00106867581964187 0.00125257450230621 0.00105965478440654 0.00110637141804311 0 0 0 0.000893876327268308 0 0 0 0 0 0.00109471286560268 0 0.00109842924000615 0 0 0 0.00114840655871845 0.000914859962024201 0.00109048864584481 0.000865522883988859 0.00102522664431162 0 0 0.00109229105963487 0.000940188462459154 0.00106801211317599 0.00098084022342713 0.00107137147561098 0.00101960724016044 0.000974724901317766 0 0 0 0.000979246412260501 0 0 0 0 0 0 0 0 0.00100778202503555 0 0 0 0.000945479049039933 0.00100296546172441 0 0 0 0 0
"Npnt" 0.00180532145696707 0.00120210365908928 0.00107506601036718 0.0012023621690513 0.000980801325972377 0.000901046399898676 0.00103730381709926 0.00185399342469904 0.00145827001953106 0.00120826760384444 0 0.00103049966895166 0 0 0 0 0.00120493828922997 0 0 0 0 0 0 0.000956653168344495 0 0 0 0.000884520722072284 0 0 0 0.000960794612482697 0 0.00111046965798049 0.000973968006841039 0.00113797405350217 0.000964755994883464 0.000914584160821434 0.00091443028779641 0.000912900344461057 0.00102519210252912 0 0 0 0 0 0.00168431763478001 0 0 0 0.00152868802376784 0.00183768332152257 0.00209512405061531 0.00200512492165364 0.0020476004481234 0 0 0.000965145422172335 0.000871253012063869 0 0 0 0 0
"Tgfb2" 0.00207097973282112 0.0016894575952021 0.00151454997072472 0.00474956060083624 0.00152045450412193 0.001254124168963 0.00142447777506072 0.00185892402942727 0.00117231517273391 0.00154388001704188 0.00112016327656345 0.00159702134242239 0.000894492199205848 0.00242557139363462 0 0.00459734569206122 0.00111143923245213 0.00117019040478507 0.000964820933933504 0 0.00103043608339577 0.00127602743835237 0 0.00168922482696801 0 0.00246844269781697 0.00100125373912435 0.00140650589996203 0.000926208828820793 0.00131783949595512 0.000873540757441013 0.00137217481874949 0 0.00116082864448561 0.00158329931217404 0.00172826100479266 0.00161802556105402 0.00163787760678518 0.0014083566203029 0.00164419239163483 0.00146958672634208 0.00660110650680246 0 0.00124417335021175 0.00160163087432239 0.00142602060349172 0.00138365308350428 0 0.00542735549584775 0.00644025126790894 0.00130072409745742 0 0.00129287721465366 0.00140197963751172 0.00100041409982608 0.00130841337916431 0.00128892338819873 0.00138704306982556 0.00117961567914682 0 0.00119097263260828 0.00121193331594186 0 0.00117341204846873
"Selplg" 0.00102770745793143 0.000904741881375381 0.000919686547652892 0.00111377657575033 0 0 0.000872895734998556 0.0011329053881389 0 0.000965373967394006 0 0.000964261245650437 0 0 0 0 0 0 0 0 0 0 0 0.000909140051228258 0 0 0 0 0 0 0 0 0 0 0.00087028882602895 0.00086645749298692 0 0.000881866473870282 0 0 0.00089602821233515 0 0 0 0 0 0 0.00261856202650119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hebp1" 0.000872290936927467 0 0 0.000883621879443109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0.000894478263285006 0 0 0.000901904102813119 0 0 0 0.000949178423003988 0 0.000864862950377862 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0.00129226383481009 0.00104175730872633 0.0011501250835336 0.00123224826936406 0.000957120669424094 0.000929597147013273 0.000947162989681565 0.00144648496867395 0.000895888240558397 0.0011131919363162 0 0.00112218224299495 0 0 0 0.00098000849604127 0 0 0 0 0 0.000877661518862885 0 0.00110741517821459 0 0 0 0.000941890404822139 0 0 0 0 0 0 0.00103032214014789 0.0012113256328791 0.00101200316502565 0.00119188367094706 0.00101458346670644 0.000921807886634753 0 0 0 0 0.000907663840536573 0.00104174017392796 0.00124746467164829 0 0 0 0.000980947743712144 0 0 0 0 0 0 0.000878242839282222 0 0 0 0.000938190472426571 0 0
"Sema3f" 0.000986396165116234 0.000939816439359909 0 0.000983784773833812 0 0 0.000864964731061872 0.000958418991573124 0 0.000949600702346153 0 0.000892424181368936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.00116308123280775 0.00101371019557758 0.000971926038974133 0.0012137764609276 0.00106300445138318 0.0009295524560023 0.00108404011885786 0.00116760726142911 0.00087836854128808 0.00109895210722227 0 0.00100602624988035 0 0 0 0.00088611321527069 0 0 0 0 0 0 0 0.000975710229476413 0 0 0 0.00095873686814431 0 0 0 0 0 0 0.00207635953436987 0.000937496474569501 0.00091042819366725 0.000954830392065143 0.000924255608143483 0.000923284068162 0 0 0 0 0.0041169125117841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.00170652545263114 0.00157609138082823 0.00146940655695965 0.00171402362206595 0.00129258483736188 0.00132397506182081 0.00271055838891752 0.00175304959895765 0.00110235189829532 0.00145946510936595 0.000989281511075052 0.00145246228974306 0 0 0 0.00238775461227508 0 0.000898623516731355 0 0 0.000885882275499785 0.00495312976158389 0.00560687642095529 0.00288342824117119 0 0 0.000976490052279922 0.00123526067489422 0.000871972785625953 0.00103350868059592 0 0.00108051758178908 0 0.000884407037567602 0.00148323621566164 0.00140039492187465 0.00134645097729705 0.0014643995320808 0.00124360771361438 0.00131994407984827 0.00425854402963477 0.00277489061980416 0.00533752414006096 0.00211232064551137 0.0012808240111231 0.00125429501678053 0.00104074384429448 0 0 0 0.00115391861953744 0 0.00103884611944343 0.00118923648776653 0.000913626788214459 0.00107908739915419 0.0009789732095434 0.00117513110614033 0.0010768416409514 0 0 0.00105707560603152 0 0
"Trf" 0.00143417866455302 0.00141466846141701 0.00127598694127062 0.00144940946874807 0.0012441649387228 0.001278907113207 0.00135532719371551 0.00153028712903923 0.00104451534945397 0.00144116416053957 0.000952184386883791 0.00128055089710798 0 0 0 0.00113206805440037 0 0.000938228530962676 0 0 0 0.00379232108141822 0 0.00134917630442088 0 0 0.00389664162149841 0.00121473854490868 0 0.00114294530297519 0 0.00106488700975502 0 0 0.00118732573087166 0.00128357967373958 0.0012265141725706 0.00124912553627246 0.00122380914411356 0.00125281425836679 0.00105640264423089 0 0 0 0.00115099727155137 0.000980009746113315 0.00105937835544601 0 0 0 0.0010361642199373 0 0.00086202379961392 0.00111445029399152 0 0.00101393142521181 0 0.00106252253965015 0.00107263040395539 0 0 0.00105355869695867 0 0.000892252647136686
"Dll4" 0.00222892152937354 0.00155279467161122 0.00159516969907714 0.00211709920737251 0.00174999296331799 0.00164172896359844 0.00163330306677098 0.00195067239704965 0.00125021253953696 0.00165201347439638 0.00141480378805595 0.00218455968345461 0.00103669669863438 0 0.000973663024543574 0.00137800726843753 0 0.00112019320910129 0.000950074962124107 0 0.00101763011862404 0.00121433108199863 0 0.00172034950391455 0 0 0.0013500241197559 0.00139071133775004 0.00106897925733779 0.00142307417504101 0.000990971146665163 0.00160678197827474 0.00196885881649216 0.00181279464419215 0.00185753483398235 0.00151874966681638 0.00165200837089409 0.00163158379889414 0.00154348887308327 0.00169125364199352 0.00109339414783386 0.000911501882031344 0 0.00101678522386422 0.00143078965072025 0.00158330804946428 0.00129195362119148 0 0 0 0.0010703670352026 0.00130145586550706 0.00149093473611077 0.00147691135428896 0.00154663653165408 0.0014091315517251 0.0011654751566427 0.00143615002068585 0.00149200920147672 0 0.00118059007226186 0.00112845541413895 0 0.00102875998261959
"Ptdss1" 0.00185499853115631 0.00179368817632248 0.00180579221854254 0.00169164160903666 0.00189733496336293 0.0018502730951429 0.00188748123485317 0.00155848436794855 0.0015100819329221 0.00182194918226987 0.00172007644544528 0.00171843651180771 0.00100827783519996 0.0010140263969509 0.00128833449915092 0.00129373467618256 0 0.00103436120908337 0.00105606258656977 0.000920701297033997 0.00104211269763231 0.00142098257514852 0 0.001344820144097 0 0 0 0.00179587281462346 0.00172155594824628 0.00179561906579755 0.00174197207390033 0.00174397337902247 0.00109661773358453 0.00108178974333674 0.00148755016640069 0.00117695111341336 0.00160610008789903 0.0013730370789727 0.00158057572942381 0.00133461543267553 0.00138118329296476 0 0 0.000948792673837142 0.00127634416703008 0.000945206166966144 0.00135426072851347 0 0 0 0.00115390118288778 0 0.00120127401737877 0.00170513743929363 0.00153303424558572 0.00122751156831175 0 0.00130813222789459 0.00164233846969797 0 0.000959538747837168 0.00111789230232733 0.00115843403153829 0.00145552588575379
"Vegfa" 0.00162788520857703 0.00130843253079308 0.00137065221554597 0.00165546803371112 0.00124535983460718 0.00119254421227772 0.00134260268084396 0.00160320559239241 0.0024203298334835 0.0014012070949917 0.00087423171167665 0.0012936202448339 0.00223136204419753 0.00221129826976112 0.00212347510472588 0.00240318969403861 0.00258382754283819 0.00217643341410883 0.00202321285548803 0.00231859823238851 0.00233517363590454 0.00387769051653293 0.00208840243183315 0.00284044703400125 0.00475691902178917 0.00237301976242974 0.0039990731412746 0.00122503156799166 0 0.000970533316536547 0 0.00108588422075647 0 0 0.00135991631917548 0.00135138172487628 0.00113306838607829 0.00143050603226441 0.00113302506874327 0.0012342844390146 0.00120044997756414 0 0 0 0.0012150415176645 0.00117739631953542 0.000990103170063683 0 0 0 0.00101157074145241 0 0 0.0010316687526605 0 0.00104196716203799 0.000928821406543185 0.00107153523879073 0.00104097823216364 0 0 0.00102260764670138 0 0
"Manf" 0.00127507820990402 0.00124669305600276 0.00122949474942976 0.00113424568314177 0.00116964760390352 0.00110624564770368 0.00127641383298859 0.00108260972569971 0.00110041747062286 0.00109074697058973 0.00107664980865046 0.0011251219272539 0 0 0 0 0 0 0 0 0 0.000945505401841766 0 0.00105778158415921 0 0 0 0.000988155110131294 0.000935696821563687 0.00101375558850314 0.000946503642317148 0.00103394828274971 0 0 0.000913088011359233 0 0.00102555795182964 0.000945007497420113 0.00104258195196587 0.00101525552951803 0.000956138672895434 0 0 0 0.000935940251410519 0 0 0 0 0 0 0 0 0.00100609072373593 0 0 0 0.000901363512707294 0.000967468695201484 0 0 0 0 0.000881745579862839
