"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Mmp9"	0.58345912812772	0.226961999445411	0.0813411763711933	0.148219595113551	1	"Granulocytes"	""
"2"	"Vegfa"	0.578112600760142	0.222218724913378	0.0765979018391602	0.14363912231242	2	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum"
"3"	"Lgals3"	0.571610054037069	0.224332589414494	0.0787117663402771	0.138649378137754	3	"Airway, MNP"	"Airway"
"4"	"Fgf1"	0.580500713002908	0.222207644749092	0.0765868216748748	0.135797853451271	4	"Airway, Alveolum, Capillary_ECs"	""
"5"	"Pf4"	0.568753567500594	0.22403200418606	0.0784111811118428	0.135765210205127	5	"MNP"	""
"6"	"Itgam"	0.578811681712325	0.226669163337679	0.0810483402634614	0.134462993801293	6	"Granulocytes, MNP"	""
"7"	"Tgfb1"	0.576501134639215	0.213363807030803	0.0677429839565853	0.133707979674322	7	"Lymphatic_ECs, MNP"	""
"8"	"Gmfb"	0.577209662631288	0.227795329420105	0.0821745063458876	0.133180869883691	8	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, Vascular_ECs"	""
"9"	"Sema5a"	0.579082662593504	0.222149494838184	0.0765286717639667	0.131806722051706	9	"Fibroblasts, SMC"	""
"10"	"Vcam1"	0.584010039717347	0.225038657577146	0.0794178345029285	0.131344260576613	10	"Fibroblasts, Vascular_ECs"	""
"11"	"Cxcl12"	0.572415041278595	0.215044907973437	0.0694240848992193	0.129103546125123	11	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"Capillary_ECs"
"12"	"Hbegf"	0.57387436033596	0.21448291380698	0.0688620907327624	0.128984043611906	12	"Alveolum, Pericytes, SMC"	"Alveolum"
"13"	"Tnfsf13b"	0.57565736481286	0.219606997707734	0.0739861746335164	0.128660895003637	13	"Fibroblasts"	""
"14"	"Yars"	0.585759233735677	0.219456231620403	0.0738354085461861	0.128531341114264	14	"Fibroblasts, Lymphatic_ECs"	""
"15"	"Hc"	0.570705624270342	0.21525294099203	0.0696321179178128	0.126567139975131	15	"Alveolum"	""
"16"	"Plxnb2"	0.573382119836202	0.221593379555339	0.075972556481122	0.126480817027385	16	"Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes"	""
"17"	"Pecam1"	0.577791401403734	0.215569016520741	0.0699481934465236	0.125202877160878	17	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"18"	"Lrpap1"	0.571483264817438	0.220791813786588	0.0751709907123705	0.125096744907299	18	"Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"19"	"Nectin1"	0.580151669739441	0.216421171614061	0.0708003485398437	0.125079193431377	19	"Alveolum"	""
"20"	"Pdgfb"	0.575662336939125	0.21373161981045	0.0681107967362331	0.12404499892004	20	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"21"	"Itgb2"	0.574607251746711	0.216917379065113	0.071296555990896	0.123779242704843	21	"Granulocytes, Lymphocytes, MNP"	""
"22"	"Itgb1"	0.571585690618399	0.215505029420273	0.0698842063460558	0.123096391920812	22	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"23"	"Psap"	0.578466616149864	0.211640662487183	0.0660198394129655	0.122005074286373	23	"MNP"	""
"24"	"Hmgb1"	0.56735739444673	0.21401260893994	0.0683917858657225	0.12180712215155	24	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"25"	"Pros1"	0.571216261637264	0.218286228857543	0.0726654057833259	0.121486856057278	25	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	""
"26"	"Bdnf"	0.570971633025261	0.209814355240171	0.0641935321659538	0.121276501727435	26	"Mesothelium"	""
"27"	"Vegfc"	0.573255330616566	0.211399300474921	0.0657784774007039	0.121261452667118	27	"Vascular_ECs"	"Vascular_ECs"
"28"	"Itga4"	0.574216442622659	0.218450642591431	0.0728298195172132	0.121207142127883	28	"Granulocytes, Lymphocytes, MNP"	""
"29"	"Gpi1"	0.571810430725354	0.218878648297865	0.0732578252236476	0.121174368081686	29	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs"	"Alveolum"
"30"	"Pgf"	0.570473923186618	0.213490654523129	0.0678698314489115	0.12108583739938	30	"Lymphatic_ECs, Pericytes, SMC"	"Pericytes"
"31"	"Rps19"	0.574404388995293	0.221171921443014	0.0755510983687968	0.120182308667117	31	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Granulocytes"
"32"	"Arf1"	0.571264491261986	0.217266833796769	0.0716460107225512	0.120165956712514	32	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"SMC"
"33"	"Adam17"	0.571935231094486	0.206586328528777	0.0609655054545592	0.119686543255896	33	"Fibroblasts, Lymphatic_ECs, MNP"	""
"34"	"Dusp18"	0.563960934998401	0.217795741043114	0.0721749179688971	0.119499349887413	34	"Airway"	""
"35"	"Efnb2"	0.569455631728534	0.215755550994196	0.0701347279199791	0.119406441810121	35	"Capillary_ECs, Vascular_ECs"	""
"36"	"Col18a1"	0.566247118652837	0.213205168036679	0.0675843449624618	0.11934561294227	36	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"	"Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"
"37"	"Sema7a"	0.574309918596349	0.219900829507518	0.0742800064333005	0.119326304043255	37	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"38"	"Tnc"	0.572730771296118	0.210079654885979	0.0644588318117612	0.118988022927492	38	"Fibroblasts, Lymphatic_ECs"	"Fibroblasts"
"39"	"Aimp1"	0.569152332026664	0.214734410077427	0.0691135870032099	0.118526347227273	39	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"40"	"Bmp4"	0.559593916504081	0.210964801929342	0.0653439788551248	0.118105957936127	40	"Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs"	""
"41"	"Col1a1"	0.570093058315089	0.212577442544571	0.0669566194703538	0.118078502505824	41	"Fibroblasts, Pericytes, SMC"	"Fibroblasts, Pericytes"
"42"	"Hsp90b1"	0.570989035467175	0.21578961949345	0.0701687964192322	0.118074282225206	42	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"43"	"Vegfd"	0.571484756455313	0.214563615371185	0.0689427922969679	0.11800023974102	43	"Fibroblasts"	""
"44"	"Selplg"	0.568628269918838	0.212215657082686	0.0665948340084687	0.117915655064354	44	"Granulocytes, Lymphocytes, MNP"	""
"45"	"Hspg2"	0.573248369639803	0.213469497081304	0.0678486740070871	0.117559256904174	45	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	""
"46"	"Fbn1"	0.570034884437843	0.214383971072402	0.0687631479981846	0.1174601205009	46	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Fibroblasts, Pericytes"
"47"	"Spp1"	0.57807879030157	0.213618246385754	0.0679974233115365	0.117458786982749	47	"Fibroblasts, MNP, Pericytes"	"Fibroblasts, MNP"
"48"	"Itgb7"	0.57291125947936	0.211948496647387	0.0663276735731695	0.117363430036362	48	"Lymphocytes, MNP"	"Lymphocytes"
"49"	"Bmp3"	0.578523795601855	0.205695449830922	0.0600746267567047	0.117202930590329	49	"Fibroblasts, Mesothelium, SMC"	""
"50"	"Col4a1"	0.575972100405131	0.207579023984159	0.0619582009099413	0.117041515684913	50	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs"
"51"	"Ptprf"	0.572364822803367	0.209994399160334	0.0643735760861162	0.116654533492755	51	"Airway, Alveolum, Mesothelium"	""
