Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	0	20	0	0	0	39	1	0	3	30	6	0
Alveolum	0	29	1	0	0	49	0	0	4	33	7	0
MNP	0	29	2	0	0	38	2	1	2	31	8	0
Lymphocytes	0	9	0	0	0	15	0	0	1	12	4	0
Granulocytes	0	12	1	0	0	19	1	0	3	17	4	0
Fibroblasts	0	39	2	1	0	74	8	1	3	54	10	0
Pericytes	0	26	0	0	0	47	3	1	2	35	6	0
SMC	0	28	1	0	0	52	2	0	3	36	5	0
Mesothelium	0	24	1	0	0	48	2	0	3	34	6	0
Capillary_ECs	0	26	0	0	0	47	2	1	0	37	6	0
Vascular_ECs	0	30	0	0	0	54	2	1	1	42	7	0
Lymphatic_ECs	0	33	0	0	0	59	1	0	4	43	7	0
