"Actb" "Ccnd1" "Cd44" "Clic1" "Col1a2" "Col3a1" "Eln" "Fn1" "Nrcam" "Pfn1" "Runx1" "Sept9" "Serpine1" "Thbs1" "Timp1" "Tnc" "Tubb5" "Vcan" "Adamts4" "Anxa2" "Bax" "Cdk6" "Col1a1" "Ecscr" "Fmod" "Gapdh" "Igf1" "Itgb5" "Mmp2" "P4hb" "Pdgfrb" "Sdc1" "Spp1" "Acta2" "Enc1" "Lama5" "Myh9" "Ncam1" "Pdgfa" "Postn" "Sparc" "Fst" "Grem1" "Adamts12" "Dkk2" "Fbn1" "Isyna1" "Mical2" "Vim" "Tpm1" "Hbegf" "Col8a1" "Inhba" "Itgb1" "Mmp14" "Ranbp1" "Tm4sf1" "Col4a1" "Lgals1" "Fkbp5" "Eno1" "Ldha" "Pcdh7" "Sfrp1" "Tnfrsf12a" "Slc20a1" "Arpc2"
"Rps19" 0 0.00126701179914019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam9" 0.00104802276845768 0.0012481863291085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00146436565661762 0.00203720956877876 0.00114788365570801 0.00142324624452076 0 0 0 0.00130616209103307 0 0.00132626750936323 0.00140041659020334 0.00145263552012441 0.00166968055547085 0.0011375497307543 0 0 0.00142819368202294 0.00113739933376292 0 0.00112038644403343 0.00124997681365567 0.00112359257303689 0.00114054163702413 0 0 0.0014149408589975 0 0 0 0 0 0.00106031660952218 0 0 0.00117271966596214 0.00122988117256969 0.00129952860585796 0 0 0 0 0 0 0 0 0 0 0.00106046578611155 0.00128875988543163 0.00121468668190827 0 0 0 0 0 0.00124056005856439 0.00119971916877171 0 0 0.00121146112026451 0.00118274633882868 0 0 0 0.00117495971312081 0.00106043679334676 0
"Ncam1" 0.001215445024343 0.00164978115880154 0 0.00116109815986421 0 0 0 0.00111270075750677 0 0.00114788993475872 0.00127469389520415 0.0012551794033602 0.00132572456540935 0 0 0 0.0011133369303817 0 0 0 0 0.00106602461539138 0 0 0 0.00117183126699847 0 0 0 0 0 0 0 0 0 0.00107814878269887 0.00116652291974866 0.00110614269866092 0 0 0 0 0 0 0 0 0 0 0.00107987771137543 0 0 0 0 0 0 0 0 0 0 0.00111369374376677 0 0 0 0 0 0 0
"Sema3a" 0.00134774374240879 0.00170722220684351 0 0.00136669305558481 0 0 0 0.00116723223747363 0 0.00109600872706478 0.00128682450635095 0.00132954149592478 0.00147584366585852 0 0 0 0.00124072333390752 0.00105654434063694 0 0 0.00111034357758463 0.0010970713911663 0 0 0 0.00115019006047137 0 0 0.00108443578984364 0 0 0.00104621291619056 0 0 0 0.00114175130349577 0.0012148091945638 0 0 0 0 0 0 0 0 0 0 0.00119462800676017 0.00109607603136889 0 0 0 0 0.00105364566467196 0 0.00110527376914726 0.00107515164478687 0 0 0 0 0 0 0 0 0 0
"Sfrp2" 0.00145823140480373 0.00208891783386218 0 0.00118848372706143 0.00105148724644523 0 0 0.00148353628489058 0 0.00106256756627235 0.00169176044608365 0.00128257851090195 0.00163573133508852 0.00113688277023433 0 0.00120853363102754 0.0012675575860305 0.00144788535892235 0 0.00127563529126655 0 0.00153828439942231 0.00108924996446809 0 0.00118870539870535 0.00109313777080894 0.00137537577703719 0 0.00125033476385552 0 0 0.00156615232965021 0 0 0.00135855541738664 0.00115233129142914 0.00136871529297371 0.00145609868130969 0 0 0 0.0015555363456321 0 0 0.00112844081606404 0 0 0.00112845801996772 0 0.00129352040835001 0.00118331243608323 0 0.00108438252354312 0.00111830438737323 0 0.00113657784269927 0 0 0 0.00139376940632323 0.00108506481329835 0 0.00159755579995506 0.00136840151192835 0.00117233013581305 0.00150075167287394 0
"Gpnmb" 0.00146825565438266 0.00230456408527842 0.00118234660430331 0.00121093098401478 0.00128867417432469 0.00127876760601672 0 0.00192563707692042 0.00117167918395468 0.00109745086056725 0.00155016439890895 0.00159536846676245 0.00241442741793542 0.00114553140641393 0.00105612474880016 0.00141798284480805 0.0015855814752226 0.00151521031433692 0.00111380297065219 0.00140925761830266 0.00152132850338436 0.00193149762755719 0.00121351844154497 0 0.00172541048932188 0.00191245548144206 0.00136663107985024 0.0012741869432758 0.00153325641080969 0 0 0.00125468996717568 0 0 0.00166523858580284 0.00134171323270619 0.00156233422190602 0.00117064367263596 0 0 0 0.00127720811233552 0 0 0.00123656357244472 0 0 0.00176611689179579 0.00108200029051869 0.00158941248080179 0.00125552164246747 0 0 0.00120681907677962 0 0 0.00117237354263148 0 0 0.00197742108970815 0.00203770783059433 0.00198972587066422 0.00136215102531068 0.00152528112183901 0.00118577146727512 0.00159341769799088 0
"Yars" 0 0.00139265318762368 0 0 0 0 0 0.00117306738261956 0 0 0.00116021126250794 0.00111767945265177 0.00130132172395418 0 0 0 0.00112218224299495 0.00111843634942536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0011733813897788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0.00130640296869222 0 0 0 0 0 0 0 0 0 0 0.00111300782215802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0.00117521952264516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
