"Basp1" "Cdkn1a" "Gsto1" "Icam1" "Ifit3" "Smpd3" "Aqp4" "Areg" "Elf3" "Ghrl" "Tymp" "Stat1" "Gapdh" "Isyna1" "Irf9" "Mxi1" "Ctsk" "Odc1" "Etfbkmt" "Hacd1" "Anxa2" "Chil1" "Clu" "Ldha" "P4hb" "Cdk4" "Gal3st1" "Ltf" "Ifih1" "Akr1b8" "Timp4" "Eno1" "Mrpl40" "B4galt1" "Bcas1" "Krt19" "Lbp"
"Ptprc" 0 0.00171937967299817 0 0.00133963422988561 0 0 0 0 0 0 0 0.00126660090568548 0 0 0.00125457246721014 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0022782943652454 0 0 0 0 0 0 0 0
"Adam17" 0 0.00206911530949821 0 0.00152664699934757 0 0 0 0 0.00142255426229398 0 0 0.00126044164459815 0.00127317639260921 0 0 0.00118450879260952 0 0.00127662942315781 0 0 0 0 0 0 0 0 0 0.00259341144660778 0 0 0 0 0 0 0 0 0
"Lama2" 0 0.00348529324590653 0 0 0 0 0.00529107177266641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00473036635403997 0 0 0 0 0.00624403001915468 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0.00301269652847111 0 0.00248838117738215 0 0 0 0 0.00137348816288632 0 0 0.00128622952732095 0.00271055838891752 0 0 0.00127884938288753 0 0.00120542844579429 0 0 0.00238775461227508 0 0 0 0.00201522497073303 0.0052417072095753 0 0 0 0 0 0.00128235102553557 0 0.00126516424472822 0 0 0
"Vegfa" 0 0.00201992273566579 0 0.002338318134906 0 0 0 0 0.00138132568656035 0 0 0 0.00134260268084396 0 0 0.00118877378978175 0 0.00125480993535232 0 0 0.00240318969403861 0.00234148531507331 0.00217643341410883 0.0024203298334835 0.0019843370875547 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp5" 0 0.00243775803578108 0 0.00139543571100306 0.00129710013644704 0 0 0 0.00155583176946731 0 0 0.00133891106136126 0.00128514513399694 0 0.00122203713743159 0.00175800408997506 0 0.00141338586920332 0.00468312304954623 0.0025579514966613 0.00161609411245662 0 0.00136648937295704 0.00132086141429189 0 0 0 0 0 0 0 0.0012380124727546 0.00137876159138677 0.0013329319574764 0 0.00124516119284805 0
"Nrtn" 0 0.00158842719286165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il33" 0 0.00144356568724919 0 0.00219908152407586 0 0 0 0 0 0 0 0 0 0 0 0 0.00211559487802163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0 0.00480643361495988 0 0.00142995270602061 0 0 0 0 0.00146455222931538 0 0.00254993522759856 0.00258822823634056 0.00130594829431234 0 0.00147426173279776 0.00143194018182269 0 0.00134851874334653 0 0 0.00127674229655615 0 0 0 0 0.00119732693222788 0 0 0 0 0 0.00122773499227046 0.00125614265557404 0 0.00123264698910806 0.00124856663232007 0
"Cxcl12" 0 0.00367438744373611 0 0.00122619544728706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0 0.00188972934016114 0 0.00229219060221284 0 0 0.00713866059941827 0 0.00118514565698407 0 0 0 0.00126633164836397 0.00210794094243877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1rn" 0 0.00197102569365138 0 0.00296230459409371 0 0 0 0 0.00159127258340463 0.00474216206573301 0 0.00148958311223904 0 0 0 0 0 0.00128086242132211 0 0 0.00118495064694029 0 0 0 0 0 0 0 0 0 0 0 0 0.00124923307747795 0 0 0
"Il1b" 0 0.00457889077460727 0 0.00530429172618764 0.00120954074822048 0 0.007264524229581 0.00678499376436745 0.00504072336369866 0.00473709315127895 0.00510500516097684 0.00150990251685971 0.00162769845514528 0.00248824112780248 0.00145874428623768 0.00143487219722535 0 0.00154017991191509 0 0 0.00261117992049089 0 0 0.00125830803449759 0 0 0 0 0 0 0 0.00149459820693863 0.00129673762235916 0.00146743375583962 0 0 0.00128424873935862
"Tgfb1" 0.0044648967027366 0.00548303347996596 0.00422712107505249 0.00403017469022695 0.00466566099947073 0.00491288796084232 0 0 0.00148904940255351 0 0 0.00134403542332266 0.00153336342413857 0.00244096580435543 0.00123834167437694 0.00272808400542051 0.00235088053120539 0.00142562893293575 0 0 0.00136584088336789 0 0.00239610071735005 0 0 0.00121297957310639 0 0 0.0023373522653487 0 0.00255679669660057 0.00137383199363539 0.0012791642420613 0.00135054142200582 0 0.00125821995254738 0
