"Abca1" "C1qb" "C1qc" "C3ar1" "Hmgcs1" "Igf1" "Nek6" "Spp1" "Timp2" "Acp5" "Adam9" "Cd14" "Cd68" "Ctsk" "Fn1" "Msr1" "Selenof" "Svbp" "Cd300lf" "Dpep2" "Nrp2" "Slc48a1" "Cd200r4" "Trem2" "Lyz2" "Ctnnb1" "Dhrs3" "Gsn" "Pmepa1" "Aldoa" "Ctsb" "Fam129b" "Mmp14" "Arg1" "Fkbp5" "Slc3a2" "Cd72" "Itgb5" "Nme1" "Hist1h2bc" "Myl12a" "Rnf128" "Fth1" "Fcgr3" "Anxa3" "Lgals1" "Emp1" "Rnase4" "Clec5a"
"Vegfc" 0 0 0 0 0 0 0.00142397638507753 0 0 0 0 0 0 0 0.00121493178321917 0 0 0 0 0 0.00229929431217204 0 0 0 0 0.00122926179847818 0.00137384608872186 0.00123394273481675 0 0.00107675419360986 0 0.00120271605847513 0 0 0.00111996443219644 0 0 0 0 0 0 0 0.00111350673640197 0 0 0 0.00108874896612151 0 0
"Calm1" 0 0 0 0 0 0 0.00109689881570449 0 0 0 0 0 0 0 0.00110436595243795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00496318180627517 0 0 0 0 0 0 0
"Npnt" 0 0 0 0 0 0 0.00112470663214934 0.00124128190547671 0 0 0 0 0 0.00194615578682158 0 0 0 0 0 0 0.00209512405061531 0 0 0 0 0 0.00118227438342713 0 0 0 0 0 0 0 0 0 0 0 0 0.00163842029334009 0.00168886951645976 0 0 0 0 0 0 0 0
"Vegfa" 0 0 0 0 0 0 0.00137793475686286 0 0.00432247876643764 0 0 0 0 0 0.00138374225895684 0 0 0 0 0 0 0 0 0 0 0.00114524203167432 0.00124791508706579 0.00126679382879855 0.00108782476196448 0.00122503156799166 0 0.00124535983460718 0 0 0.00119254421227772 0.00109187683850735 0.00206792822043719 0.00210082044401233 0.00409972140266582 0 0 0 0.00115793639763791 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col5a3" 0 0 0 0 0 0 0.00113795040469671 0 0 0 0 0 0 0 0.00115700867749609 0 0 0 0 0 0 0 0 0 0 0.00117206376395935 0.00123641885025118 0.00119786374854643 0.0011587087191155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cdh1" 0 0 0 0 0 0 0.0011340754933156 0 0 0 0 0 0 0 0.00122745417984163 0 0 0 0 0 0 0 0 0 0 0.00113705819240877 0.00117835392012423 0.00119124915105893 0 0 0 0.00111598118424574 0 0.00515533296214714 0 0.00107895630540522 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ntn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00497405194522533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109018369767211 0 0 0 0 0 0 0 0 0 0 0 0 0.00436968484743069 0 0 0 0 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0.00115645052141167 0 0 0 0 0.00275816006889406 0.00153150769027882 0 0 0 0 0.00110650316174476 0 0 0.00132296024591051 0 0 0 0 0 0 0 0 0 0 0.0012962205943303 0.00150897617203907 0.00155468924800222 0.00112709493658926 0.00149119568498676 0.00259491672564111 0.00135536435650387 0 0 0.00134375682076803 0.00130462759412336 0 0.00107852838971657 0.00115615121940938 0.00112295786143147 0 0 0.00133139496128946 0 0 0 0.0013860572863501 0.00108066472925912 0
"Tgfb3" 0 0 0 0 0 0 0.00152638043216141 0.00219667614821806 0 0 0 0 0.00111638560986339 0 0.00446920500700439 0 0 0 0 0 0 0 0 0 0 0.0015240775186852 0.00148462792121911 0.00167113764313001 0.00144443019006582 0 0.00108764383602621 0.0012831778123221 0 0 0.00111162962357845 0.00131962936212562 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0 0 0 0 0 0.00143979714863163 0.00179611079256067 0.00424300511753034 0 0 0 0.00121878653952357 0.00121822082984352 0 0.0048917055913293 0 0 0 0 0 0.00129287721465366 0 0 0 0.00562631549406497 0.00152156880015515 0.00167498453284976 0.00166927348933181 0.00134580080960641 0.00140650589996203 0.00132999121532327 0.00152045450412193 0 0 0.001254124168963 0.00148816614891592 0 0 0.0010961864018516 0.00143920980697632 0 0 0.00144094797029008 0 0 0 0.00121193331594186 0.0011949254612091 0
"App" 0.00410464546975756 0 0 0 0 0 0.004474178417893 0 0 0 0 0 0 0 0 0.00664361245058503 0 0 0 0 0 0 0.00699739293598094 0.00903548484531286 0.00512290106920704 0.00376132257972404 0.00115252209321625 0.00108618115489059 0 0 0 0.00471884479073174 0 0.00507524488284485 0 0 0 0 0 0 0.00415188005772845 0 0 0 0 0 0 0 0.00638129192082641
"Lama2" 0 0 0 0.00498958833575301 0 0 0 0.00396458162870324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00710854235427881 0.00665882289727644 0 0 0 0 0 0 0 0 0 0.0051191515837194 0 0.00398159260466623 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ltf" 0.00687150991037648 0 0 0 0 0 0.00146813447088651 0 0 0 0 0 0 0 0.00134578290956992 0 0 0 0.0106159538823016 0.0105320765310518 0.00791853548395338 0.0082409130699163 0 0 0 0.00122995626701664 0.00187852343899027 0.00138883124381469 0.00114251305090252 0.00179111449493899 0 0.00136823193545434 0 0 0.00126514484270815 0.0012151835406701 0 0 0 0.00122582786041209 0 0 0.00118906582235814 0 0 0 0 0.00113314480481049 0
"Mif" 0 0 0 0 0.0126435145342553 0 0.00140743092386163 0 0 0 0 0 0 0 0.00130879325689627 0 0.0201707322635102 0.0170962412771872 0 0 0 0 0 0 0 0.00113317848930255 0.00778115062060215 0.00124647678317545 0 0 0 0.00128719016905218 0 0 0.00112946949276368 0.00111817891106401 0 0 0.00429003743485951 0.00115832296577208 0 0 0 0 0.00450733377374691 0 0 0 0
"Csf1" 0 0 0 0 0 0.00230757315500023 0.00132894521494624 0 0 0.00476711552751169 0.00206987233832151 0.0043400854220546 0.00214939784101277 0.00715462186468611 0.00129742882723872 0.00299846426066718 0 0 0 0 0 0 0 0 0 0.00118470324366885 0.00117369562029439 0.00121991114060479 0 0 0 0.00119800010429064 0 0 0.00120001639944626 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0.00548961383709839 0.00565009664284423 0.00517445847791113 0.00490866589710499 0.00396959391231876 0.00398311039481062 0.00110183510632212 0.00392423267835548 0.00420291883098396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
