"Actb" "Ahnak" "Bax" "Bcl2l1" "Capn2" "Ccnd1" "Cdkn1a" "Clic1" "Epha2" "Flot1" "Gadd45b" "Gapdh" "Icam1" "Krt8" "Lmna" "Mbnl1" "Mcl1" "Nek6" "Pfn1" "S100a10" "Sema3b" "Socs3" "Trib1" "Ubc" "Vegfa" "Anxa2" "Clu" "Cox5a" "Gja1" "Gpi1" "Msn" "Nme1" "Psmc6" "Sod2" "Sparc" "Tnfrsf12a" "Aldoa" "Lama5" "Lcn2" "Mdm2" "Ranbp1" "Slc25a25" "Slc3a2" "Myh9" "Cd14" "Ilk" "Ndst1" "Ager" "Col4a1" "Cryab" "Fkbp1a" "Hspb1" "Itgb6" "Krt18" "Sqstm1" "Elob" "Ceacam1" "Rcan1" "Slc9a3r1" "Tmbim1" "Ybx1" "Fth1" "Ftl1" "Hist1h2bc" "Lasp1" "Pcbp1" "Tmem37" "Akr1b8" "Pkm" "Gnas" "Timp3" "Isyna1" "Hcfc1r1" "Mif"
"Vcam1" 0 0 0 0 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema5a" 0 0 0 0 0 0.00123229623941838 0.00138821599248424 0 0 0 0.00107502364355481 0 0 0 0 0 0 0 0 0 0 0 0 0.00112302702149244 0.00114623273393842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141332004099068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00146436565661762 0.00143835242818774 0.00124997681365567 0.00172149290967417 0.00123376201769803 0.00203720956877876 0.00209926887534938 0.00142324624452076 0.00149109169595583 0.00136957856631868 0.00164837402393786 0.0014149408589975 0.00150078933272534 0.00136471790140663 0.00157370325653899 0.00105098682811731 0.00130870317544449 0.00139070888272008 0.00132626750936323 0.00127567154441732 0.00134421922176249 0.00131696037980448 0.00159100233307114 0.00185067766698966 0.00168010448813103 0.00112038644403343 0 0 0.00105377617959486 0 0 0 0 0.00114366129344655 0 0.00117495971312081 0.00114994905029895 0.00122988117256969 0 0.00130925407845439 0.00124056005856439 0.00120228284621177 0.00116535071754077 0.00129952860585796 0 0 0.00116014863973206 0.00117697438447532 0 0 0 0.00115034892481608 0 0 0.00144407965791444 0 0 0 0.00112464230652415 0 0 0.00111603707042748 0.00119514821173289 0.00126330688839476 0.00112132693994928 0.00105160979772406 0 0 0.00104933331459789 0.00122241312625556 0 0 0.00114090039615934 0
"Tgfb1" 0.00296597953804268 0.00175568893670016 0.00501298582846888 0.00176299322375367 0.00136616305241965 0.0049155449618628 0.00548303347996596 0.00164313488636811 0.00189555020617561 0.00167447646451182 0.00315856619923651 0.00153336342413857 0.00403017469022695 0.00157339741274326 0.00180035545017696 0.00147227420209035 0.00456380015609211 0.00161445740760965 0.00149627334430383 0.00146975144794285 0.00140104309771909 0.00567161006627657 0.00192981854355597 0.0021377044995426 0.00485364706094005 0.00136584088336789 0.00239610071735005 0 0.00259638499600507 0 0 0.00433370091195563 0 0.00392899524263237 0.002517570023229 0.00264835032139451 0.00131030416960445 0.00286538023665182 0 0.0045332986722952 0.00144999892443804 0.00143939086324581 0.00141667766262817 0.00159500839792795 0.00460091968010032 0.00224681748399341 0.00133198517731623 0.00482613282333761 0.00485394028475774 0.00461832386426685 0.00436841205840133 0.0058713530651132 0.00606760576984587 0.0044065352416625 0.00134011800486834 0 0 0.00120977130048633 0.00131350235045724 0.00116732630200109 0.00110178470921392 0.001313046198603 0.00130402177020084 0.00135897311552173 0.00141422925106265 0.00127768819822119 0.00114093334736303 0 0.00119245953389744 0.00129140126221758 0.00254983793205014 0.00244096580435543 0.00142256473013412 0
"Itgam" 0.00115234982413562 0.00129404308203525 0 0.00137713515200171 0 0.00155234244201311 0.00166340261824615 0.00108973802830415 0.00127118773598424 0 0.00142862833365383 0.00106662959338067 0.00124723211845029 0.00114668509097908 0.00125403050002514 0 0.00112066620251466 0.0012089409520911 0.00105569737502626 0.00107716172904599 0 0.00112798956222543 0.00129601665118742 0.00136526632307033 0.00146694737172499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107240406286459 0 0 0.00106504455545974 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pf4" 0 0 0 0 0 0.00125339148707614 0.0011988647909831 0 0 0 0 0 0.00186589974392343 0 0 0 0 0 0 0 0 0 0 0 0.00112431712604636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00192963413564868 0.00182246460460702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00126282497199686 0.00128970280557901 0.00361100199031988 0.00143074188544829 0 0.00165517880547517 0.00172438615322352 0.00121390140459223 0.00141576775432903 0.00113540887855102 0.00137612788392824 0.00108596591128406 0.00127275023603779 0.00111551779827115 0.00127898498401072 0 0.00119553385183569 0.00117304364984508 0.00106913997913822 0.00111542611823456 0 0.001193556247153 0.00127690208138573 0.0014248951502895 0.00143211986828032 0 0 0 0 0 0 0 0 0 0.00224052357432998 0 0 0 0 0.00106290315168148 0.00104347468283822 0.00105589512616555 0 0.00110625333023813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0.00116641818947899 0 0.00107684042868941 0 0.00134862195131715 0.00152125277648955 0 0.0011609513420231 0 0.00235597249778768 0.00108404011885786 0 0 0.00118340757477034 0 0 0.0010510435383563 0 0 0 0.00207635953436987 0.00110536407315798 0.00126742257183738 0.00124898861495364 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00392451796822546 0 0 0 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00136483375622213 0.00147252459272457 0.00378673150218 0.00153306670251271 0.00113814705480148 0.00264269157748718 0.00201992273566579 0.00130843253079308 0.0030021255700173 0.00135138172487628 0.00164521067322292 0.00134260268084396 0.002338318134906 0.00128030598250634 0.00151237439748309 0.00115944325864999 0.00249151263747815 0.00137793475686286 0.00129501658638254 0.0011987761797914 0.00123721883563742 0.00135991631917548 0.00154240272111087 0.00165028049266444 0.00178682373246822 0.00240318969403861 0.00217643341410883 0.00202321285548803 0.0023594748343614 0.00231859823238851 0.00222737839392906 0.00409972140266582 0.00220086392390706 0.00380124637861206 0.00237301976242974 0.0023354608153539 0.00122503156799166 0.00116391919297703 0 0.00122923846880237 0.00120097359757553 0.00124814820161224 0.00109187683850735 0.00128197535357335 0 0 0.00113935963216323 0 0 0 0 0.00104914166599352 0 0 0.00114664890504936 0 0 0 0 0 0 0.00115793639763791 0 0 0.00115722874407488 0 0 0 0 0 0 0 0.00105883457183426 0
"Mmp9" 0.00136532258067635 0.00131705432545645 0.00364748249297431 0.00400475789821093 0.00116157806797452 0.00168013374448286 0.00177374486570155 0.00143850333762942 0.00147147323090061 0.00123968510073616 0.00142764362254368 0.00117644706106746 0.00117875673257323 0.0012980459797124 0.00148103936851367 0.00116971118941245 0.0042324033320783 0.00123223718832004 0.00123962414145568 0.00118372286416479 0.00119330277637678 0.00119176949545885 0.00137758463810955 0.00159847130534817 0.0023646425721241 0 0 0 0 0 0 0 0 0 0 0.00113931068814894 0 0.00110725377784128 0 0.00104955035575396 0.00112203972725607 0.0011344046008952 0 0.00114688291389529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105030902702687 0.00107855341353025 0 0 0 0 0 0 0 0 0.00110434766658601 0
