"Actb" "Ahnak" "Bax" "Bcl2l1" "Capn2" "Ccnd1" "Cdkn1a" "Clic1" "Epha2" "Flot1" "Gadd45b" "Gapdh" "Icam1" "Krt8" "Lmna" "Mbnl1" "Mcl1" "Nek6" "Pfn1" "S100a10" "Sema3b" "Socs3" "Trib1" "Ubc" "Vegfa" "Anxa2" "Clu" "Cox5a" "Gja1" "Gpi1" "Msn" "Nme1" "Psmc6" "Sod2" "Sparc" "Tnfrsf12a" "Aldoa" "Lama5" "Lcn2" "Mdm2" "Ranbp1" "Slc25a25" "Slc3a2" "Myh9" "Cd14" "Ilk" "Ndst1" "Ager" "Col4a1" "Cryab" "Fkbp1a" "Hspb1" "Itgb6" "Krt18" "Sqstm1" "Elob" "Ceacam1" "Rcan1" "Slc9a3r1" "Tmbim1" "Ybx1" "Fth1" "Ftl1" "Hist1h2bc" "Lasp1" "Pcbp1" "Tmem37" "Akr1b8" "Pkm" "Gnas" "Timp3" "Isyna1" "Hcfc1r1" "Mif"
"Pgf" 0.00158456810076445 0.00152197987412888 0.00145697604379791 0.00178065892880976 0.00117152058720136 0.00206311573471318 0.00218818771600824 0.00135654474903529 0.00154917481853526 0.00140476456738035 0.00188013051897822 0.00169384392973226 0.00179753890769374 0.00131848282176706 0.00160038242317859 0.00122380736298935 0.00147920924131826 0.00153564740063622 0.00126203699620948 0.00137014869170567 0.00130862951305746 0.00143833709680886 0.0016884356686671 0.00193573683011864 0.00296626976596113 0.0011951632580276 0 0 0.00112244303901512 0 0 0 0 0.0012695184622155 0 0.00121742381247097 0.00134512398909773 0.00128375732887628 0 0.00138323208470499 0.00132606360345978 0.00127654192520133 0.00120836607605814 0.00137792234125744 0 0 0.00120926304340273 0.00120711903435626 0 0 0 0.00113557633636616 0 0.00105862064341135 0.00137110048119647 0 0 0.00107036733965338 0.00110970012160199 0.00104462974213047 0 0.00121452343647606 0.0011768535890609 0.00120781173199864 0.00118960562859271 0.00121675256280623 0 0 0.0011349566432881 0.00108043125274648 0 0 0.00115923316206614 0.001047786078832
"Gpi1" 0 0 0 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0 0 0 0 0.00117521952264516 0.0013082501693038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.00138739237908813 0.00135335614719117 0 0.00159676431311203 0.00113447420614345 0.00172697721905583 0.00175765021772766 0.00118427352499106 0.00148951299253066 0.00120351962340331 0.00161415845904594 0.00119106203952406 0.00122606414886062 0.00129533641966233 0.00138651172409576 0.0010632903123865 0.00124175228768125 0.00142397638507753 0.00111873538085813 0.00122723251155306 0.00142464129802751 0.00135497115349177 0.00130755120474954 0.00140809995522868 0.00168723077522515 0.00112947633191606 0 0 0 0 0.00220931165320014 0 0 0 0 0 0.00107675419360986 0.00127902104644851 0 0.00108338581842021 0.00107870084580015 0.00124541409734828 0 0.00119533008351952 0 0 0.0011991438195346 0.0010820710210006 0 0 0 0.00108359809732672 0 0 0 0 0 0 0.00116464338913521 0 0 0.00111350673640197 0 0 0.00107735732232014 0 0 0 0 0 0 0 0 0
"Bdnf" 0.001433808953727 0.00155366749472203 0.00111708608961142 0.00158194035862882 0.00134430225479386 0.00268462321469645 0.00285191567093599 0.00142364959265521 0.00173527647161518 0.0014414076832837 0.00169133349052138 0.00128249222617003 0.00136090264917081 0.00152023556767394 0.00164804253843356 0.00122553418039161 0.00134580829674567 0.00136432796360053 0.00126105317220516 0.00128923132089209 0.00129354982081206 0.00141329022257912 0.00163372873984221 0.00181288091522283 0.00253342430504514 0.00117531036815031 0 0 0.00114757751225025 0 0 0 0 0.00385664607478185 0 0.00124289731648549 0.00115469653591547 0.00129018725259228 0 0.00123683474051476 0.00118504898540563 0.00130927840911716 0.00117301261167958 0.00132575798109207 0 0 0.00122498262913035 0 0 0 0 0.00120523325925211 0 0.00109614637744316 0.00107970140473936 0 0 0 0.00107798630768292 0 0 0.00116942306038556 0.00112058836344037 0.00117210553419568 0.00118127395985802 0.00105803184717005 0 0 0.00108106110568923 0.00126483326807193 0 0 0.00118907695317434 0
"Pros1" 0.00169455534887847 0.00164073810206497 0.00124337906893848 0.00180991592613028 0.00132417726065592 0.00193361403825029 0.00296467644517818 0.00166519308200162 0.00173150113609308 0.00145970538630242 0.00168226934658771 0.00139754844491823 0.00145038743054541 0.00145540154789745 0.001703242632478 0.00141148985399017 0.00166494980013655 0.00156434224003267 0.00145359468187998 0.00146486921033178 0.00136814187722094 0.00151509269512285 0.00164713880438147 0.00184751510728591 0.00179764943299951 0.00130113046119239 0 0 0.00114188847654893 0 0 0.00116469269161328 0 0 0 0.00123172057618832 0.00121703993002482 0.0012408236762611 0 0.00148704754301083 0.00129646224456047 0.00137498037849104 0.00123278618222357 0.0015607816818557 0 0 0.00126379634713561 0.00122688920507311 0 0 0 0.00121811467121443 0 0.00106757533808741 0.00115379981805975 0 0 0.00105623829548009 0.00116282912081809 0.00111617552146499 0 0.0012793841595511 0.00122163920712198 0.00132667343605835 0.00124543617273829 0.00114933767627248 0 0 0 0.00112466640388764 0.00113316249821651 0 0.00123423729765081 0
"Hmgb1" 0.00224754285905749 0.00229718206526458 0.00186646190700926 0.00512539730752171 0.00188763939567353 0.00254898592522533 0.00297002690844441 0.00244227739533442 0.00242489808804238 0.00208214105952824 0.00232338205558798 0.00211550342687762 0.00562016913687305 0.00178120930363061 0.00225278350968699 0.00180157668359206 0.0018819694242949 0.0022616460647014 0.00202998881384803 0.00199634558984161 0.00185336076421747 0.0018596181983122 0.00230314534335554 0.00254914583597354 0.0022101560164988 0.00173035830256951 0.00133133735129286 0.00107729772645261 0.00135162933996022 0 0.00125881169821278 0.00160599741967842 0 0.00143158844947672 0.00107393114551983 0.00165626645284002 0.00177637757815007 0.00183897263318099 0.00106582584138718 0.0019654610599727 0.00193212848994828 0.00197365406510553 0.00174174737190009 0.00199640735340816 0.00143523454306634 0.00105004880748617 0.00157388860100157 0.00527474463608968 0.0013546673719414 0 0.00114956404737562 0.00157444452961575 0.00131901620705546 0.00143966385420201 0.00177618973241603 0 0.00129323620020363 0.00159633277520012 0.00176841917993115 0.00168368666306409 0.00139520890716089 0.00161534775738233 0.00185641533246214 0.00193849442647376 0.00174630138340386 0.00171340897707467 0.00138252004872757 0.00524403507165371 0.0013688475725389 0.00170276955605402 0.00134699904293759 0.00134955281538341 0.00187728072717218 0.00119227536509825
"Psap" 0.00160764635346211 0.00159016852764385 0.00131982772042723 0.00177879114037786 0.00119539904644535 0.00178445688683279 0.00206312454713585 0.00139050877182636 0.00169274695256752 0.0017068576884652 0.00172617917868787 0.00132126451092472 0.0012559456491228 0.00147302889928005 0.00166640072891609 0.00156317941288722 0.00137659307451555 0.00153120333748486 0.00147445782494513 0.00140257584043649 0.00122198024639416 0.00114161020650741 0.00154249015180985 0.00221564834471034 0.00149019061887095 0.00160484246368281 0 0 0.00107607156238455 0 0 0.00132614595960236 0 0 0 0.00119931965775281 0.00110040903390352 0.00139036985953703 0 0.00142212141976128 0.00122935048510996 0.00134314633873947 0.00126856427846881 0.00122023295145894 0 0 0.00115686746047882 0.00158434840935598 0.00104755970686035 0 0 0.00106283555885571 0 0.00108077749618099 0.00146378554511468 0 0 0 0.00136512335386984 0.00140141001691532 0 0.00146324069797319 0.00178083726807625 0.00159328016156 0.00162185349159245 0.00145473369077283 0.00151761368228291 0 0.00133985933481222 0 0 0 0.00120256185329688 0
"Itgb1" 0.00105680613317923 0.00110700085316185 0 0.00111741936383508 0 0.00141891009476632 0.0023583641063619 0.00106593535012395 0.00115787128547419 0 0.00116470592654962 0 0 0.00104860595772709 0.00115612719647975 0 0 0.00104721617151073 0 0 0 0 0.00109295327310612 0.00121013500268273 0.00123606154350047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0.00110373204318215 0.00117271468946991 0 0.00123962524960061 0 0.00150891297300802 0.00167196176542722 0.00104441253231619 0.00128251529228418 0 0.00127059140788063 0 0.00121034151745122 0.00106851591676659 0.00122606362947247 0 0 0.00110804770692412 0 0 0 0 0.00119325759730001 0.00128002965240362 0.00133742872972063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
