"","Dab2","Itpr1","Pcdh7","Sec63","Lrp10","Dlg1","Lsr","Lrp6","Ryk","Ddr2","Ptprf","Cdh3","Boc","Cdon","Ddr1","Pkd1","Sfrp1","Fzd7","Scarb2","Ghr","Il6ra","Ltbr","Tnfrsf1a","Ncam1","Lrp1","Lrp2","Ephb3","Glg1","Sdc2","Sdc4","Acvr1","Bmpr1a","Tgfbr2","Tgfbr3","F11r","Icam1","Ptpra","Ptprd","Il6st","Osmr","Agtrap","Ar","Amfr","Atp5b","Pkd2","Calm1","Prnp","Npr1","Plxna4","Kdr","Nrp2","Neo1","Mst1r","Ptch1","Rrbp1","Plxnb2","Gabra3","Esam","Derl1","Chrm2","Alcam","Cd34","Colec12","Nptn","Igf1r","Rack1","Slc1a5","Dag1","Cd151","Cd47","Rpsa","Itgb1","Itga3","Itgav"
"Hsp90b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0.202553313069005,0,0,0,0,0,0,0,0,0,0,0.331750786878528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176622449563947,0,0
"Mmp9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310435776660169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401681940026392,0,0
"App",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252811053711385,0.511968726300922,0.370080288255889,0,0,0,0,0,0,0.441123409872093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121234429649686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384483165441688,0,0,0,0,0,0,0,0,0
"Agrn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446585404733779,0.10960023775516,0.113332514465692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388241151265362,0,0,0,0.206282774030582,0,0.250218026267722
"Hspg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10960023775516,0.113332514465692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349707611434687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322531549603126,0,0,0,0.103295647788543,0,0
"Tnc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240961163066389,0,0.241769923321387
"Fbn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193718678148794,0,0.250118959648434
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923475211196466,0,0.14132723075033
"Pecam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178098082222914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146999682235942
"Nid1",0,0,0,0,0,0,0,0,0,0,0.362065829933115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122748629768268
